,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:55:33.408+02:00,   0.395E-02,   0.00395,   4.35289
      2,2020-07-15T15:55:33.548+02:00,   0.395E-02,   0.00791,   4.90610
      3,2020-07-15T15:55:33.673+02:00,   0.395E-02,   0.01186,   5.39522
      4,2020-07-15T15:55:33.806+02:00,   0.395E-02,   0.01581,   5.91732
      5,2020-07-15T15:55:33.930+02:00,   0.395E-02,   0.01976,   6.40593
      6,2020-07-15T15:55:34.067+02:00,   0.395E-02,   0.02372,   6.94329
      7,2020-07-15T15:55:34.203+02:00,   0.395E-02,   0.02767,   7.48220
      8,2020-07-15T15:55:34.349+02:00,   0.395E-02,   0.03162,   8.05748
      9,2020-07-15T15:55:34.472+02:00,   0.395E-02,   0.03558,   8.53793
     10,2020-07-15T15:55:34.605+02:00,   0.395E-02,   0.03953,   9.06340
     20,2020-07-15T15:55:35.980+02:00,   0.395E-02,   0.07906,  14.45942
     30,2020-07-15T15:55:37.446+02:00,   0.263E-02,   0.10928,  20.24695
     40,2020-07-15T15:55:39.845+02:00,   0.205E-02,   0.13249,  26.83189
     50,2020-07-15T15:55:41.338+02:00,   0.183E-02,   0.15211,  32.63361
     60,2020-07-15T15:55:42.664+02:00,   0.164E-02,   0.16962,  37.88731
     70,2020-07-15T15:55:44.106+02:00,   0.147E-02,   0.18584,  43.50068
     80,2020-07-15T15:55:45.376+02:00,   0.147E-02,   0.20057,  48.52979
     90,2020-07-15T15:55:46.723+02:00,   0.132E-02,   0.21471,  53.82641
    100,2020-07-15T15:55:47.964+02:00,   0.132E-02,   0.22795,  58.75760
    200,2020-07-15T15:56:01.974+02:00,   0.960E-03,   0.33869, 109.46798
    300,2020-07-15T15:56:15.716+02:00,   0.776E-03,   0.42732, 158.56831
    400,2020-07-15T15:56:28.014+02:00,   0.698E-03,   0.50277, 207.04060
    500,2020-07-15T15:56:39.735+02:00,   0.628E-03,   0.57083, 253.69520
    600,2020-07-15T15:56:51.433+02:00,   0.628E-03,   0.63362, 299.80852
    700,2020-07-15T15:57:03.013+02:00,   0.565E-03,   0.69069, 346.01887
    800,2020-07-15T15:57:14.783+02:00,   0.508E-03,   0.74624, 392.30489
    900,2020-07-15T15:57:26.657+02:00,   0.508E-03,   0.79708, 439.21573
   1000,2020-07-15T15:57:38.144+02:00,   0.508E-03,   0.84792, 484.93097
   1100,2020-07-15T15:57:50.019+02:00,   0.457E-03,   0.89500, 531.99252
   1200,2020-07-15T15:58:01.394+02:00,   0.457E-03,   0.94074, 577.34492
   1300,2020-07-15T15:58:13.809+02:00,   0.457E-03,   0.98648, 624.40420
   1400,2020-07-15T15:58:25.336+02:00,   0.412E-03,   1.03118, 670.40649
   1500,2020-07-15T15:58:36.909+02:00,   0.412E-03,   1.07234, 715.84339
   1600,2020-07-15T15:58:48.674+02:00,   0.412E-03,   1.11350, 762.51592
