,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:55:31.086+02:00,   0.395E-02,   0.00395,   2.42265
      2,2020-07-15T15:55:31.237+02:00,   0.395E-02,   0.00791,   3.01149
      3,2020-07-15T15:55:31.305+02:00,   0.395E-02,   0.01186,   3.27466
      4,2020-07-15T15:55:31.371+02:00,   0.395E-02,   0.01581,   3.54142
      5,2020-07-15T15:55:31.454+02:00,   0.395E-02,   0.01976,   3.86444
      6,2020-07-15T15:55:31.530+02:00,   0.395E-02,   0.02372,   4.15767
      7,2020-07-15T15:55:31.599+02:00,   0.395E-02,   0.02767,   4.42423
      8,2020-07-15T15:55:31.666+02:00,   0.395E-02,   0.03162,   4.69143
      9,2020-07-15T15:55:31.741+02:00,   0.395E-02,   0.03558,   4.98015
     10,2020-07-15T15:55:31.816+02:00,   0.395E-02,   0.03953,   5.27435
     20,2020-07-15T15:55:32.562+02:00,   0.395E-02,   0.07906,   8.18953
     30,2020-07-15T15:55:33.585+02:00,   0.263E-02,   0.10932,  12.20237
     40,2020-07-15T15:55:34.027+02:00,   0.205E-02,   0.13257,  13.87064
     50,2020-07-15T15:55:34.767+02:00,   0.183E-02,   0.15220,  16.69106
     60,2020-07-15T15:55:35.268+02:00,   0.164E-02,   0.16972,  18.59127
     70,2020-07-15T15:55:35.741+02:00,   0.147E-02,   0.18594,  20.37769
     80,2020-07-15T15:55:36.202+02:00,   0.147E-02,   0.20067,  22.08920
     90,2020-07-15T15:55:37.014+02:00,   0.132E-02,   0.21480,  25.15191
    100,2020-07-15T15:55:38.002+02:00,   0.132E-02,   0.22805,  28.39953
    200,2020-07-15T15:55:50.903+02:00,   0.960E-03,   0.33878,  57.75903
    300,2020-07-15T15:55:58.724+02:00,   0.776E-03,   0.42741,  84.37952
    400,2020-07-15T15:56:07.230+02:00,   0.698E-03,   0.50284, 112.06419
    500,2020-07-15T15:56:14.102+02:00,   0.628E-03,   0.57090, 135.40145
    600,2020-07-15T15:56:19.097+02:00,   0.628E-03,   0.63368, 154.41365
    700,2020-07-15T15:56:25.956+02:00,   0.565E-03,   0.69075, 181.64680
    800,2020-07-15T15:56:33.959+02:00,   0.508E-03,   0.74629, 211.71050
    900,2020-07-15T15:56:41.158+02:00,   0.508E-03,   0.79713, 240.36944
   1000,2020-07-15T15:56:46.221+02:00,   0.508E-03,   0.84797, 258.95692
   1100,2020-07-15T15:56:49.863+02:00,   0.457E-03,   0.89504, 273.41955
   1200,2020-07-15T15:56:57.249+02:00,   0.457E-03,   0.94078, 302.78549
   1300,2020-07-15T15:57:05.377+02:00,   0.457E-03,   0.98652, 335.20488
   1400,2020-07-15T15:57:12.976+02:00,   0.412E-03,   1.03121, 365.45571
   1500,2020-07-15T15:57:16.384+02:00,   0.412E-03,   1.07238, 378.93728
   1600,2020-07-15T15:57:19.706+02:00,   0.412E-03,   1.11354, 392.13801
   1700,2020-07-15T15:57:23.102+02:00,   0.412E-03,   1.15470, 405.59948
   1800,2020-07-15T15:57:26.488+02:00,   0.412E-03,   1.19587, 419.07426
   1900,2020-07-15T15:57:29.915+02:00,   0.412E-03,   1.23703, 432.71343
   2000,2020-07-15T15:57:33.364+02:00,   0.370E-03,   1.27411, 446.42166
   2100,2020-07-15T15:57:36.692+02:00,   0.370E-03,   1.31114, 459.68425
   2200,2020-07-15T15:57:40.199+02:00,   0.333E-03,   1.34521, 473.59267
   2300,2020-07-15T15:57:43.721+02:00,   0.299E-03,   1.37699, 487.62312
   2400,2020-07-15T15:57:50.418+02:00,   0.299E-03,   1.40685, 513.77160
   2500,2020-07-15T15:57:59.309+02:00,   0.268E-03,   1.43384, 549.24847
   2600,2020-07-15T15:58:09.397+02:00,   0.268E-03,   1.46062, 588.63234
   2700,2020-07-15T15:58:18.653+02:00,   0.268E-03,   1.48739, 625.54294
   2800,2020-07-15T15:58:28.064+02:00,   0.268E-03,   1.51417, 662.83445
   2900,2020-07-15T15:58:36.743+02:00,   0.241E-03,   1.53883, 697.46467
   3000,2020-07-15T15:58:40.840+02:00,   0.265E-03,   1.56496, 713.70935
   3100,2020-07-15T15:58:44.581+02:00,   0.265E-03,   1.59143, 728.51014
   3200,2020-07-15T15:58:49.024+02:00,   0.265E-03,   1.61790, 746.13709
   3300,2020-07-15T15:58:52.694+02:00,   0.238E-03,   1.64247, 760.67194
   3400,2020-07-15T15:58:56.672+02:00,   0.262E-03,   1.66750, 776.35868
   3500,2020-07-15T15:59:04.339+02:00,   0.262E-03,   1.69371, 806.89330
   3600,2020-07-15T15:59:14.829+02:00,   0.262E-03,   1.71991, 848.75516
   3700,2020-07-15T15:59:23.895+02:00,   0.236E-03,   1.74432, 884.94630
   3800,2020-07-15T15:59:32.927+02:00,   0.259E-03,   1.76893, 920.96448
   3900,2020-07-15T15:59:42.246+02:00,   0.259E-03,   1.79485, 958.11313
   4000,2020-07-15T15:59:52.734+02:00,   0.259E-03,   1.82077, 999.99071
   4100,2020-07-15T16:00:01.598+02:00,   0.233E-03,   1.84505,1035.37763
   4200,2020-07-15T16:00:06.199+02:00,   0.257E-03,   1.86926,1053.68613
   4300,2020-07-15T16:00:11.151+02:00,   0.231E-03,   1.89414,1073.35026
   4400,2020-07-15T16:00:21.344+02:00,   0.254E-03,   1.91815,1114.05330
   4500,2020-07-15T16:00:28.888+02:00,   0.254E-03,   1.94353,1144.11978
   4600,2020-07-15T16:00:32.721+02:00,   0.254E-03,   1.96892,1159.36121
   4700,2020-07-15T16:00:36.467+02:00,   0.254E-03,   1.99431,1174.27793
   4723,2020-07-15T16:00:37.521+02:00,   0.108E-03,   2.00000,1178.47676
