,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:55:33.037+02:00,   0.395E-02,   0.00395,  12.77931
      2,2020-07-15T15:55:33.449+02:00,   0.395E-02,   0.00791,  14.41569
      3,2020-07-15T15:55:33.535+02:00,   0.395E-02,   0.01186,  14.74912
      4,2020-07-15T15:55:33.593+02:00,   0.395E-02,   0.01581,  14.97980
      5,2020-07-15T15:55:33.647+02:00,   0.395E-02,   0.01976,  15.18843
      6,2020-07-15T15:55:33.697+02:00,   0.395E-02,   0.02372,  15.38142
      7,2020-07-15T15:55:33.742+02:00,   0.395E-02,   0.02767,  15.55716
      8,2020-07-15T15:55:33.781+02:00,   0.395E-02,   0.03162,  15.70937
      9,2020-07-15T15:55:33.821+02:00,   0.395E-02,   0.03558,  15.86494
     10,2020-07-15T15:55:33.865+02:00,   0.395E-02,   0.03953,  16.03248
     20,2020-07-15T15:55:34.458+02:00,   0.395E-02,   0.07906,  18.33758
     30,2020-07-15T15:55:35.009+02:00,   0.263E-02,   0.10926,  20.49026
     40,2020-07-15T15:55:35.574+02:00,   0.205E-02,   0.13248,  22.61338
     50,2020-07-15T15:55:36.209+02:00,   0.183E-02,   0.15209,  24.96642
     60,2020-07-15T15:55:36.867+02:00,   0.164E-02,   0.16960,  27.44732
     70,2020-07-15T15:55:37.493+02:00,   0.147E-02,   0.18582,  29.86776
     80,2020-07-15T15:55:37.901+02:00,   0.147E-02,   0.20054,  31.45435
     90,2020-07-15T15:55:39.288+02:00,   0.132E-02,   0.21467,  34.65472
    100,2020-07-15T15:55:40.234+02:00,   0.132E-02,   0.22792,  37.25849
    200,2020-07-15T15:55:51.589+02:00,   0.960E-03,   0.33865,  64.92369
    300,2020-07-15T15:55:59.014+02:00,   0.776E-03,   0.42729,  86.46941
    400,2020-07-15T15:56:07.215+02:00,   0.698E-03,   0.50274, 108.10377
    500,2020-07-15T15:56:13.177+02:00,   0.628E-03,   0.57080, 125.95369
    600,2020-07-15T15:56:17.630+02:00,   0.628E-03,   0.63359, 142.67006
    700,2020-07-15T15:56:21.527+02:00,   0.565E-03,   0.69067, 157.46831
    800,2020-07-15T15:56:25.549+02:00,   0.508E-03,   0.74621, 172.74000
    900,2020-07-15T15:56:29.105+02:00,   0.508E-03,   0.79706, 186.84032
   1000,2020-07-15T15:56:33.900+02:00,   0.508E-03,   0.84790, 203.70372
   1100,2020-07-15T15:56:38.125+02:00,   0.457E-03,   0.89497, 220.44463
   1200,2020-07-15T15:56:42.401+02:00,   0.457E-03,   0.94072, 237.25446
   1300,2020-07-15T15:56:49.611+02:00,   0.457E-03,   0.98646, 263.67586
   1400,2020-07-15T15:56:54.577+02:00,   0.412E-03,   1.03115, 283.45175
   1500,2020-07-15T15:56:59.941+02:00,   0.412E-03,   1.07232, 304.80816
   1600,2020-07-15T15:57:05.975+02:00,   0.412E-03,   1.11348, 328.86528
   1700,2020-07-15T15:57:09.943+02:00,   0.412E-03,   1.15465, 344.65110
   1800,2020-07-15T15:57:19.658+02:00,   0.412E-03,   1.19581, 383.27599
   1900,2020-07-15T15:57:31.704+02:00,   0.412E-03,   1.23698, 431.28216
   2000,2020-07-15T15:57:43.813+02:00,   0.370E-03,   1.27407, 479.55934
   2100,2020-07-15T15:57:56.853+02:00,   0.370E-03,   1.31111, 531.63193
   2200,2020-07-15T15:58:09.664+02:00,   0.333E-03,   1.34519, 581.74368
   2300,2020-07-15T15:58:19.819+02:00,   0.299E-03,   1.37699, 622.27356
   2400,2020-07-15T15:58:29.907+02:00,   0.299E-03,   1.40684, 661.87428
   2500,2020-07-15T15:58:45.118+02:00,   0.268E-03,   1.43386, 722.59469
   2600,2020-07-15T15:58:59.241+02:00,   0.268E-03,   1.46066, 778.94163
   2700,2020-07-15T15:59:10.035+02:00,   0.268E-03,   1.48746, 822.00761
   2800,2020-07-15T15:59:19.144+02:00,   0.268E-03,   1.51426, 858.32798
   2900,2020-07-15T15:59:34.643+02:00,   0.241E-03,   1.53892, 920.20947
   3000,2020-07-15T15:59:44.051+02:00,   0.265E-03,   1.56509, 957.66141
   3100,2020-07-15T16:00:04.375+02:00,   0.265E-03,   1.59160,1038.78973
   3200,2020-07-15T16:00:16.296+02:00,   0.265E-03,   1.61811,1086.21039
   3300,2020-07-15T16:00:28.308+02:00,   0.238E-03,   1.64266,1134.04405
   3400,2020-07-15T16:00:41.371+02:00,   0.262E-03,   1.66771,1186.17756
   3500,2020-07-15T16:00:49.615+02:00,   0.262E-03,   1.69392,1218.96019
   3600,2020-07-15T16:00:58.651+02:00,   0.262E-03,   1.72014,1255.01193
   3700,2020-07-15T16:01:10.369+02:00,   0.236E-03,   1.74454,1301.76269
   3800,2020-07-15T16:01:18.875+02:00,   0.259E-03,   1.76917,1335.62837
   3900,2020-07-15T16:01:36.569+02:00,   0.234E-03,   1.79413,1406.26568
   4000,2020-07-15T16:01:46.142+02:00,   0.257E-03,   1.81856,1444.47933
   4100,2020-07-15T16:01:55.264+02:00,   0.257E-03,   1.84424,1480.75972
   4200,2020-07-15T16:02:02.527+02:00,   0.257E-03,   1.86993,1509.65173
   4300,2020-07-15T16:02:11.462+02:00,   0.231E-03,   1.89474,1545.17520
   4400,2020-07-15T16:02:22.931+02:00,   0.254E-03,   1.91881,1590.84832
   4500,2020-07-15T16:02:35.914+02:00,   0.254E-03,   1.94422,1642.68316
   4600,2020-07-15T16:02:49.544+02:00,   0.254E-03,   1.96963,1697.07070
   4700,2020-07-15T16:03:12.240+02:00,   0.254E-03,   1.99504,1787.73473
   4720,2020-07-15T16:03:13.867+02:00,   0.130E-03,   2.00000,1794.22850
