s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1894131E+000
 3.9528471E-003, 5.7933749E-002, 0.0000000E+000, 1.0000000E+000, 1.4560810E+000
 7.9056942E-003, 5.7927390E-002, 0.0000000E+000, 1.0000000E+000, 1.7206070E+000
 1.1858541E-002, 5.7919221E-002, 0.0000000E+000, 1.0000000E+000, 2.4433689E+000
 1.5811388E-002, 5.7909244E-002, 0.0000000E+000, 1.0000000E+000, 2.6456959E+000
 1.9764235E-002, 5.7897460E-002, 0.0000000E+000, 1.0000000E+000, 2.7780220E+000
 2.3717082E-002, 5.7883871E-002, 0.0000000E+000, 1.0000000E+000, 2.9641230E+000
 2.7669930E-002, 5.7868477E-002, 0.0000000E+000, 1.0000000E+000, 3.1316819E+000
 3.1622777E-002, 5.7851282E-002, 0.0000000E+000, 1.0000000E+000, 3.3103990E+000
 3.5575624E-002, 5.7832286E-002, 0.0000000E+000, 1.0000000E+000, 3.4391141E+000
 3.9528471E-002, 5.7811493E-002, 0.0000000E+000, 1.0000000E+000, 3.6538169E+000
 4.3481318E-002, 5.7788905E-002, 0.0000000E+000, 1.0000000E+000, 3.8229601E+000
 4.7434165E-002, 5.7764525E-002, 0.0000000E+000, 1.0000000E+000, 3.9991491E+000
 5.1387012E-002, 5.7738356E-002, 0.0000000E+000, 1.0000000E+000, 4.1273730E+000
 5.5339859E-002, 5.7710402E-002, 0.0000000E+000, 1.0000000E+000, 4.2930000E+000
 5.9292706E-002, 5.7680664E-002, 3.4694470E-018, 1.0000000E+000, 4.4557888E+000
 6.3245553E-002, 5.7649149E-002, 6.9388939E-018, 1.0000000E+000, 4.6268699E+000
 6.7198400E-002, 5.7615858E-002, 0.0000000E+000, 1.0000000E+000, 4.7555520E+000
 7.1151247E-002, 5.7580797E-002, 0.0000000E+000, 1.0000000E+000, 4.9266288E+000
 7.5104094E-002, 5.7543970E-002, 0.0000000E+000, 1.0000000E+000, 5.0852201E+000
 7.9056942E-002, 5.7505381E-002, 0.0000000E+000, 1.0000000E+000, 5.2572491E+000
 8.2484486E-002, 5.7480034E-002, 0.0000000E+000, 1.0000000E+000, 5.4601261E+000
 8.5912031E-002, 5.7444242E-002, 0.0000000E+000, 1.0000000E+000, 5.6005318E+000
 8.9339576E-002, 5.7407135E-002, 0.0000000E+000, 1.0000000E+000, 5.7619622E+000
 9.2349007E-002, 5.7382047E-002, 0.0000000E+000, 1.0000000E+000, 5.9768202E+000
 9.5358437E-002, 5.7347660E-002, 0.0000000E+000, 1.0000000E+000, 6.1380169E+000
 9.8367868E-002, 5.7312265E-002, 0.0000000E+000, 1.0000000E+000, 6.2788699E+000
 1.0137730E-001, 5.7275867E-002, 0.0000000E+000, 1.0000000E+000, 6.4456298E+000
 1.0400420E-001, 5.7252160E-002, 0.0000000E+000, 1.0000000E+000, 6.6538431E+000
 1.0663110E-001, 5.7219031E-002, 0.0000000E+000, 1.0000000E+000, 6.8139789E+000
 1.0925800E-001, 5.7185143E-002, 0.0000000E+000, 1.0000000E+000, 6.9549358E+000
 1.1188490E-001, 5.7150496E-002, 0.0000000E+000, 1.0000000E+000, 7.1163699E+000
 1.1451180E-001, 5.7115092E-002, 0.0000000E+000, 1.0000000E+000, 7.2922680E+000
 1.1682008E-001, 5.7091695E-002, 0.0000000E+000, 1.0000000E+000, 7.4922268E+000
 1.1912836E-001, 5.7059543E-002, 6.9388939E-018, 1.0000000E+000, 7.6333401E+000
 1.2143664E-001, 5.7026812E-002, 6.9388939E-018, 1.0000000E+000, 7.9069078E+000
 1.2374492E-001, 5.6993501E-002, 6.9388939E-018, 1.0000000E+000, 8.0709026E+000
 1.2605319E-001, 5.6959612E-002, 1.3877788E-017, 1.0000000E+000, 8.2292373E+000
 1.2836147E-001, 5.6925147E-002, 1.3877788E-017, 1.0000000E+000, 8.3699701E+000
 1.3041382E-001, 5.6901498E-002, 0.0000000E+000, 1.0000000E+000, 8.5735090E+000
 1.3246616E-001, 5.6870033E-002, 0.0000000E+000, 1.0000000E+000, 8.7435577E+000
 1.3451851E-001, 5.6838115E-002, 0.0000000E+000, 1.0000000E+000, 8.9058053E+000
 1.3657085E-001, 5.6805746E-002, 0.0000000E+000, 1.0000000E+000, 9.0769937E+000
 1.3862319E-001, 5.6772926E-002, 0.0000000E+000, 1.0000000E+000, 9.2055032E+000
 1.4067554E-001, 5.6739656E-002, 0.0000000E+000, 1.0000000E+000, 9.3743207E+000
 1.4272788E-001, 5.6705938E-002, 0.0000000E+000, 1.0000000E+000, 9.5330875E+000
 1.4478022E-001, 5.6671773E-002, 0.0000000E+000, 1.0000000E+000, 9.7064426E+000
 1.4660554E-001, 5.6648454E-002, 0.0000000E+000, 1.0000000E+000, 9.8749978E+000
 1.4843085E-001, 5.6617430E-002, 0.0000000E+000, 1.0000000E+000, 1.0123097E+001
 1.5025616E-001, 5.6586054E-002, 0.0000000E+000, 1.0000000E+000, 1.0291100E+001
 1.5208148E-001, 5.6554328E-002, 0.0000000E+000, 1.0000000E+000, 1.0531478E+001
 1.5390679E-001, 5.6522252E-002, 0.0000000E+000, 1.0000000E+000, 1.0856025E+001
 1.5573210E-001, 5.6489827E-002, 0.0000000E+000, 1.0000000E+000, 1.1010798E+001
 1.5755742E-001, 5.6457053E-002, 0.0000000E+000, 1.0000000E+000, 1.1228816E+001
 1.5938273E-001, 5.6423933E-002, 0.0000000E+000, 1.0000000E+000, 1.1543714E+001
 1.6120804E-001, 5.6390465E-002, 0.0000000E+000, 1.0000000E+000, 1.1871354E+001
 1.6303336E-001, 5.6356652E-002, 0.0000000E+000, 1.0000000E+000, 1.2033517E+001
 1.6467177E-001, 5.6332858E-002, 0.0000000E+000, 1.0000000E+000, 1.2252650E+001
 1.6631019E-001, 5.6302000E-002, 0.0000000E+000, 1.0000000E+000, 1.2431648E+001
 1.6794861E-001, 5.6270866E-002, 0.0000000E+000, 1.0000000E+000, 1.2605973E+001
 1.6958703E-001, 5.6239455E-002, 0.0000000E+000, 1.0000000E+000, 1.2738906E+001
 1.7122544E-001, 5.6207770E-002, 0.0000000E+000, 1.0000000E+000, 1.2867793E+001
 1.7286386E-001, 5.6175809E-002, 0.0000000E+000, 1.0000000E+000, 1.3049107E+001
 1.7450228E-001, 5.6143574E-002, 0.0000000E+000, 1.0000000E+000, 1.3225788E+001
 1.7614070E-001, 5.6111066E-002, 0.0000000E+000, 1.0000000E+000, 1.3405659E+001
 1.7777911E-001, 5.6078285E-002, 0.0000000E+000, 1.0000000E+000, 1.3574960E+001
 1.7941753E-001, 5.6045232E-002, 0.0000000E+000, 1.0000000E+000, 1.3704418E+001
 1.8105595E-001, 5.6011908E-002, 0.0000000E+000, 1.0000000E+000, 1.3832529E+001
 1.8269437E-001, 5.5978313E-002, 0.0000000E+000, 1.0000000E+000, 1.4029663E+001
 1.8433278E-001, 5.5944447E-002, 0.0000000E+000, 1.0000000E+000, 1.4422422E+001
 1.8580511E-001, 5.5920603E-002, 0.0000000E+000, 1.0000000E+000, 1.4884132E+001
 1.8727744E-001, 5.5889774E-002, 0.0000000E+000, 1.0000000E+000, 1.5013979E+001
 1.8874976E-001, 5.5858728E-002, 0.0000000E+000, 1.0000000E+000, 1.5315061E+001
 1.9022209E-001, 5.5827466E-002, 0.0000000E+000, 1.0000000E+000, 1.5840779E+001
 1.9169442E-001, 5.5795988E-002, 0.0000000E+000, 1.0000000E+000, 1.6035666E+001
 1.9316674E-001, 5.5764295E-002, 0.0000000E+000, 1.0000000E+000, 1.6156537E+001
 1.9463907E-001, 5.5732387E-002, 0.0000000E+000, 1.0000000E+000, 1.6334584E+001
 1.9611140E-001, 5.5700266E-002, 0.0000000E+000, 1.0000000E+000, 1.6462645E+001
 1.9758372E-001, 5.5667931E-002, 0.0000000E+000, 1.0000000E+000, 1.6634036E+001
 1.9905605E-001, 5.5635383E-002, 0.0000000E+000, 1.0000000E+000, 1.6750298E+001
 2.0052838E-001, 5.5602622E-002, 0.0000000E+000, 1.0000000E+000, 1.6927312E+001
 2.0200071E-001, 5.5569650E-002, 0.0000000E+000, 1.0000000E+000, 1.7089141E+001
 2.0347303E-001, 5.5536466E-002, 0.0000000E+000, 1.0000000E+000, 1.7230483E+001
 2.0494536E-001, 5.5503071E-002, 0.0000000E+000, 1.0000000E+000, 1.7346869E+001
 2.0641769E-001, 5.5469466E-002, 0.0000000E+000, 1.0000000E+000, 1.7523932E+001
 2.0789001E-001, 5.5435651E-002, 0.0000000E+000, 1.0000000E+000, 1.7689902E+001
 2.0936234E-001, 5.5401627E-002, 0.0000000E+000, 1.0000000E+000, 1.7819207E+001
 2.1068699E-001, 5.5377636E-002, 0.0000000E+000, 1.0000000E+000, 1.8025164E+001
 2.1201164E-001, 5.5346716E-002, 0.0000000E+000, 1.0000000E+000, 1.8400023E+001
