s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2402416E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2402416E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 1.2369164E-016,-3.3042503E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1842041E-014, 9.0649136E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 1.2316146E-016,-6.3007106E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1062636E-014, 6.0154358E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 1.2262283E-016,-9.2265110E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1025773E-014, 3.0357722E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 1.2228326E-016,-1.2007998E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0953800E-014, 2.2032848E-018, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 1.2178886E-016,-1.4741579E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0916937E-014,-2.5626926E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 1.2131008E-016,-1.7448813E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1020506E-014,-5.3178046E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 1.2086426E-016,-2.0029098E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0902893E-014,-7.9426723E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 1.2071420E-016,-2.2498004E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0909915E-014,-1.0426584E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 1.2014695E-016,-2.4795051E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0843209E-014,-1.2780356E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 1.1995439E-016,-2.6916645E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0887095E-014,-1.4921206E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 1.1957275E-016,-2.9150817E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0859008E-014,-1.7193541E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 1.1916683E-016,-3.1245465E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0892361E-014,-1.9328782E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 1.1905754E-016,-3.3215559E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0813367E-014,-2.1309805E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 1.1875396E-016,-3.5092838E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0804590E-014,-2.3217442E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 1.1831508E-016,-3.6992273E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0792302E-014,-2.5160765E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 1.1809997E-016,-3.8749191E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0769482E-014,-2.6939193E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 1.1789181E-016,-4.0513294E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0774748E-014,-2.8724113E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 1.1762466E-016,-4.2236079E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0667667E-014,-3.0473613E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 1.1734710E-016,-4.4110364E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0713308E-014,-3.2375653E-016, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000, 1.0055498E-016,-4.5204395E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7193853E-015,-3.5148897E-016, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000, 1.0045090E-016,-4.6327169E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1768326E-015,-3.6282080E-016, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000, 1.0029477E-016,-4.7293055E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1970771E-015,-3.7263578E-016, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000, 8.6815971E-017,-4.8070314E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3443882E-015,-3.9388717E-016, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000, 8.6756990E-017,-4.8749967E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0769251E-015,-4.0074268E-016, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000, 8.6611274E-017,-4.9458961E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1322623E-015,-4.0797834E-016, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000, 8.6469026E-017,-5.0206280E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1391795E-015,-4.1559377E-016, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000, 7.4162898E-017,-5.0731439E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1927383E-015,-4.3315149E-016, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000, 7.4145551E-017,-5.1161986E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9074590E-015,-4.3747431E-016, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000, 7.4034529E-017,-5.1669180E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8836857E-015,-4.4265727E-016, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000, 7.4013712E-017,-5.2127871E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8202903E-015,-4.4726500E-016, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000, 7.3982487E-017,-5.2593748E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9233078E-015,-4.5195499E-016, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000, 6.3785782E-017,-5.2950640E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2917465E-015,-4.6572062E-016, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000, 6.3626188E-017,-5.3256035E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0362289E-015,-4.6893416E-016, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000, 6.3594963E-017,-5.3511728E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0061680E-015,-4.7152232E-016, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000, 6.3605371E-017,-5.3842273E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8739000E-015,-4.7481736E-016, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000, 6.3574146E-017,-5.4208148E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0662898E-015,-4.7850733E-016, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000, 6.3473532E-017,-5.4514740E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0091741E-015,-4.8167387E-016, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000, 5.5351557E-017,-5.4739295E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4332040E-015,-4.9204139E-016, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000, 5.5171145E-017,-5.4949478E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2878227E-015,-4.9432364E-016, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000, 5.5171145E-017,-5.5211758E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2134416E-015,-4.9694644E-016, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000, 5.5067062E-017,-5.5377031E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2607750E-015,-4.9870324E-016, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000, 5.5115634E-017,-5.5607574E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2844418E-015,-5.0096010E-016, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000, 5.5067062E-017,-5.5812368E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2742989E-015,-5.0305661E-016, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000, 5.4983795E-017,-5.6045905E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2472512E-015,-5.0547525E-016, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000, 5.4928284E-017,-5.6287825E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2438702E-015,-5.0794997E-016, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000, 4.7670201E-017,-5.6438726E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8849030E-015,-5.1671706E-016, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000, 4.7704896E-017,-5.6566273E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5541742E-015,-5.1795784E-016, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000, 4.7593873E-017,-5.6689629E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6720201E-015,-5.1930241E-016, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000, 4.7642446E-017,-5.6826757E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5921890E-015,-5.2062512E-016, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000, 4.7573057E-017,-5.6977658E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6606156E-015,-5.2220352E-016, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000, 4.7524484E-017,-5.7127960E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5123579E-015,-5.2375511E-016, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000, 4.7510607E-017,-5.7293232E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7404467E-015,-5.2542172E-016, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000, 4.7475912E-017,-5.7421977E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4743431E-015,-5.2674386E-016, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000, 4.7482851E-017,-5.7612998E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7936675E-015,-5.2864713E-016, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000, 4.7489790E-017,-5.7778870E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5921890E-015,-5.3029891E-016, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000, 4.1432136E-017,-5.7869290E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0953610E-015,-5.3726077E-016, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000, 4.1355808E-017,-5.7984861E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2224146E-015,-5.3849281E-016, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000, 4.1376624E-017,-5.8074683E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9810128E-015,-5.3937021E-016, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000, 4.1321113E-017,-5.8134565E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1292420E-015,-5.4002453E-016, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000, 4.1328052E-017,-5.8227979E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9132508E-015,-5.4095174E-016, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000, 4.1321113E-017,-5.8372892E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1631229E-015,-5.4240781E-016, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000, 4.1321113E-017,-5.8483673E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9810128E-015,-5.4351561E-016, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000, 4.1341930E-017,-5.8620801E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1207717E-015,-5.4486608E-016, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000, 4.1314174E-017,-5.8713018E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0572449E-015,-5.4581600E-016, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000, 4.1210091E-017,-5.8814816E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0191288E-015,-5.4693807E-016, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000, 4.1217030E-017,-5.8953741E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0614800E-015,-5.4832038E-016, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000, 4.1189274E-017,-5.9070509E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1123015E-015,-5.4951582E-016, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000, 4.1230908E-017,-5.9171709E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1292420E-015,-5.5048618E-016, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000, 3.5860204E-017,-5.9261531E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8221423E-015,-5.5675510E-016, 0.0000000E+000, 0.0000000E+000
