,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:59:32.295+02:00,   0.395E-02,   0.00395,   2.13069
      2,2020-07-15T15:59:32.391+02:00,   0.395E-02,   0.00791,   2.50514
      3,2020-07-15T15:59:32.483+02:00,   0.395E-02,   0.01186,   2.86554
      4,2020-07-15T15:59:32.569+02:00,   0.395E-02,   0.01581,   3.21026
      5,2020-07-15T15:59:32.661+02:00,   0.395E-02,   0.01976,   3.57217
      6,2020-07-15T15:59:32.761+02:00,   0.395E-02,   0.02372,   3.96059
      7,2020-07-15T15:59:32.856+02:00,   0.395E-02,   0.02767,   4.32937
      8,2020-07-15T15:59:32.942+02:00,   0.395E-02,   0.03162,   4.67409
      9,2020-07-15T15:59:33.036+02:00,   0.395E-02,   0.03558,   5.03783
     10,2020-07-15T15:59:33.131+02:00,   0.395E-02,   0.03953,   5.41326
     20,2020-07-15T15:59:34.063+02:00,   0.395E-02,   0.07906,   9.04774
     30,2020-07-15T15:59:35.112+02:00,   0.263E-02,   0.10926,  13.14631
     40,2020-07-15T15:59:36.314+02:00,   0.205E-02,   0.13247,  17.88579
     50,2020-07-15T15:59:37.609+02:00,   0.183E-02,   0.15208,  22.95144
     60,2020-07-15T15:59:38.687+02:00,   0.164E-02,   0.16959,  27.17250
     70,2020-07-15T15:59:39.655+02:00,   0.147E-02,   0.18581,  30.97779
     80,2020-07-15T15:59:40.756+02:00,   0.147E-02,   0.20053,  35.20107
     90,2020-07-15T15:59:42.080+02:00,   0.132E-02,   0.21466,  40.32143
    100,2020-07-15T15:59:43.340+02:00,   0.132E-02,   0.22791,  45.31799
    200,2020-07-15T15:59:55.339+02:00,   0.960E-03,   0.33864,  90.20852
    300,2020-07-15T16:00:06.384+02:00,   0.776E-03,   0.42727, 133.73014
    400,2020-07-15T16:00:17.392+02:00,   0.698E-03,   0.50272, 177.44828
    500,2020-07-15T16:00:28.260+02:00,   0.628E-03,   0.57078, 220.71528
    600,2020-07-15T16:00:39.403+02:00,   0.628E-03,   0.63357, 264.88210
    700,2020-07-15T16:00:50.682+02:00,   0.565E-03,   0.69065, 309.81742
    800,2020-07-15T16:01:01.966+02:00,   0.508E-03,   0.74619, 354.76841
    900,2020-07-15T16:01:13.354+02:00,   0.508E-03,   0.79704, 400.12677
   1000,2020-07-15T16:01:24.929+02:00,   0.508E-03,   0.84788, 446.24718
   1100,2020-07-15T16:01:36.506+02:00,   0.457E-03,   0.89495, 492.37133
   1200,2020-07-15T16:01:47.932+02:00,   0.457E-03,   0.94070, 537.91678
   1300,2020-07-15T16:01:59.354+02:00,   0.457E-03,   0.98644, 583.44825
   1400,2020-07-15T16:02:10.857+02:00,   0.412E-03,   1.03113, 629.23987
   1500,2020-07-15T16:02:21.997+02:00,   0.412E-03,   1.07230, 673.67670
   1600,2020-07-15T16:02:33.241+02:00,   0.412E-03,   1.11346, 718.54991
   1700,2020-07-15T16:02:44.797+02:00,   0.412E-03,   1.15463, 764.59070
   1800,2020-07-15T16:02:56.399+02:00,   0.412E-03,   1.19580, 810.86432
   1900,2020-07-15T16:03:08.081+02:00,   0.412E-03,   1.23696, 857.42100
   2000,2020-07-15T16:03:19.842+02:00,   0.370E-03,   1.27402, 904.36038
   2100,2020-07-15T16:03:31.723+02:00,   0.370E-03,   1.31099, 951.78954
   2200,2020-07-15T16:03:43.606+02:00,   0.332E-03,   1.34506, 999.10253
   2300,2020-07-15T16:03:55.431+02:00,   0.298E-03,   1.37682,1046.28678
   2400,2020-07-15T16:04:07.455+02:00,   0.298E-03,   1.40661,1093.58093
   2500,2020-07-15T16:04:19.170+02:00,   0.268E-03,   1.43364,1140.33833
   2600,2020-07-15T16:04:30.901+02:00,   0.268E-03,   1.46042,1187.12764
