,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:59:31.753+02:00,   0.125E+00,   0.12500,   0.33899
      2,2020-07-15T15:59:32.548+02:00,   0.125E+00,   0.25000,   1.92653
      3,2020-07-15T15:59:33.405+02:00,   0.125E+00,   0.37500,   3.59317
      4,2020-07-15T15:59:34.198+02:00,   0.125E+00,   0.50000,   5.17495
      5,2020-07-15T15:59:34.999+02:00,   0.125E+00,   0.62500,   6.77558
      6,2020-07-15T15:59:35.080+02:00,   0.125E+00,   0.75000,   6.93667
      7,2020-07-15T15:59:35.872+02:00,   0.125E+00,   0.87500,   8.51711
      8,2020-07-15T15:59:36.657+02:00,   0.125E+00,   1.00000,  10.08629
      9,2020-07-15T15:59:37.459+02:00,   0.125E+00,   1.12500,  11.68959
     10,2020-07-15T15:59:38.262+02:00,   0.125E+00,   1.25000,  13.29095
     20,2020-07-15T15:59:40.141+02:00,   0.110E+00,   2.48518,  17.01521
     30,2020-07-15T15:59:41.573+02:00,   0.987E-01,   3.55258,  19.83676
     40,2020-07-15T15:59:41.909+02:00,   0.987E-01,   4.53958,  20.43364
     50,2020-07-15T15:59:42.220+02:00,   0.987E-01,   5.52659,  21.01888
     60,2020-07-15T15:59:42.592+02:00,   0.987E-01,   6.51360,  21.72542
     70,2020-07-15T15:59:42.934+02:00,   0.879E-01,   7.42495,  22.37289
     80,2020-07-15T15:59:43.836+02:00,   0.879E-01,   8.30387,  24.16035
     90,2020-07-15T15:59:44.391+02:00,   0.879E-01,   9.18279,  25.22636
    100,2020-07-15T15:59:44.698+02:00,   0.879E-01,  10.06170,  25.77454
    200,2020-07-15T15:59:48.760+02:00,   0.879E-01,  18.85090,  33.57619
    300,2020-07-15T15:59:56.979+02:00,   0.879E-01,  27.64009,  48.94894
    400,2020-07-15T16:00:07.407+02:00,   0.879E-01,  36.42928,  67.86496
    500,2020-07-15T16:00:18.360+02:00,   0.879E-01,  45.21847,  87.76007
    600,2020-07-15T16:00:28.103+02:00,   0.879E-01,  54.00766, 105.85943
    674,2020-07-15T16:00:34.275+02:00,   0.688E-03,  60.00000, 116.93638
