,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:59:32.146+02:00,   0.125E+00,   0.12500,   0.90821
      2,2020-07-15T15:59:32.373+02:00,   0.125E+00,   0.25000,   1.36079
      3,2020-07-15T15:59:32.622+02:00,   0.125E+00,   0.37500,   1.83955
      4,2020-07-15T15:59:32.854+02:00,   0.125E+00,   0.50000,   2.30075
      5,2020-07-15T15:59:33.079+02:00,   0.125E+00,   0.62500,   2.75156
      6,2020-07-15T15:59:33.305+02:00,   0.125E+00,   0.75000,   3.20141
      7,2020-07-15T15:59:33.531+02:00,   0.125E+00,   0.87500,   3.65221
      8,2020-07-15T15:59:33.757+02:00,   0.125E+00,   1.00000,   4.10309
      9,2020-07-15T15:59:33.983+02:00,   0.125E+00,   1.12500,   4.55394
     10,2020-07-15T15:59:34.208+02:00,   0.125E+00,   1.25000,   5.00468
     20,2020-07-15T15:59:34.716+02:00,   0.112E+00,   2.47411,   5.98911
     30,2020-07-15T15:59:35.115+02:00,   0.993E-01,   3.58191,   6.75671
     40,2020-07-15T15:59:35.514+02:00,   0.993E-01,   4.57491,   7.54077
     50,2020-07-15T15:59:36.152+02:00,   0.993E-01,   5.56790,   8.76739
     60,2020-07-15T15:59:36.756+02:00,   0.993E-01,   6.56090,   9.94612
     70,2020-07-15T15:59:37.156+02:00,   0.889E-01,   7.47033,  10.71631
     80,2020-07-15T15:59:37.645+02:00,   0.889E-01,   8.35888,  11.64088
     90,2020-07-15T15:59:38.081+02:00,   0.889E-01,   9.24742,  12.44127
    100,2020-07-15T15:59:38.494+02:00,   0.889E-01,  10.13597,  13.21959
    200,2020-07-15T15:59:42.951+02:00,   0.889E-01,  19.02142,  21.66926
    300,2020-07-15T15:59:52.143+02:00,   0.889E-01,  27.90686,  38.43405
    400,2020-07-15T16:00:02.523+02:00,   0.889E-01,  36.79231,  57.03908
    500,2020-07-15T16:00:12.455+02:00,   0.889E-01,  45.67776,  74.73995
    600,2020-07-15T16:00:23.284+02:00,   0.799E-01,  53.71320,  93.86224
    679,2020-07-15T16:00:31.397+02:00,   0.541E-01,  60.00000, 108.80842
