s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 1.9784627E-003, 2.1684043E-019, 1.0000000E+000
 2.5000000E-001, 1.2435300E-001, 1.2435300E-001, 2.7755576E-017, 1.0000000E+001
 3.7500000E-001, 2.4491866E-001, 2.4491866E-001, 5.5511151E-017, 1.0000000E+001
 5.0000000E-001, 3.5835740E-001, 3.5835740E-001, 1.1102230E-016, 1.0000000E+001
 6.2500000E-001, 4.6211716E-001, 4.6211716E-001, 1.1102230E-016, 1.0000000E+001
 7.5000000E-001, 5.5459972E-001, 5.5459972E-001, 2.2204460E-016, 1.0000000E+001
 8.7500000E-001, 6.3514895E-001, 6.3514895E-001, 1.1102230E-016, 1.0000000E+001
 1.0000000E+000, 7.0390560E-001, 7.0390560E-001, 2.2204460E-016, 1.0000000E+001
 1.1250000E+000, 7.6159416E-001, 7.6159416E-001, 1.1102230E-016, 1.0000000E+001
 1.2500000E+000, 8.0930107E-001, 8.0930107E-001, 2.2204460E-016, 1.0000000E+001
 1.3750000E+000, 8.4828364E-001, 8.4828364E-001, 1.1102230E-016, 4.0000000E+000
 1.5000000E+000, 8.7982670E-001, 8.7982670E-001, 2.2204460E-016, 4.0000000E+000
 1.6250000E+000, 9.0514825E-001, 9.0514825E-001, 1.1102230E-016, 1.0000000E+000
 1.7500000E+000, 9.2534623E-001, 9.2534623E-001, 2.2204460E-016, 1.0000000E+000
 1.8750000E+000, 9.4137554E-001, 9.4137554E-001, 2.2204460E-016, 1.0000000E+000
 2.0000000E+000, 9.5404526E-001, 9.5404526E-001, 2.2204460E-016, 1.0000000E+000
 2.1250000E+000, 9.6402758E-001, 9.6402758E-001, 2.2204460E-016, 1.0000000E+000
 2.2500000E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000
 2.3620559E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000
 2.4741118E+000, 9.8239908E-001, 9.8239908E-001, 2.2204460E-016, 1.0000000E+000
 2.5861677E+000, 9.8590799E-001, 9.8590799E-001, 2.2204460E-016, 1.0000000E+000
 2.6982236E+000, 9.8872135E-001, 9.8872135E-001, 2.2204460E-016, 1.0000000E+000
 2.8102795E+000, 9.9097559E-001, 9.9097559E-001, 2.2204460E-016, 1.0000000E+000
 2.9223354E+000, 9.9278092E-001, 9.9278092E-001, 2.2204460E-016, 1.0000000E+000
 3.0343913E+000, 9.9422614E-001, 9.9422614E-001, 2.2204460E-016, 1.0000000E+000
 3.1464472E+000, 9.9538271E-001, 9.9538271E-001, 2.2204460E-016, 1.0000000E+000
 3.2585031E+000, 9.9630803E-001, 9.9630803E-001, 2.2204460E-016, 1.0000000E+000
 3.3705590E+000, 9.9704819E-001, 9.9704819E-001, 2.2204460E-016, 1.0000000E+000
 3.4826149E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000
 3.5819144E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000
 3.6812139E+000, 9.9845303E-001, 9.9845303E-001, 2.2204460E-016, 1.0000000E+000
 3.7805134E+000, 9.9873149E-001, 9.9873149E-001, 2.2204460E-016, 1.0000000E+000
 3.8798129E+000, 9.9895986E-001, 9.9895986E-001, 2.2204460E-016, 1.0000000E+000
 3.9791124E+000, 9.9914713E-001, 9.9914713E-001, 2.2204460E-016, 1.0000000E+000
 4.0784119E+000, 9.9930070E-001, 9.9930070E-001, 2.2204460E-016, 1.0000000E+000
 4.1777114E+000, 9.9942662E-001, 9.9942662E-001, 2.2204460E-016, 1.0000000E+000
 4.2770109E+000, 9.9952987E-001, 9.9952987E-001, 2.2204460E-016, 1.0000000E+000
 4.3763104E+000, 9.9961454E-001, 9.9961454E-001, 2.2204460E-016, 1.0000000E+000
 4.4756099E+000, 9.9968396E-001, 9.9968396E-001, 2.2204460E-016, 1.0000000E+000
 4.5749094E+000, 9.9974088E-001, 9.9974088E-001, 2.2204460E-016, 1.0000000E+000
 4.6742089E+000, 9.9978754E-001, 9.9978754E-001, 2.2204460E-016, 1.0000000E+000
 4.7735084E+000, 9.9982581E-001, 9.9982581E-001, 2.2204460E-016, 1.0000000E+000
 4.8728079E+000, 9.9985718E-001, 9.9985718E-001, 2.2204460E-016, 1.0000000E+000
 4.9721074E+000, 9.9988291E-001, 9.9988291E-001, 2.2204460E-016, 1.0000000E+000
 5.0714069E+000, 9.9990400E-001, 9.9990400E-001, 2.2204460E-016, 1.0000000E+000
 5.1707064E+000, 9.9992129E-001, 9.9992129E-001, 2.2204460E-016, 1.0000000E+000
 5.2700059E+000, 9.9993546E-001, 9.9993546E-001, 2.2204460E-016, 1.0000000E+000
 5.3693054E+000, 9.9994709E-001, 9.9994709E-001, 2.2204460E-016, 1.0000000E+000
 5.4686049E+000, 9.9995662E-001, 9.9995662E-001, 2.2204460E-016, 1.0000000E+000
