,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T16:50:50.616+02:00,   0.494E-01,   0.04941,   7.97509
      2,2020-07-15T16:50:50.685+02:00,   0.494E-01,   0.09882,   8.24398
      3,2020-07-15T16:50:50.754+02:00,   0.494E-01,   0.14823,   8.50121
      4,2020-07-15T16:50:50.870+02:00,   0.494E-01,   0.19764,   8.96790
      5,2020-07-15T16:50:50.942+02:00,   0.494E-01,   0.24705,   9.25017
      6,2020-07-15T16:50:51.005+02:00,   0.494E-01,   0.29646,   9.50133
      7,2020-07-15T16:50:51.106+02:00,   0.494E-01,   0.34587,   9.90407
      8,2020-07-15T16:50:51.173+02:00,   0.494E-01,   0.39528,  10.17299
      9,2020-07-15T16:50:51.251+02:00,   0.494E-01,   0.44470,  10.48495
     10,2020-07-15T16:50:51.346+02:00,   0.494E-01,   0.49411,  10.86182
     20,2020-07-15T16:50:52.197+02:00,   0.211E-01,   0.77522,  14.25630
     30,2020-07-15T16:50:53.099+02:00,   0.113E-01,   0.92684,  17.82424
     40,2020-07-15T16:50:53.921+02:00,   0.101E-01,   1.03137,  21.06179
     50,2020-07-15T16:50:54.660+02:00,   0.111E-01,   1.13341,  24.00980
     60,2020-07-15T16:50:55.426+02:00,   0.822E-02,   1.22420,  27.06789
     70,2020-07-15T16:50:56.173+02:00,   0.705E-02,   1.29706,  30.05109
     80,2020-07-15T16:50:56.893+02:00,   0.853E-02,   1.37119,  32.92840
     90,2020-07-15T16:50:57.665+02:00,   0.726E-02,   1.44758,  36.01240
    100,2020-07-15T16:50:58.402+02:00,   0.798E-02,   1.52667,  38.94511
    200,2020-07-15T16:51:06.055+02:00,   0.876E-02,   2.34944,  69.52073
    300,2020-07-15T16:51:14.437+02:00,   0.791E-02,   3.17783, 102.98891
    400,2020-07-15T16:51:23.613+02:00,   0.880E-02,   4.03970, 139.63184
    500,2020-07-15T16:51:33.588+02:00,   0.886E-02,   4.98793, 179.40872
    600,2020-07-15T16:51:43.933+02:00,   0.955E-02,   5.96131, 220.74706
    700,2020-07-15T16:51:54.699+02:00,   0.896E-02,   6.92925, 263.76016
    800,2020-07-15T16:52:05.231+02:00,   0.110E-01,   7.86327, 305.79828
    900,2020-07-15T16:52:15.848+02:00,   0.957E-02,   8.80738, 348.20141
   1000,2020-07-15T16:52:26.802+02:00,   0.966E-02,   9.80181, 391.85434
   1100,2020-07-15T16:52:37.392+02:00,   0.110E-01,  10.82667, 434.02286
