s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-4.6861414E-006,-3.8335334E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8340020E-002, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-3.1727457E-006,-2.3618804E-002, 2.6868909E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8125052E-005,-2.3621977E-002, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-3.1726331E-006,-6.2723858E-003, 6.8967698E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7994051E-005,-6.2755578E-003, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-2.0341940E-006, 1.0158289E-002, 1.2340670E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7225834E-005, 1.0156256E-002, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-2.0340296E-006, 2.1550268E-002, 1.8133972E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0886498E-005, 2.1548235E-002, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-1.2503530E-006, 2.5819512E-002, 2.3633794E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1067662E-005, 2.5818264E-002, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-1.2502045E-006, 2.3224367E-002, 2.8310487E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6925018E-005, 2.3223120E-002, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-8.4158950E-007, 1.5755308E-002, 3.2089467E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1741406E-005, 1.5754470E-002, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000,-8.4148502E-007, 6.2005135E-003, 3.5031880E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5984844E-005, 6.1996755E-003, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000,-5.9545355E-007,-2.7661753E-003, 3.7433962E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1798917E-005,-2.7667670E-003, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000,-5.9537898E-007,-1.0727188E-002, 3.9473018E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8545353E-005,-1.0727780E-002, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000,-4.0767858E-007,-1.7061399E-002, 4.1312533E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6293665E-005,-1.7061803E-002, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000,-4.0761841E-007,-2.1353980E-002, 4.3087216E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4965947E-005,-2.1354383E-002, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000,-2.6755019E-007,-2.3418929E-002, 4.4972673E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4972733E-005,-2.3419192E-002, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000,-2.6748622E-007,-2.3285379E-002, 4.7072192E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5908797E-005,-2.3285642E-002, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000,-1.7971138E-007,-2.1167167E-002, 4.9496806E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7903698E-005,-2.1167341E-002, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000,-1.7962892E-007,-1.7422814E-002, 5.2293023E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0507766E-005,-1.7422988E-002, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000,-1.3742254E-007,-1.2511165E-002, 5.5495247E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3641327E-005,-1.2511297E-002, 0.0000000E+000, 0.0000000E+000
