,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:05.611+02:00,   0.200E-02,   0.00200,   3.42954
      2,2020-07-15T15:52:05.974+02:00,   0.200E-02,   0.00400,   4.15427
      3,2020-07-15T15:52:06.044+02:00,   0.200E-02,   0.00600,   4.29355
      4,2020-07-15T15:52:06.094+02:00,   0.200E-02,   0.00800,   4.39095
      5,2020-07-15T15:52:06.136+02:00,   0.200E-02,   0.01000,   4.47446
      6,2020-07-15T15:52:06.198+02:00,   0.200E-02,   0.01200,   4.58092
      7,2020-07-15T15:52:06.243+02:00,   0.200E-02,   0.01400,   4.67129
      8,2020-07-15T15:52:06.288+02:00,   0.200E-02,   0.01600,   4.76080
      9,2020-07-15T15:52:06.330+02:00,   0.200E-02,   0.01800,   4.84405
     10,2020-07-15T15:52:06.372+02:00,   0.200E-02,   0.02000,   4.92759
     20,2020-07-15T15:52:06.792+02:00,   0.200E-02,   0.04000,   5.76060
     30,2020-07-15T15:52:07.234+02:00,   0.200E-02,   0.06000,   6.62516
     40,2020-07-15T15:52:07.682+02:00,   0.200E-02,   0.08000,   7.51696
     50,2020-07-15T15:52:08.101+02:00,   0.200E-02,   0.10000,   8.34943
     60,2020-07-15T15:52:08.594+02:00,   0.200E-02,   0.12000,   9.31345
     70,2020-07-15T15:52:08.981+02:00,   0.200E-02,   0.14000,  10.08429
     80,2020-07-15T15:52:09.407+02:00,   0.200E-02,   0.16000,  10.91506
     90,2020-07-15T15:52:09.817+02:00,   0.200E-02,   0.18000,  11.73216
    100,2020-07-15T15:52:10.293+02:00,   0.200E-02,   0.20000,  12.63573
    200,2020-07-15T15:52:14.699+02:00,   0.200E-02,   0.40000,  21.34565
    250,2020-07-15T15:52:16.942+02:00,   0.200E-02,   0.50000,  25.75842
