s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6396809E-003, 0.0000000E+000, 0.0000000E+000,-5.3650815E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3650815E-006, 0.0000000E+000, 0.0000000E+000
 5.2793617E-003, 0.0000000E+000, 0.0000000E+000,-5.1578016E-006, 8.9654039E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1988331E-004,-5.1488362E-006, 0.0000000E+000, 0.0000000E+000
 7.9190424E-003, 0.0000000E+000, 0.0000000E+000,-4.9617233E-006, 1.7510245E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1924691E-004,-4.9442130E-006, 0.0000000E+000, 0.0000000E+000
 1.0558723E-002, 0.0000000E+000, 0.0000000E+000,-4.7671664E-006, 2.5771172E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1918632E-004,-4.7413952E-006, 0.0000000E+000, 0.0000000E+000
 1.3462372E-002, 0.0000000E+000, 0.0000000E+000,-4.5534384E-006, 3.4591640E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1921981E-004,-4.5188467E-006, 0.0000000E+000, 0.0000000E+000
 1.6366022E-002, 0.0000000E+000, 0.0000000E+000,-4.3383395E-006, 4.3159768E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1921040E-004,-4.2951798E-006, 0.0000000E+000, 0.0000000E+000
 1.9560035E-002, 0.0000000E+000, 0.0000000E+000,-4.1009723E-006, 5.2281497E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1911676E-004,-4.0486908E-006, 0.0000000E+000, 0.0000000E+000
 2.2754049E-002, 0.0000000E+000, 0.0000000E+000,-3.8638201E-006, 6.1088455E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1895782E-004,-3.8027316E-006, 0.0000000E+000, 0.0000000E+000
 2.6267465E-002, 0.0000000E+000, 0.0000000E+000,-3.6038701E-006, 7.0410704E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1880863E-004,-3.5334594E-006, 0.0000000E+000, 0.0000000E+000
 2.9780880E-002, 0.0000000E+000, 0.0000000E+000,-3.3447949E-006, 7.9373619E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1866143E-004,-3.2654213E-006, 0.0000000E+000, 0.0000000E+000
 3.3645637E-002, 0.0000000E+000, 0.0000000E+000,-3.0606009E-006, 8.8831642E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1854318E-004,-2.9717692E-006, 0.0000000E+000, 0.0000000E+000
 3.7510391E-002, 0.0000000E+000, 0.0000000E+000,-2.7770386E-006, 9.7910405E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1840954E-004,-2.6791282E-006, 0.0000000E+000, 0.0000000E+000
 4.1375149E-002, 0.0000000E+000, 0.0000000E+000,-2.4941147E-006, 1.0664783E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1827518E-004,-2.3874668E-006, 0.0000000E+000, 0.0000000E+000
 4.5239907E-002, 0.0000000E+000, 0.0000000E+000,-2.2119127E-006, 1.1508905E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1813993E-004,-2.0968237E-006, 0.0000000E+000, 0.0000000E+000
 4.9491137E-002, 0.0000000E+000, 0.0000000E+000,-1.9024642E-006, 1.2408534E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1801951E-004,-1.7783788E-006, 0.0000000E+000, 0.0000000E+000
 5.3742371E-002, 0.0000000E+000, 0.0000000E+000,-1.5030549E-006, 1.3264864E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0902343E-004,-1.3704063E-006, 0.0000000E+000, 0.0000000E+000
 5.7993606E-002, 0.0000000E+000, 0.0000000E+000,-1.0972596E-006, 1.4088822E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0261752E-004,-9.5637140E-007, 0.0000000E+000, 0.0000000E+000
 6.2244836E-002, 0.0000000E+000, 0.0000000E+000,-6.9249576E-007, 1.4891931E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9667896E-004,-5.4357645E-007, 0.0000000E+000, 0.0000000E+000
 6.6921189E-002, 0.0000000E+000, 0.0000000E+000,-2.4354631E-007, 1.5754217E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8941712E-004,-8.6004138E-008, 0.0000000E+000, 0.0000000E+000
 7.1597546E-002, 0.0000000E+000, 0.0000000E+000, 2.0540579E-007, 1.6599095E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8258636E-004, 3.7139674E-007, 0.0000000E+000, 0.0000000E+000
 7.6273903E-002, 0.0000000E+000, 0.0000000E+000, 6.4965417E-007, 1.7428287E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7614971E-004, 8.2393704E-007, 0.0000000E+000, 0.0000000E+000
 8.0950260E-002, 0.0000000E+000, 0.0000000E+000, 1.0983000E-006, 1.8240937E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6906603E-004, 1.2807094E-006, 0.0000000E+000, 0.0000000E+000
 8.5626617E-002, 0.0000000E+000, 0.0000000E+000, 1.5466392E-006, 1.9038255E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6213182E-004, 1.7370218E-006, 0.0000000E+000, 0.0000000E+000
 9.0302974E-002, 0.0000000E+000, 0.0000000E+000, 1.9901677E-006, 1.9822256E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5563065E-004, 2.1883903E-006, 0.0000000E+000, 0.0000000E+000
 9.4979323E-002, 0.0000000E+000, 0.0000000E+000, 2.4383691E-006, 2.0591232E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4849446E-004, 2.6442814E-006, 0.0000000E+000, 0.0000000E+000
 9.9655680E-002, 0.0000000E+000, 0.0000000E+000, 2.8819293E-006, 2.1345885E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4194414E-004, 3.0953882E-006, 0.0000000E+000, 0.0000000E+000
 1.0433204E-001, 0.0000000E+000, 0.0000000E+000, 3.2960181E-006, 2.2069608E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3112164E-004, 3.5167142E-006, 0.0000000E+000, 0.0000000E+000
 1.0900839E-001, 0.0000000E+000, 0.0000000E+000, 3.6962749E-006, 2.2767195E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2160686E-004, 3.9239468E-006, 0.0000000E+000, 0.0000000E+000
 1.1368475E-001, 0.0000000E+000, 0.0000000E+000, 4.0838261E-006, 2.3442609E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1290024E-004, 4.3182522E-006, 0.0000000E+000, 0.0000000E+000
 1.1836111E-001, 0.0000000E+000, 0.0000000E+000, 4.4659131E-006, 2.4093046E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0336243E-004, 4.7068436E-006, 0.0000000E+000, 0.0000000E+000
 1.2303746E-001, 0.0000000E+000, 0.0000000E+000, 4.8365350E-006, 2.4719458E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9463715E-004, 5.0837296E-006, 0.0000000E+000, 0.0000000E+000
 1.2771381E-001, 0.0000000E+000, 0.0000000E+000, 5.2016341E-006, 2.5318684E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8505820E-004, 5.4548209E-006, 0.0000000E+000, 0.0000000E+000
 1.3239017E-001, 0.0000000E+000, 0.0000000E+000, 5.5580824E-006, 2.5890522E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7569904E-004, 5.8169876E-006, 0.0000000E+000, 0.0000000E+000
 1.3706653E-001, 0.0000000E+000, 0.0000000E+000, 5.9035117E-006, 2.6437118E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6694205E-004, 6.1678829E-006, 0.0000000E+000, 0.0000000E+000
 1.4174289E-001, 0.0000000E+000, 0.0000000E+000, 6.2434882E-006, 2.6955662E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5733862E-004, 6.5130448E-006, 0.0000000E+000, 0.0000000E+000
 1.4641924E-001, 0.0000000E+000, 0.0000000E+000, 6.5729619E-006, 2.7448532E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4856067E-004, 6.8474473E-006, 0.0000000E+000, 0.0000000E+000
 1.5109560E-001, 0.0000000E+000, 0.0000000E+000, 6.8528344E-006, 2.7931791E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4521098E-004, 7.1321523E-006, 0.0000000E+000, 0.0000000E+000
 1.5577196E-001, 0.0000000E+000, 0.0000000E+000, 6.9783610E-006, 2.8462821E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6090012E-004, 7.2629893E-006, 0.0000000E+000, 0.0000000E+000
 1.6044831E-001, 0.0000000E+000, 0.0000000E+000, 7.1107417E-006, 2.9017435E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6753293E-004, 7.4009160E-006, 0.0000000E+000, 0.0000000E+000
 1.6512465E-001, 0.0000000E+000, 0.0000000E+000, 7.2377428E-006, 2.9584702E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7454763E-004, 7.5335898E-006, 0.0000000E+000, 0.0000000E+000
 1.6980101E-001, 0.0000000E+000, 0.0000000E+000, 7.3633205E-006, 3.0165564E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8140831E-004, 7.6649762E-006, 0.0000000E+000, 0.0000000E+000
 1.7447737E-001, 0.0000000E+000, 0.0000000E+000, 7.4928853E-006, 3.0763316E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8788448E-004, 7.8005184E-006, 0.0000000E+000, 0.0000000E+000
 1.7915373E-001, 0.0000000E+000, 0.0000000E+000, 7.6161084E-006, 3.1383012E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9513801E-004, 7.9299385E-006, 0.0000000E+000, 0.0000000E+000
 1.8383008E-001, 0.0000000E+000, 0.0000000E+000, 7.7442723E-006, 3.2023559E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0172552E-004, 8.0645079E-006, 0.0000000E+000, 0.0000000E+000
 1.8850644E-001, 0.0000000E+000, 0.0000000E+000, 7.8667250E-006, 3.2685594E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0900355E-004, 8.1935809E-006, 0.0000000E+000, 0.0000000E+000
 1.9318280E-001, 0.0000000E+000, 0.0000000E+000, 7.9888032E-006, 3.3368017E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1609161E-004, 8.3224833E-006, 0.0000000E+000, 0.0000000E+000
 1.9785915E-001, 0.0000000E+000, 0.0000000E+000, 8.1158519E-006, 3.4068528E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2268474E-004, 8.4565371E-006, 0.0000000E+000, 0.0000000E+000
 2.0253551E-001, 0.0000000E+000, 0.0000000E+000, 8.1910421E-006, 3.4780681E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2805238E-004, 8.5388489E-006, 0.0000000E+000, 0.0000000E+000
 2.0721187E-001, 0.0000000E+000, 0.0000000E+000, 8.2291222E-006, 3.5500142E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3207332E-004, 8.5841237E-006, 0.0000000E+000, 0.0000000E+000
 2.1188822E-001, 0.0000000E+000, 0.0000000E+000, 8.2498976E-006, 3.6231055E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3734400E-004, 8.6122081E-006, 0.0000000E+000, 0.0000000E+000
 2.1656458E-001, 0.0000000E+000, 0.0000000E+000, 8.2632051E-006, 3.6973563E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4254877E-004, 8.6329407E-006, 0.0000000E+000, 0.0000000E+000
 2.2124092E-001, 0.0000000E+000, 0.0000000E+000, 8.2785875E-006, 3.7725482E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4742040E-004, 8.6558423E-006, 0.0000000E+000, 0.0000000E+000
 2.2591728E-001, 0.0000000E+000, 0.0000000E+000, 8.2782763E-006, 3.8486489E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5280520E-004, 8.6631412E-006, 0.0000000E+000, 0.0000000E+000
 2.3059364E-001, 0.0000000E+000, 0.0000000E+000, 8.2799481E-006, 3.9255047E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5772760E-004, 8.6724986E-006, 0.0000000E+000, 0.0000000E+000
 2.3526999E-001, 0.0000000E+000, 0.0000000E+000, 8.2657658E-006, 4.0031398E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6317004E-004, 8.6660798E-006, 0.0000000E+000, 0.0000000E+000
 2.3994635E-001, 0.0000000E+000, 0.0000000E+000, 8.2446075E-006, 4.0815447E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6851568E-004, 8.6527620E-006, 0.0000000E+000, 0.0000000E+000
 2.4462271E-001, 0.0000000E+000, 0.0000000E+000, 8.2261125E-006, 4.1606064E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7353515E-004, 8.6421732E-006, 0.0000000E+000, 0.0000000E+000
 2.4929906E-001, 0.0000000E+000, 0.0000000E+000, 8.1920799E-006, 4.2404041E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7908395E-004, 8.6161203E-006, 0.0000000E+000, 0.0000000E+000
 2.5397542E-001, 0.0000000E+000, 0.0000000E+000, 8.5455354E-006, 4.3242556E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8994322E-004, 8.9779610E-006, 0.0000000E+000, 0.0000000E+000
 2.5804698E-001, 0.0000000E+000, 0.0000000E+000, 8.9239225E-006, 4.3969175E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9683364E-004, 9.3636143E-006, 0.0000000E+000, 0.0000000E+000
 2.6211855E-001, 0.0000000E+000, 0.0000000E+000, 9.3110504E-006, 4.4710969E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0410749E-004, 9.7581601E-006, 0.0000000E+000, 0.0000000E+000
 2.6619011E-001, 0.0000000E+000, 0.0000000E+000, 9.7179109E-006, 4.5462084E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1204178E-004, 1.0172532E-005, 0.0000000E+000, 0.0000000E+000
 2.7026168E-001, 0.0000000E+000, 0.0000000E+000, 1.0126758E-005, 4.6219404E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1912762E-004, 1.0588952E-005, 0.0000000E+000, 0.0000000E+000
 2.7433324E-001, 0.0000000E+000, 0.0000000E+000, 1.0557539E-005, 4.6984739E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2708508E-004, 1.1027387E-005, 0.0000000E+000, 0.0000000E+000
 2.7840480E-001, 0.0000000E+000, 0.0000000E+000, 1.0991652E-005, 4.7754969E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3420747E-004, 1.1469202E-005, 0.0000000E+000, 0.0000000E+000
 2.8247637E-001, 0.0000000E+000, 0.0000000E+000, 1.1449482E-005, 4.8531597E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4219926E-004, 1.1934798E-005, 0.0000000E+000, 0.0000000E+000
 2.8654793E-001, 0.0000000E+000, 0.0000000E+000, 1.1911091E-005, 4.9311563E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4935293E-004, 1.2404207E-005, 0.0000000E+000, 0.0000000E+000
 2.9061949E-001, 0.0000000E+000, 0.0000000E+000, 1.2386619E-005, 5.0094987E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5676593E-004, 1.2887569E-005, 0.0000000E+000, 0.0000000E+000
 2.9469106E-001, 0.0000000E+000, 0.0000000E+000, 1.2888006E-005, 5.0883632E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6481488E-004, 1.3396842E-005, 0.0000000E+000, 0.0000000E+000
 2.9876262E-001, 0.0000000E+000, 0.0000000E+000, 1.3393836E-005, 5.1675073E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7202360E-004, 1.3910587E-005, 0.0000000E+000, 0.0000000E+000
