,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:47.741+02:00,   0.264E-02,   0.00264,   3.21789
      2,2020-07-15T15:52:47.806+02:00,   0.264E-02,   0.00528,   3.48036
      3,2020-07-15T15:52:47.880+02:00,   0.264E-02,   0.00792,   3.75839
      4,2020-07-15T15:52:47.968+02:00,   0.264E-02,   0.01056,   4.11011
      5,2020-07-15T15:52:48.025+02:00,   0.290E-02,   0.01346,   4.33711
      6,2020-07-15T15:52:48.083+02:00,   0.290E-02,   0.01637,   4.56746
      7,2020-07-15T15:52:48.185+02:00,   0.319E-02,   0.01956,   4.95823
      8,2020-07-15T15:52:48.245+02:00,   0.319E-02,   0.02275,   5.19693
      9,2020-07-15T15:52:48.308+02:00,   0.351E-02,   0.02627,   5.44619
     10,2020-07-15T15:52:48.397+02:00,   0.351E-02,   0.02978,   5.79956
     20,2020-07-15T15:52:49.117+02:00,   0.468E-02,   0.07160,   8.60009
     30,2020-07-15T15:52:49.850+02:00,   0.468E-02,   0.11836,  11.45627
     40,2020-07-15T15:52:50.554+02:00,   0.468E-02,   0.16512,  14.21999
     50,2020-07-15T15:52:51.272+02:00,   0.468E-02,   0.21189,  17.03759
     60,2020-07-15T15:52:52.067+02:00,   0.407E-02,   0.25805,  20.08999
     70,2020-07-15T15:52:53.259+02:00,   0.407E-02,   0.29876,  23.50810
     80,2020-07-15T15:52:54.228+02:00,   0.356E-02,   0.33537,  26.98966
     90,2020-07-15T15:52:55.063+02:00,   0.356E-02,   0.37094,  30.16855
    100,2020-07-15T15:52:55.786+02:00,   0.319E-02,   0.40542,  32.99804
    130,2020-07-15T15:52:58.385+02:00,   0.194E-02,   0.50000,  42.73591
