,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:23.392+02:00,   0.284E-02,   0.00284,   0.62839
      2,2020-07-15T15:52:23.418+02:00,   0.284E-02,   0.00567,   0.67790
      3,2020-07-15T15:52:23.475+02:00,   0.284E-02,   0.00851,   0.75855
      4,2020-07-15T15:52:23.506+02:00,   0.284E-02,   0.01134,   0.81952
      5,2020-07-15T15:52:23.530+02:00,   0.284E-02,   0.01418,   0.86635
      6,2020-07-15T15:52:23.554+02:00,   0.284E-02,   0.01701,   0.91272
      7,2020-07-15T15:52:23.581+02:00,   0.312E-02,   0.02013,   0.96515
      8,2020-07-15T15:52:23.605+02:00,   0.343E-02,   0.02356,   1.01196
      9,2020-07-15T15:52:23.629+02:00,   0.343E-02,   0.02699,   1.05873
     10,2020-07-15T15:52:23.659+02:00,   0.343E-02,   0.03042,   1.11873
     20,2020-07-15T15:52:23.902+02:00,   0.457E-02,   0.07242,   1.56183
     30,2020-07-15T15:52:24.195+02:00,   0.457E-02,   0.11808,   2.07842
     40,2020-07-15T15:52:24.407+02:00,   0.502E-02,   0.16465,   2.48843
     50,2020-07-15T15:52:24.633+02:00,   0.452E-02,   0.21335,   2.90260
     60,2020-07-15T15:52:24.864+02:00,   0.452E-02,   0.25851,   3.32913
     70,2020-07-15T15:52:25.097+02:00,   0.398E-02,   0.29830,   3.75287
     80,2020-07-15T15:52:25.295+02:00,   0.358E-02,   0.33487,   4.13364
     90,2020-07-15T15:52:25.514+02:00,   0.358E-02,   0.37062,   4.53250
    100,2020-07-15T15:52:25.774+02:00,   0.319E-02,   0.40522,   4.98478
    130,2020-07-15T15:52:26.408+02:00,   0.229E-02,   0.50000,   6.16488
