s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6396809E-003, 2.9284847E-001, 0.0000000E+000, 3.5182015E-002, 1.6774968E+001, 9.6381218E-003, 4.0000000E+000, 4.0000000E+000, 9.9272254E-004, 5.7782683E-009
 5.2793619E-003, 2.9173303E-001, 0.0000000E+000, 3.5442042E-002,-7.2780137E-002, 8.9766010E-003, 4.0000000E+000, 4.0000000E+000, 9.9519509E-004, 5.4561277E-009
 7.9190428E-003, 2.9015617E-001, 0.0000000E+000, 3.5608448E-002,-9.9704318E-002, 8.6804760E-003, 1.0000000E+000, 4.0000000E+000, 9.6176266E-004, 4.7703946E-009
 1.0558724E-002, 2.8839966E-001, 0.0000000E+000, 3.5755758E-002,-1.0541353E-001, 3.2435389E-003, 1.0000000E+000, 4.0000000E+000, 1.3007236E-003, 6.9587163E-009
 1.3462373E-002, 2.8638918E-001, 0.0000000E+000, 3.5927794E-002,-1.0611951E-001, 1.0919741E-003, 1.0000000E+000, 3.0000000E+000, 1.7635025E-004, 7.8739583E-009
 1.6366022E-002, 2.8431513E-001, 0.0000000E+000, 3.6114803E-002,-1.0609045E-001, 1.9780781E-003, 1.0000000E+000, 4.0000000E+000, 1.4165821E-003, 5.9931994E-009
 1.9560036E-002, 2.8192073E-001, 0.0000000E+000, 3.6328668E-002,-1.0723001E-001, 1.0013576E-003, 1.0000000E+000, 3.0000000E+000, 1.7720496E-004, 5.9844758E-009
 2.2754050E-002, 2.7937346E-001, 0.0000000E+000, 3.6543289E-002,-1.1007813E-001, 1.2265647E-004, 1.0000000E+000, 3.0000000E+000, 2.1541442E-004, 8.8090273E-009
 2.6267465E-002, 2.7638066E-001, 0.0000000E+000, 3.6777060E-002,-1.1342784E-001, 4.5048361E-004, 1.0000000E+000, 3.0000000E+000, 1.6102688E-004, 4.2317458E-009
 2.9780880E-002, 2.7319176E-001, 0.0000000E+000, 3.7009184E-002,-1.1718091E-001, 2.6564768E-004, 1.0000000E+000, 3.0000000E+000, 1.7856004E-004, 6.2832051E-009
 3.3645637E-002, 2.6946829E-001, 0.0000000E+000, 3.7264571E-002,-1.2049919E-001, 9.9055670E-005, 1.0000000E+000, 3.0000000E+000, 1.6611634E-004, 6.1862327E-009
 3.7510394E-002, 2.6552624E-001, 0.0000000E+000, 3.7520797E-002,-1.2407311E-001, 2.7009932E-004, 1.0000000E+000, 3.0000000E+000, 1.4431707E-004, 4.6009715E-009
 4.1375151E-002, 2.6137016E-001, 0.0000000E+000, 3.7777613E-002,-1.2752495E-001, 2.7094503E-004, 1.0000000E+000, 3.0000000E+000, 1.3977503E-004, 4.6168349E-009
 4.5239908E-002, 2.5700385E-001, 0.0000000E+000, 3.8034357E-002,-1.3091295E-001, 2.1036666E-004, 1.0000000E+000, 3.0000000E+000, 1.5151885E-004, 6.3962528E-009
 4.9491140E-002, 2.5196410E-001, 0.0000000E+000, 3.8316006E-002,-1.3405311E-001, 1.9245210E-004, 1.0000000E+000, 3.0000000E+000, 1.4547384E-004, 6.6929794E-009
 5.3742373E-002, 2.4374351E-001, 0.0000000E+000, 3.8037616E-002,-2.4324225E-001, 2.2090864E-003, 1.0000000E+000, 4.0000000E+000, 1.0531695E-003, 6.6320883E-009
 5.7993606E-002, 2.3503647E-001, 0.0000000E+000, 3.7668820E-002,-2.5737306E-001, 2.1104198E-003, 1.0000000E+000, 4.0000000E+000, 1.2425103E-003, 6.4367712E-009
 6.2244838E-002, 2.2621667E-001, 0.0000000E+000, 3.7289076E-002,-2.5836136E-001, 5.9858369E-004, 1.0000000E+000, 3.0000000E+000, 1.3683814E-004, 6.7683240E-009
 6.6921194E-002, 2.1631307E-001, 0.0000000E+000, 3.6843616E-002,-2.6182763E-001, 5.3760846E-004, 1.0000000E+000, 3.0000000E+000, 1.2675914E-004, 6.0353106E-009
 7.1597550E-002, 2.0634858E-001, 0.0000000E+000, 3.6388795E-002,-2.6145168E-001, 6.7757454E-004, 1.0000000E+000, 3.0000000E+000, 1.2540987E-004, 5.9076077E-009
 7.6273906E-002, 1.9649443E-001, 0.0000000E+000, 3.5950885E-002,-2.5603521E-001, 4.1770142E-004, 1.0000000E+000, 3.0000000E+000, 1.3275767E-004, 7.0762295E-009
 8.0950261E-002, 1.8647883E-001, 0.0000000E+000, 3.5474347E-002,-2.6005445E-001, 2.3618000E-004, 1.0000000E+000, 3.0000000E+000, 1.2006925E-004, 5.3729261E-009
 8.5626617E-002, 1.7647352E-001, 0.0000000E+000, 3.4983830E-002,-2.5913334E-001, 2.8649288E-004, 1.0000000E+000, 3.0000000E+000, 1.2103764E-004, 5.6023416E-009
 9.0302973E-002, 1.6665311E-001, 0.0000000E+000, 3.4508848E-002,-2.5304649E-001, 2.4271696E-004, 1.0000000E+000, 3.0000000E+000, 1.2244098E-004, 5.9189339E-009
