,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:23.562+02:00,   0.264E-02,   0.00264,   0.96972
      2,2020-07-15T15:52:23.667+02:00,   0.264E-02,   0.00528,   1.17831
      3,2020-07-15T15:52:23.743+02:00,   0.264E-02,   0.00792,   1.29790
      4,2020-07-15T15:52:23.784+02:00,   0.264E-02,   0.01056,   1.37846
      5,2020-07-15T15:52:23.817+02:00,   0.290E-02,   0.01346,   1.44474
      6,2020-07-15T15:52:23.853+02:00,   0.290E-02,   0.01637,   1.51261
      7,2020-07-15T15:52:23.893+02:00,   0.319E-02,   0.01956,   1.59233
      8,2020-07-15T15:52:23.927+02:00,   0.319E-02,   0.02275,   1.65874
      9,2020-07-15T15:52:23.967+02:00,   0.351E-02,   0.02627,   1.73885
     10,2020-07-15T15:52:24.011+02:00,   0.351E-02,   0.02978,   1.82437
     20,2020-07-15T15:52:24.414+02:00,   0.468E-02,   0.07160,   2.57431
     30,2020-07-15T15:52:24.806+02:00,   0.468E-02,   0.11836,   3.31868
     40,2020-07-15T15:52:25.174+02:00,   0.468E-02,   0.16512,   4.03967
     50,2020-07-15T15:52:25.559+02:00,   0.468E-02,   0.21189,   4.77115
     60,2020-07-15T15:52:25.964+02:00,   0.421E-02,   0.25725,   5.54184
     70,2020-07-15T15:52:26.367+02:00,   0.421E-02,   0.29933,   6.30569
     80,2020-07-15T15:52:26.753+02:00,   0.327E-02,   0.33449,   7.06076
     90,2020-07-15T15:52:27.143+02:00,   0.327E-02,   0.36723,   7.79867
    100,2020-07-15T15:52:27.567+02:00,   0.327E-02,   0.39997,   8.57967
    131,2020-07-15T15:52:29.132+02:00,   0.183E-02,   0.50000,  11.56336
