s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6394955E-003, 0.0000000E+000, 0.0000000E+000,-5.3612735E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3612735E-006, 0.0000000E+000, 0.0000000E+000
 5.2789911E-003, 0.0000000E+000, 0.0000000E+000,-5.1620722E-006, 8.9558440E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1969892E-004,-5.1531163E-006, 0.0000000E+000, 0.0000000E+000
 7.9184873E-003, 0.0000000E+000, 0.0000000E+000,-4.9654908E-006, 1.7581551E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1950533E-004,-4.9479093E-006, 0.0000000E+000, 0.0000000E+000
 1.0557982E-002, 0.0000000E+000, 0.0000000E+000,-4.7689449E-006, 2.5903948E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1939822E-004,-4.7430409E-006, 0.0000000E+000, 0.0000000E+000
 1.3461428E-002, 0.0000000E+000, 0.0000000E+000,-4.5530198E-006, 3.4741778E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1929327E-004,-4.5182780E-006, 0.0000000E+000, 0.0000000E+000
 1.6364872E-002, 0.0000000E+000, 0.0000000E+000,-4.3373836E-006, 4.3296323E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1917314E-004,-4.2940873E-006, 0.0000000E+000, 0.0000000E+000
 1.9558663E-002, 0.0000000E+000, 0.0000000E+000,-4.1005535E-006, 5.2401107E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1906188E-004,-4.0481524E-006, 0.0000000E+000, 0.0000000E+000
 2.2752453E-002, 0.0000000E+000, 0.0000000E+000,-3.8641094E-006, 6.1202441E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1893416E-004,-3.8029070E-006, 0.0000000E+000, 0.0000000E+000
 2.6265621E-002, 0.0000000E+000, 0.0000000E+000,-3.6045178E-006, 7.0528413E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1881705E-004,-3.5339894E-006, 0.0000000E+000, 0.0000000E+000
 2.9778790E-002, 0.0000000E+000, 0.0000000E+000,-3.3454459E-006, 7.9497505E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1868207E-004,-3.2659484E-006, 0.0000000E+000, 0.0000000E+000
 3.3643275E-002, 0.0000000E+000, 0.0000000E+000,-3.0611297E-006, 8.8958857E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1855988E-004,-2.9721709E-006, 0.0000000E+000, 0.0000000E+000
 3.7507761E-002, 0.0000000E+000, 0.0000000E+000,-2.7775084E-006, 9.8037015E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1841830E-004,-2.6794714E-006, 0.0000000E+000, 0.0000000E+000
 4.1372247E-002, 0.0000000E+000, 0.0000000E+000,-2.4946218E-006, 1.0677207E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1827996E-004,-2.3878498E-006, 0.0000000E+000, 0.0000000E+000
 4.5236733E-002, 0.0000000E+000, 0.0000000E+000,-2.2125028E-006, 1.1521091E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814512E-004,-2.0972919E-006, 0.0000000E+000, 0.0000000E+000
 4.9487665E-002, 0.0000000E+000, 0.0000000E+000,-1.9031317E-006, 1.2420442E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1802686E-004,-1.7789273E-006, 0.0000000E+000, 0.0000000E+000
 5.3738602E-002, 0.0000000E+000, 0.0000000E+000,-1.5051036E-006, 1.3278543E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0909419E-004,-1.3723181E-006, 0.0000000E+000, 0.0000000E+000
 5.7989534E-002, 0.0000000E+000, 0.0000000E+000,-1.0990287E-006, 1.4107136E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0275482E-004,-9.5795729E-007, 0.0000000E+000, 0.0000000E+000
 6.2240470E-002, 0.0000000E+000, 0.0000000E+000,-6.9344659E-007, 1.4912537E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9675843E-004,-5.4432122E-007, 0.0000000E+000, 0.0000000E+000
 6.6916496E-002, 0.0000000E+000, 0.0000000E+000,-2.4409291E-007, 1.5774327E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8943287E-004,-8.6349637E-008, 0.0000000E+000, 0.0000000E+000
 7.1592525E-002, 0.0000000E+000, 0.0000000E+000, 2.0479295E-007, 1.6617563E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8257894E-004, 3.7096858E-007, 0.0000000E+000, 0.0000000E+000
 7.6268554E-002, 0.0000000E+000, 0.0000000E+000, 6.4884181E-007, 1.7445189E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7614471E-004, 8.2329370E-007, 0.0000000E+000, 0.0000000E+000
 8.0944575E-002, 0.0000000E+000, 0.0000000E+000, 1.0972162E-006, 1.8256718E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6907397E-004, 1.2797834E-006, 0.0000000E+000, 0.0000000E+000
 8.5620604E-002, 0.0000000E+000, 0.0000000E+000, 1.5408377E-006, 1.9054549E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6259330E-004, 1.7313832E-006, 0.0000000E+000, 0.0000000E+000
 9.0296634E-002, 0.0000000E+000, 0.0000000E+000, 1.9889612E-006, 1.9837511E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5547660E-004, 2.1873364E-006, 0.0000000E+000, 0.0000000E+000
 9.4972663E-002, 0.0000000E+000, 0.0000000E+000, 2.4370595E-006, 2.0605670E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4851005E-004, 2.6431161E-006, 0.0000000E+000, 0.0000000E+000
 9.9648692E-002, 0.0000000E+000, 0.0000000E+000, 2.8805775E-006, 2.1359506E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4196061E-004, 3.0941726E-006, 0.0000000E+000, 0.0000000E+000
 1.0432471E-001, 0.0000000E+000, 0.0000000E+000, 3.2932795E-006, 2.2082649E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3110666E-004, 3.5141060E-006, 0.0000000E+000, 0.0000000E+000
 1.0900074E-001, 0.0000000E+000, 0.0000000E+000, 3.6937060E-006, 2.2781046E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2165731E-004, 3.9215165E-006, 0.0000000E+000, 0.0000000E+000
 1.1367677E-001, 0.0000000E+000, 0.0000000E+000, 4.0819574E-006, 2.3456503E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1294803E-004, 4.3165224E-006, 0.0000000E+000, 0.0000000E+000
 1.1835280E-001, 0.0000000E+000, 0.0000000E+000, 4.4642677E-006, 2.4105946E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0338350E-004, 4.7053272E-006, 0.0000000E+000, 0.0000000E+000
 1.2302883E-001, 0.0000000E+000, 0.0000000E+000, 4.8349298E-006, 2.4731191E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9465229E-004, 5.0822417E-006, 0.0000000E+000, 0.0000000E+000
 1.2770486E-001, 0.0000000E+000, 0.0000000E+000, 5.1997982E-006, 2.5329277E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8506764E-004, 5.4530910E-006, 0.0000000E+000, 0.0000000E+000
 1.3238089E-001, 0.0000000E+000, 0.0000000E+000, 5.5560868E-006, 2.5900444E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7571767E-004, 5.8150912E-006, 0.0000000E+000, 0.0000000E+000
 1.3705692E-001, 0.0000000E+000, 0.0000000E+000, 5.9015367E-006, 2.6446330E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6696015E-004, 6.1660000E-006, 0.0000000E+000, 0.0000000E+000
 1.4173293E-001, 0.0000000E+000, 0.0000000E+000, 6.2413983E-006, 2.6964016E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5735012E-004, 6.5110385E-006, 0.0000000E+000, 0.0000000E+000
 1.4640896E-001, 0.0000000E+000, 0.0000000E+000, 6.5708726E-006, 2.7456159E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4857730E-004, 6.8454342E-006, 0.0000000E+000, 0.0000000E+000
 1.5108499E-001, 0.0000000E+000, 0.0000000E+000, 6.8510829E-006, 2.7937210E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4519506E-004, 7.1304550E-006, 0.0000000E+000, 0.0000000E+000
 1.5576102E-001, 0.0000000E+000, 0.0000000E+000, 6.9779837E-006, 2.8459257E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6074228E-004, 7.2625763E-006, 0.0000000E+000, 0.0000000E+000
 1.6043705E-001, 0.0000000E+000, 0.0000000E+000, 7.1098855E-006, 2.8999335E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6723511E-004, 7.3998788E-006, 0.0000000E+000, 0.0000000E+000
 1.6511308E-001, 0.0000000E+000, 0.0000000E+000, 7.2354038E-006, 2.9559836E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7442434E-004, 7.5310021E-006, 0.0000000E+000, 0.0000000E+000
 1.6978911E-001, 0.0000000E+000, 0.0000000E+000, 7.3656438E-006, 3.0139216E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8093263E-004, 7.6670360E-006, 0.0000000E+000, 0.0000000E+000
 1.7446513E-001, 0.0000000E+000, 0.0000000E+000, 7.4896962E-006, 3.0739378E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8815114E-004, 7.7970900E-006, 0.0000000E+000, 0.0000000E+000
 1.7914116E-001, 0.0000000E+000, 0.0000000E+000, 7.6131646E-006, 3.1360190E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9518769E-004, 7.9267665E-006, 0.0000000E+000, 0.0000000E+000
 1.8381718E-001, 0.0000000E+000, 0.0000000E+000, 7.7415160E-006, 3.2000289E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0174170E-004, 8.0615189E-006, 0.0000000E+000, 0.0000000E+000
 1.8849321E-001, 0.0000000E+000, 0.0000000E+000, 7.8639187E-006, 3.2661223E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0900786E-004, 8.1905310E-006, 0.0000000E+000, 0.0000000E+000
 1.9316924E-001, 0.0000000E+000, 0.0000000E+000, 7.9859105E-006, 3.3342260E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1609389E-004, 8.3193331E-006, 0.0000000E+000, 0.0000000E+000
 1.9784527E-001, 0.0000000E+000, 0.0000000E+000, 8.1128774E-006, 3.4041745E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2269925E-004, 8.4532948E-006, 0.0000000E+000, 0.0000000E+000
 2.0252129E-001, 0.0000000E+000, 0.0000000E+000, 8.1870808E-006, 3.4753373E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2805959E-004, 8.5346145E-006, 0.0000000E+000, 0.0000000E+000
 2.0719732E-001, 0.0000000E+000, 0.0000000E+000, 8.2247996E-006, 3.5472946E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3210020E-004, 8.5795290E-006, 0.0000000E+000, 0.0000000E+000
 2.1187335E-001, 0.0000000E+000, 0.0000000E+000, 8.2461264E-006, 3.6204059E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3739131E-004, 8.6081669E-006, 0.0000000E+000, 0.0000000E+000
 2.1654938E-001, 0.0000000E+000, 0.0000000E+000, 8.2600032E-006, 3.6945735E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4257861E-004, 8.6294606E-006, 0.0000000E+000, 0.0000000E+000
 2.2122541E-001, 0.0000000E+000, 0.0000000E+000, 8.2756576E-006, 3.7696334E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4744150E-004, 8.6526209E-006, 0.0000000E+000, 0.0000000E+000
 2.2590144E-001, 0.0000000E+000, 0.0000000E+000, 8.2751276E-006, 3.8455986E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5282087E-004, 8.6596875E-006, 0.0000000E+000, 0.0000000E+000
 2.3057745E-001, 0.0000000E+000, 0.0000000E+000, 8.2768096E-006, 3.9223206E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5774577E-004, 8.6690417E-006, 0.0000000E+000, 0.0000000E+000
 2.3525348E-001, 0.0000000E+000, 0.0000000E+000, 8.2624388E-006, 3.9998344E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6318838E-004, 8.6624222E-006, 0.0000000E+000, 0.0000000E+000
 2.3992951E-001, 0.0000000E+000, 0.0000000E+000, 8.2413155E-006, 4.0780997E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6853260E-004, 8.6491255E-006, 0.0000000E+000, 0.0000000E+000
 2.4460554E-001, 0.0000000E+000, 0.0000000E+000, 8.2229863E-006, 4.1570260E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7355795E-004, 8.6386889E-006, 0.0000000E+000, 0.0000000E+000
 2.4928157E-001, 0.0000000E+000, 0.0000000E+000, 8.1888179E-006, 4.2366972E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7910545E-004, 8.6124876E-006, 0.0000000E+000, 0.0000000E+000
 2.5395760E-001, 0.0000000E+000, 0.0000000E+000, 8.5389816E-006, 4.3202340E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8947477E-004, 8.9710050E-006, 0.0000000E+000, 0.0000000E+000
 2.5802824E-001, 0.0000000E+000, 0.0000000E+000, 8.9223807E-006, 4.3927437E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9705181E-004, 9.3616551E-006, 0.0000000E+000, 0.0000000E+000
 2.6209888E-001, 0.0000000E+000, 0.0000000E+000, 9.3075060E-006, 4.4667726E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0411209E-004, 9.7541833E-006, 0.0000000E+000, 0.0000000E+000
 2.6616952E-001, 0.0000000E+000, 0.0000000E+000, 9.7137274E-006, 4.5417720E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1206055E-004, 1.0167905E-005, 0.0000000E+000, 0.0000000E+000
 2.7024016E-001, 0.0000000E+000, 0.0000000E+000, 1.0122381E-005, 4.6173923E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1914712E-004, 1.0584120E-005, 0.0000000E+000, 0.0000000E+000
 2.7431080E-001, 0.0000000E+000, 0.0000000E+000, 1.0553488E-005, 4.6938261E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2711936E-004, 1.1022871E-005, 0.0000000E+000, 0.0000000E+000
 2.7838141E-001, 0.0000000E+000, 0.0000000E+000, 1.0987497E-005, 4.7707264E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3423197E-004, 1.1464570E-005, 0.0000000E+000, 0.0000000E+000
 2.8245205E-001, 0.0000000E+000, 0.0000000E+000, 1.1434628E-005, 4.8481022E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4162071E-004, 1.1919438E-005, 0.0000000E+000, 0.0000000E+000
 2.8652269E-001, 0.0000000E+000, 0.0000000E+000, 1.1906363E-005, 4.9260567E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4963717E-004, 1.2398969E-005, 0.0000000E+000, 0.0000000E+000
 2.9059333E-001, 0.0000000E+000, 0.0000000E+000, 1.2381700E-005, 5.0042789E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5679685E-004, 1.2882128E-005, 0.0000000E+000, 0.0000000E+000
 2.9466397E-001, 0.0000000E+000, 0.0000000E+000, 1.2883105E-005, 5.0830072E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6484764E-004, 1.3391406E-005, 0.0000000E+000, 0.0000000E+000
 2.9873461E-001, 0.0000000E+000, 0.0000000E+000, 1.3388592E-005, 5.1619821E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7204516E-004, 1.3904790E-005, 0.0000000E+000, 0.0000000E+000
