Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,     16,     13,     16,  0.12560375E+00,      5,     16,      1,      5,  0.64058149E-02
      1,      2,      2,      5,     15,     13,      4,  0.65545188E-01,      5,     16,      1,      5,  0.64058149E-02
      1,      3,      3,      5,     16,     13,      4,  0.35916135E-01,      5,     16,      1,      5,  0.64058149E-02
      1,      4,      4,      5,     16,     13,      4,  0.18701091E-01,      5,     16,      1,      5,  0.64058149E-02
      1,      5,      5,      5,     16,     13,      4,  0.94450904E-02,      5,     16,      1,      5,  0.64058149E-02
      1,      6,      6,      5,     16,     13,      4,  0.46958106E-02,      5,     16,      1,      5,  0.64058149E-02
      1,      7,      7,      5,     16,     13,      4,  0.23146400E-02,      5,     16,      1,      5,  0.64058149E-02
      1,      8,      8,      5,     16,     13,      4,  0.11354544E-02,      5,     16,      1,      5,  0.64058149E-02
      1,      9,      9,      5,     16,     13,      4,  0.55550178E-03,      5,     16,      1,      5,  0.64058149E-02
      1,     10,     10,      5,     16,     13,      4,  0.27136518E-03,      5,     16,      1,      5,  0.64058149E-02
      1,     11,     11,      5,     16,     13,      4,  0.13245798E-03,      5,     16,      1,      5,  0.64058149E-02
      1,     12,     12,      2,      4,     13,     16,  0.64834550E-04,      5,     16,      1,      5,  0.64058149E-02
      1,     13,     13,      2,      4,     13,     16,  0.31741228E-04,      5,     16,      1,      5,  0.64058149E-02
      1,     14,     14,      2,      4,     13,     16,  0.15540823E-04,      5,     16,      1,      5,  0.64058149E-02
      1,     15,     15,      2,      4,     13,     16,  0.76100623E-05,      5,     16,      1,      5,  0.64058149E-02
      1,      1,     16,      1,     16,     13,     16,  0.11060063E+00,      5,     16,      1,      5,  0.53655903E-01
      1,      2,     17,      5,     15,     13,      4,  0.57716018E-01,      5,     16,      1,      5,  0.53655903E-01
      1,      3,     18,      5,     16,     13,      4,  0.31626059E-01,      5,     16,      1,      5,  0.53655903E-01
      1,      4,     19,      5,     16,     13,      4,  0.16467297E-01,      5,     16,      1,      5,  0.53655903E-01
      1,      5,     20,      5,     16,     13,      4,  0.83168998E-02,      5,     16,      1,      5,  0.53655903E-01
      1,      6,     21,      5,     16,     13,      4,  0.41349084E-02,      5,     16,      1,      5,  0.53655903E-01
      1,      7,     22,      5,     16,     13,      4,  0.20381623E-02,      5,     16,      1,      5,  0.53655903E-01
      1,      8,     23,      5,     16,     13,      4,  0.99982731E-03,      5,     16,      1,      5,  0.53655903E-01
      1,      9,     24,      5,     16,     13,      4,  0.48914854E-03,      5,     16,      1,      5,  0.53655903E-01
      1,     10,     25,      5,     16,     13,      4,  0.23895131E-03,      5,     16,      1,      5,  0.53655903E-01
      1,     11,     26,      5,     16,     13,      4,  0.11663622E-03,      5,     16,      1,      5,  0.53655903E-01
      1,     12,     27,      2,      4,     13,     16,  0.57090243E-04,      5,     16,      1,      5,  0.53655903E-01
      1,     13,     28,      2,      4,     13,     16,  0.27949827E-04,      5,     16,      1,      5,  0.53655903E-01
      1,     14,     29,      2,      4,     13,     16,  0.13684515E-04,      5,     16,      1,      5,  0.53655903E-01
      1,     15,     30,      2,      4,     13,     16,  0.67010617E-05,      5,     16,      1,      5,  0.53655903E-01
      1,      1,     31,      1,     16,     13,     16,  0.63200527E-01,      5,     14,      1,      5,  0.18774499E+00
      1,      2,     32,      5,     15,     13,      4,  0.32950373E-01,      5,     14,      1,      5,  0.18774499E+00
      1,      3,     33,      5,     16,     13,      4,  0.18044468E-01,      5,     14,      1,      5,  0.18774499E+00
      1,      4,     34,      5,     16,     13,      4,  0.93931673E-02,      5,     14,      1,      5,  0.18774499E+00
      1,      5,     35,      5,     16,     13,      4,  0.47435669E-02,      5,     14,      1,      5,  0.18774499E+00
      1,      6,     36,      5,     16,     13,      4,  0.23582493E-02,      5,     14,      1,      5,  0.18774499E+00
      1,      7,     37,      5,     16,     13,      4,  0.11623995E-02,      5,     14,      1,      5,  0.18774499E+00
      1,      8,     38,      5,     16,     13,      4,  0.57021818E-03,      5,     14,      1,      5,  0.18774499E+00
      1,      9,     39,      5,     16,     13,      4,  0.27897160E-03,      5,     14,      1,      5,  0.18774499E+00
      1,     10,     40,      5,     16,     13,      4,  0.13628061E-03,      5,     14,      1,      5,  0.18774499E+00
      1,     11,     41,      5,     16,     13,      4,  0.66521952E-04,      5,     14,      1,      5,  0.18774499E+00
      1,     12,     42,      2,      4,     13,     16,  0.32563872E-04,      5,     14,      1,      5,  0.18774499E+00
      1,     13,     43,      2,      4,     13,     16,  0.15942704E-04,      5,     14,      1,      5,  0.18774499E+00
      1,     14,     44,      2,      4,     13,     16,  0.78058770E-05,      5,     14,      1,      5,  0.18774499E+00
      2,      1,     45,      1,     16,     13,     16,  0.12479556E+00,      5,     16,      1,      5,  0.53690948E-01
      2,      2,     46,      5,     15,     13,      4,  0.65179498E-01,      5,     16,      1,      5,  0.53690948E-01
      2,      3,     47,      5,     16,     13,      4,  0.35738627E-01,      5,     16,      1,      5,  0.53690948E-01
      2,      4,     48,      5,     16,     13,      4,  0.18613728E-01,      5,     16,      1,      5,  0.53690948E-01
      2,      5,     49,      5,     16,     13,      4,  0.94020599E-02,      5,     16,      1,      5,  0.53690948E-01
      2,      6,     50,      5,     16,     13,      4,  0.46746534E-02,      5,     16,      1,      5,  0.53690948E-01
      2,      7,     51,      5,     16,     13,      4,  0.23042553E-02,      5,     16,      1,      5,  0.53690948E-01
      2,      8,     52,      5,     16,     13,      4,  0.11303631E-02,      5,     16,      1,      5,  0.53690948E-01
      2,      9,     53,      5,     16,     13,      4,  0.55300720E-03,      5,     16,      1,      5,  0.53690948E-01
      2,     10,     54,      5,     16,     13,      4,  0.27014317E-03,      5,     16,      1,      5,  0.53690948E-01
      2,     11,     55,      5,     16,     13,      4,  0.13185936E-03,      5,     16,      1,      5,  0.53690948E-01
      2,     12,     56,      2,      4,     13,     16,  0.64535237E-04,      5,     16,      1,      5,  0.53690948E-01
      2,     13,     57,      2,      4,     13,     16,  0.31594009E-04,      5,     16,      1,      5,  0.53690948E-01
      2,     14,     58,      2,      4,     13,     16,  0.15468381E-04,      5,     16,      1,      5,  0.53690948E-01
      2,     15,     59,      2,      4,     13,     16,  0.75744004E-05,      5,     16,      1,      5,  0.53690948E-01
      2,      1,     60,      1,     16,     13,     16,  0.62774282E-01,      8,      4,      4,      4,  0.37578166E+00
      2,      2,     61,      5,     15,     13,      4,  0.32753642E-01,      8,      4,      4,      4,  0.37578166E+00
      2,      3,     62,      5,     16,     13,      4,  0.17948839E-01,      8,      4,      4,      4,  0.37578166E+00
      2,      4,     63,      5,     16,     13,      4,  0.93461873E-02,      8,      4,      4,      4,  0.37578166E+00
      2,      5,     64,      5,     16,     13,      4,  0.47204547E-02,      8,      4,      4,      4,  0.37578166E+00
      2,      6,     65,      5,     16,     13,      4,  0.23468938E-02,      8,      4,      4,      4,  0.37578166E+00
      2,      7,     66,      5,     16,     13,      4,  0.11568281E-02,      8,      4,      4,      4,  0.37578166E+00
      2,      8,     67,      5,     16,     13,      4,  0.56748726E-03,      8,      4,      4,      4,  0.37578166E+00
      2,      9,     68,      5,     16,     13,      4,  0.27763361E-03,      8,      4,      4,      4,  0.37578166E+00
      2,     10,     69,      5,     16,     13,      4,  0.13562517E-03,      8,      4,      4,      4,  0.37578166E+00
      2,     11,     70,      5,     16,     13,      4,  0.66200844E-04,      8,      4,      4,      4,  0.37578166E+00
      2,     12,     71,      2,      4,     13,     16,  0.32403174E-04,      8,      4,      4,      4,  0.37578166E+00
      2,     13,     72,      2,      4,     13,     16,  0.15863650E-04,      8,      4,      4,      4,  0.37578166E+00
      2,     14,     73,      2,      4,     13,     16,  0.77669701E-05,      8,      4,      4,      4,  0.37578166E+00
      3,      1,     74,      5,     16,     13,      4,  0.61160539E-04,      6,      3,      1,      4,  0.97652239E-05
      3,      2,     75,      5,     16,     13,      4,  0.24563774E-04,      6,      3,      1,      4,  0.97652239E-05
      3,      3,     76,      5,     16,     13,      4,  0.11003927E-04,      6,      3,      1,      4,  0.97652239E-05
      3,      4,     77,      5,     16,     13,      4,  0.52569781E-05,      6,      3,      1,      4,  0.97652239E-05
      3,      1,     78,      5,     16,     13,      4,  0.32977745E-04,      5,     13,     13,      4,  0.36489582E-03
      3,      2,     79,      5,     16,     13,      4,  0.13198253E-04,      5,     13,     13,      4,  0.36489582E-03
      3,      3,     80,      5,     16,     13,      4,  0.58871858E-05,      5,     13,     13,      4,  0.36489582E-03
