,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:31.575+02:00,   0.264E-02,   0.00264,   1.35642
      2,2020-07-15T15:52:31.851+02:00,   0.264E-02,   0.00528,   1.90619
      3,2020-07-15T15:52:31.956+02:00,   0.264E-02,   0.00792,   2.08287
      4,2020-07-15T15:52:32.036+02:00,   0.264E-02,   0.01056,   2.24222
      5,2020-07-15T15:52:32.109+02:00,   0.290E-02,   0.01346,   2.38615
      6,2020-07-15T15:52:32.189+02:00,   0.290E-02,   0.01636,   2.54535
      7,2020-07-15T15:52:32.277+02:00,   0.319E-02,   0.01956,   2.71828
      8,2020-07-15T15:52:32.364+02:00,   0.319E-02,   0.02275,   2.89196
      9,2020-07-15T15:52:32.452+02:00,   0.351E-02,   0.02627,   3.06585
     10,2020-07-15T15:52:32.546+02:00,   0.351E-02,   0.02978,   3.25319
     20,2020-07-15T15:52:33.639+02:00,   0.468E-02,   0.07159,   5.39752
     30,2020-07-15T15:52:34.760+02:00,   0.468E-02,   0.11835,   7.59758
     40,2020-07-15T15:52:35.944+02:00,   0.468E-02,   0.16511,   9.95109
     50,2020-07-15T15:52:37.260+02:00,   0.468E-02,   0.21187,  12.46604
     60,2020-07-15T15:52:38.692+02:00,   0.407E-02,   0.25803,  15.27903
     70,2020-07-15T15:52:40.094+02:00,   0.407E-02,   0.29873,  18.01974
     80,2020-07-15T15:52:41.355+02:00,   0.353E-02,   0.33511,  20.52510
     90,2020-07-15T15:52:42.706+02:00,   0.353E-02,   0.37040,  23.15179
    100,2020-07-15T15:52:44.110+02:00,   0.316E-02,   0.40496,  25.88174
    130,2020-07-15T15:52:48.278+02:00,   0.240E-02,   0.50000,  34.06846
