,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:24.173+02:00,   0.264E-02,   0.00264,   1.41796
      2,2020-07-15T15:52:24.430+02:00,   0.264E-02,   0.00528,   1.93157
      3,2020-07-15T15:52:24.500+02:00,   0.264E-02,   0.00792,   2.04650
      4,2020-07-15T15:52:24.542+02:00,   0.264E-02,   0.01056,   2.12874
      5,2020-07-15T15:52:24.584+02:00,   0.290E-02,   0.01346,   2.21190
      6,2020-07-15T15:52:24.631+02:00,   0.290E-02,   0.01636,   2.30027
      7,2020-07-15T15:52:24.680+02:00,   0.319E-02,   0.01956,   2.39630
      8,2020-07-15T15:52:24.722+02:00,   0.319E-02,   0.02275,   2.47955
      9,2020-07-15T15:52:24.767+02:00,   0.351E-02,   0.02627,   2.56710
     10,2020-07-15T15:52:24.818+02:00,   0.351E-02,   0.02978,   2.66944
     20,2020-07-15T15:52:25.458+02:00,   0.468E-02,   0.07159,   3.89026
     30,2020-07-15T15:52:26.186+02:00,   0.468E-02,   0.11835,   5.29913
     40,2020-07-15T15:52:27.009+02:00,   0.468E-02,   0.16511,   6.92420
     50,2020-07-15T15:52:27.745+02:00,   0.468E-02,   0.21187,   8.35895
     60,2020-07-15T15:52:28.580+02:00,   0.421E-02,   0.25723,   9.98074
     70,2020-07-15T15:52:29.399+02:00,   0.421E-02,   0.29932,  11.50986
     80,2020-07-15T15:52:30.400+02:00,   0.327E-02,   0.33448,  13.49065
     90,2020-07-15T15:52:31.133+02:00,   0.327E-02,   0.36722,  14.90471
    100,2020-07-15T15:52:31.779+02:00,   0.327E-02,   0.39996,  16.10147
    131,2020-07-15T15:52:33.948+02:00,   0.182E-02,   0.50000,  20.25452
