,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T15:52:47.545+02:00,   0.264E-02,   0.00264,   1.83047
      2,2020-07-15T15:52:47.764+02:00,   0.264E-02,   0.00528,   2.26654
      3,2020-07-15T15:52:47.991+02:00,   0.264E-02,   0.00792,   2.68559
      4,2020-07-15T15:52:48.192+02:00,   0.264E-02,   0.01056,   3.08493
      5,2020-07-15T15:52:48.385+02:00,   0.290E-02,   0.01346,   3.46895
      6,2020-07-15T15:52:48.577+02:00,   0.290E-02,   0.01636,   3.85251
      7,2020-07-15T15:52:48.779+02:00,   0.319E-02,   0.01956,   4.25326
      8,2020-07-15T15:52:48.972+02:00,   0.319E-02,   0.02275,   4.63767
      9,2020-07-15T15:52:49.166+02:00,   0.351E-02,   0.02627,   5.02284
     10,2020-07-15T15:52:49.366+02:00,   0.351E-02,   0.02978,   5.42077
     20,2020-07-15T15:52:51.379+02:00,   0.468E-02,   0.07159,   9.39571
     30,2020-07-15T15:52:53.399+02:00,   0.468E-02,   0.11835,  13.38084
     40,2020-07-15T15:52:55.409+02:00,   0.468E-02,   0.16511,  17.37886
     50,2020-07-15T15:52:57.490+02:00,   0.468E-02,   0.21187,  21.45149
     60,2020-07-15T15:52:59.623+02:00,   0.407E-02,   0.25803,  25.65879
     70,2020-07-15T15:53:01.654+02:00,   0.407E-02,   0.29873,  29.66585
     80,2020-07-15T15:53:03.761+02:00,   0.353E-02,   0.33511,  33.85108
     90,2020-07-15T15:53:05.822+02:00,   0.353E-02,   0.37040,  37.90910
    100,2020-07-15T15:53:07.995+02:00,   0.316E-02,   0.40496,  42.17331
    130,2020-07-15T15:53:14.292+02:00,   0.240E-02,   0.50000,  54.54834
