Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 2.750E+00, 1.081E+01, 4.060E+00, 1.579E+01, 7.405E+00, 8.117E+00, 1.452E+01, 0.000E+00, 4.244E+00, 0.000E+00, 3.429E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    1, 2.744E+00, 1.147E+01, 4.063E+00, 1.563E+01, 7.855E+00, 9.198E+00, 1.265E+01, 0.000E+00, 4.273E+00, 0.000E+00, 3.412E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    2, 2.245E+00, 1.082E+01, 4.201E+00, 1.481E+01, 7.297E+00, 8.727E+00, 1.469E+01, 0.000E+00, 4.191E+00, 0.000E+00, 3.502E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    3, 2.243E+00, 1.145E+01, 4.151E+00, 1.518E+01, 7.335E+00, 9.482E+00, 1.196E+01, 0.000E+00, 4.209E+00, 0.000E+00, 3.598E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    4, 2.218E+00, 1.022E+01, 4.134E+00, 1.460E+01, 7.108E+00, 8.445E+00, 1.273E+01, 0.000E+00, 4.098E+00, 0.000E+00, 3.844E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    5, 2.268E+00, 1.108E+01, 4.055E+00, 1.543E+01, 7.386E+00, 9.210E+00, 1.276E+01, 0.000E+00, 4.182E+00, 0.000E+00, 3.562E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    6, 2.240E+00, 1.102E+01, 4.158E+00, 1.567E+01, 7.437E+00, 8.769E+00, 1.672E+01, 0.000E+00, 4.269E+00, 0.000E+00, 3.171E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    7, 2.308E+00, 1.145E+01, 4.115E+00, 1.606E+01, 7.643E+00, 9.275E+00, 1.869E+01, 0.000E+00, 4.333E+00, 0.000E+00, 2.812E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    8, 2.267E+00, 1.059E+01, 4.115E+00, 1.553E+01, 7.371E+00, 8.327E+00, 1.422E+01, 0.000E+00, 4.240E+00, 0.000E+00, 3.534E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
    9, 2.231E+00, 1.105E+01, 4.075E+00, 1.509E+01, 7.354E+00, 9.052E+00, 1.385E+01, 0.000E+00, 4.256E+00, 0.000E+00, 3.503E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.020E+02
