s,Pa,m/s,
Time,"pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 9.2495457E-012, 1.6158984E-003, 1.0000000E+001
 7.9056942E-003, 1.5631908E-008, 2.7190447E-003, 1.0000000E+001
 1.1858541E-002, 3.8550839E-007, 3.3673311E-003, 1.0000000E+001
 1.5811388E-002, 3.4818455E-006, 3.6971659E-003, 1.0000000E+001
 1.9764235E-002, 1.8409217E-005, 3.8439826E-003, 1.0000000E+001
 2.3717082E-002, 6.9026642E-005, 3.9057459E-003, 1.0000000E+001
 2.7669930E-002, 2.0295783E-004, 3.9382230E-003, 1.0000000E+001
 3.1622777E-002, 4.9703786E-004, 3.9652795E-003, 1.0000000E+001
 3.5575624E-002, 1.0547486E-003, 4.0205487E-003, 1.0000000E+001
 3.9528471E-002, 1.9939875E-003, 4.0455922E-003, 1.0000000E+001
 4.3481318E-002, 2.5137207E-003, 4.0668591E-003, 4.0000000E+000
 4.7434165E-002, 3.2120654E-003, 4.1534972E-003, 4.0000000E+000
 5.1387012E-002, 4.1001888E-003, 4.2470586E-003, 4.0000000E+000
 5.5339859E-002, 5.1856631E-003, 4.4520572E-003, 4.0000000E+000
 5.9292706E-002, 6.4715510E-003, 4.6308951E-003, 4.0000000E+000
 6.3245553E-002, 7.9558226E-003, 4.7752081E-003, 4.0000000E+000
 6.7198400E-002, 9.6311750E-003, 4.8916757E-003, 4.0000000E+000
 7.1151247E-002, 1.1485265E-002, 4.9874897E-003, 4.0000000E+000
 7.5104094E-002, 1.3501313E-002, 5.0999940E-003, 4.0000000E+000
 7.9056942E-002, 1.5658982E-002, 5.1798343E-003, 4.0000000E+000
 8.3009789E-002, 1.7935419E-002, 5.2345808E-003, 4.0000000E+000
 8.6962636E-002, 2.0306328E-002, 5.2706666E-003, 4.0000000E+000
 9.0915483E-002, 2.2746953E-002, 5.2930570E-003, 4.0000000E+000
 9.4868330E-002, 2.5232890E-002, 5.3051712E-003, 4.0000000E+000
 9.8821177E-002, 2.7740675E-002, 5.3204031E-003, 4.0000000E+000
 1.0277402E-001, 3.0248136E-002, 5.3599422E-003, 4.0000000E+000
 1.0672687E-001, 3.2734549E-002, 5.4177268E-003, 4.0000000E+000
 1.1067972E-001, 3.5180637E-002, 5.5229728E-003, 4.0000000E+000
 1.1463257E-001, 3.7568498E-002, 5.6625989E-003, 4.0000000E+000
 1.1805752E-001, 4.2609770E-002, 5.7702585E-003, 4.0000000E+000
 1.2148247E-001, 4.5189949E-002, 5.8674193E-003, 4.0000000E+000
 1.2490742E-001, 4.7654658E-002, 5.9532304E-003, 4.0000000E+000
 1.2796706E-001, 5.2673264E-002, 6.0136545E-003, 4.0000000E+000
 1.3102670E-001, 5.5150057E-002, 6.0620683E-003, 4.0000000E+000
 1.3408635E-001, 5.7465151E-002, 6.0984216E-003, 4.0000000E+000
 1.3714599E-001, 5.9609588E-002, 6.1225074E-003, 4.0000000E+000
 1.3983094E-001, 6.3931550E-002, 6.1269202E-003, 4.0000000E+000
 1.4251588E-001, 6.6028258E-002, 6.1188268E-003, 4.0000000E+000
 1.4520082E-001, 6.7945632E-002, 6.0979494E-003, 4.0000000E+000
 1.4788577E-001, 6.9688101E-002, 6.0633336E-003, 4.0000000E+000
 1.5027875E-001, 7.3175268E-002, 6.0124923E-003, 4.0000000E+000
 1.5267172E-001, 7.4834028E-002, 5.9452492E-003, 4.0000000E+000
 1.5506470E-001, 7.6353359E-002, 5.8602447E-003, 4.0000000E+000
 1.5745768E-001, 7.7747207E-002, 5.7551570E-003, 4.0000000E+000
 1.5960310E-001, 8.0635140E-002, 5.6317784E-003, 4.0000000E+000
 1.6174853E-001, 8.2023690E-002, 5.4848885E-003, 4.0000000E+000
 1.6389395E-001, 8.3337041E-002, 5.3130009E-003, 4.0000000E+000
 1.6603938E-001, 8.4587441E-002, 5.1142692E-003, 4.0000000E+000
 1.6796844E-001, 8.7310444E-002, 4.8989930E-003, 4.0000000E+000
 1.6989750E-001, 8.8646349E-002, 4.6562638E-003, 4.0000000E+000
 1.7182656E-001, 8.9949599E-002, 4.3866627E-003, 4.0000000E+000
 1.7375561E-001, 9.1223935E-002, 4.0905955E-003, 4.0000000E+000
 1.7568467E-001, 9.2470722E-002, 3.7695227E-003, 4.0000000E+000
 1.7738106E-001, 9.5295641E-002, 3.4578975E-003, 4.0000000E+000
 1.7907745E-001, 9.6698226E-002, 3.1274370E-003, 4.0000000E+000
