s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-9.5638445E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5638445E-007, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.9127390E-006,-1.8124100E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9127390E-006, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.8690337E-006,-3.3026721E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6331251E-018,-2.8690337E-006, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.8252372E-006,-4.6740943E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7554167E-018,-3.8252372E-006, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-4.7813078E-006,-7.6953646E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1942709E-018,-4.7813078E-006, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-5.7371534E-006,-2.0087838E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3382295E-018,-5.7371534E-006, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-6.6925049E-006,-1.8249983E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3382295E-018,-6.6925049E-006, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-7.6466117E-006,-2.9036876E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2159379E-018,-7.6466117E-006, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-8.5976582E-006,-6.1729845E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8273960E-018,-8.5976582E-006, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-9.5418552E-006,-7.5453540E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9496877E-018,-9.5418552E-006, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.0481208E-005,-1.0417707E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3165626E-017,-1.0481208E-005, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-1.1413169E-005,-1.0141474E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1942709E-018,-1.1413169E-005, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-1.2334487E-005,-1.1486231E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4482188E-017,-1.2334487E-005, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-1.3241093E-005,-1.1703179E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0093646E-017,-1.3241093E-005, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-1.4128014E-005,-1.3256844E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8993753E-018,-1.4128014E-005, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-1.4989349E-005,-1.6937567E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4921042E-017,-1.4989349E-005, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-1.5818308E-005,-1.6051584E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7770837E-019,-1.5818308E-005, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-1.6607328E-005,-1.9018578E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0719793E-017,-1.6607328E-005, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-1.7348276E-005,-2.0710685E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2662502E-018,-1.7348276E-005, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.8032735E-005,-2.1209361E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8086668E-017,-1.8032735E-005, 0.0000000E+000, 0.0000000E+000
 8.3009787E-002, 0.0000000E+000, 0.0000000E+000,-1.8652344E-005,-2.1365778E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3165626E-018,-1.8652344E-005, 0.0000000E+000, 0.0000000E+000
 8.6962633E-002, 0.0000000E+000, 0.0000000E+000,-1.9199203E-005,-2.0929527E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6547920E-018,-1.9199203E-005, 0.0000000E+000, 0.0000000E+000
 9.0915486E-002, 0.0000000E+000, 0.0000000E+000,-1.9666275E-005,-2.3508267E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0280939E-017,-1.9666275E-005, 0.0000000E+000, 0.0000000E+000
 9.4868332E-002, 0.0000000E+000, 0.0000000E+000,-2.0047785E-005,-2.5237380E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6237605E-017,-2.0047785E-005, 0.0000000E+000, 0.0000000E+000
 9.8821178E-002, 0.0000000E+000, 0.0000000E+000,-2.0339553E-005,-2.5125657E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8964376E-017,-2.0339553E-005, 0.0000000E+000, 0.0000000E+000
 1.0277402E-001, 0.0000000E+000, 0.0000000E+000,-2.0539257E-005,-2.9994072E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4575834E-017,-2.0539257E-005, 0.0000000E+000, 0.0000000E+000
 1.0672687E-001, 0.0000000E+000, 0.0000000E+000,-2.0646571E-005,-3.0713243E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4575834E-017,-2.0646571E-005, 0.0000000E+000, 0.0000000E+000
 1.1067972E-001, 0.0000000E+000, 0.0000000E+000,-2.0663192E-005,-3.6348528E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4230626E-017,-2.0663192E-005, 0.0000000E+000, 0.0000000E+000
 1.1463256E-001, 0.0000000E+000, 0.0000000E+000,-2.0592737E-005,-3.5909028E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2287917E-017,-2.0592737E-005, 0.0000000E+000, 0.0000000E+000
 1.1805751E-001, 0.0000000E+000, 0.0000000E+000,-2.0425775E-005,-3.5613520E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1156096E-017,-2.0425775E-005, 0.0000000E+000, 0.0000000E+000
 1.2148246E-001, 0.0000000E+000, 0.0000000E+000,-2.0183752E-005,-3.5166454E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8363776E-017,-2.0183752E-005, 0.0000000E+000, 0.0000000E+000
 1.2490741E-001, 0.0000000E+000, 0.0000000E+000,-1.9874270E-005,-3.5352717E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2039168E-017,-1.9874270E-005, 0.0000000E+000, 0.0000000E+000
 1.2796706E-001, 0.0000000E+000, 0.0000000E+000,-1.9519211E-005,-3.4421511E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1027211E-017,-1.9519211E-005, 0.0000000E+000, 0.0000000E+000
 1.3102670E-001, 0.0000000E+000, 0.0000000E+000,-1.9111925E-005,-3.6403211E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8709977E-017,-1.9111925E-005, 0.0000000E+000, 0.0000000E+000
 1.3408634E-001, 0.0000000E+000, 0.0000000E+000,-1.8660074E-005,-3.8957776E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6286016E-017,-1.8660074E-005, 0.0000000E+000, 0.0000000E+000
 1.3714600E-001, 0.0000000E+000, 0.0000000E+000,-1.8170900E-005,-4.1020108E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6647543E-017,-1.8170900E-005, 0.0000000E+000, 0.0000000E+000
 1.3983093E-001, 0.0000000E+000, 0.0000000E+000,-1.7699403E-005,-4.1810030E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2642137E-017,-1.7699403E-005, 0.0000000E+000, 0.0000000E+000
 1.4251588E-001, 0.0000000E+000, 0.0000000E+000,-1.7200671E-005,-4.6416694E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0057765E-017,-1.7200671E-005, 0.0000000E+000, 0.0000000E+000
 1.4520082E-001, 0.0000000E+000, 0.0000000E+000,-1.6678953E-005,-4.6934226E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9382790E-018,-1.6678953E-005, 0.0000000E+000, 0.0000000E+000
 1.4788577E-001, 0.0000000E+000, 0.0000000E+000,-1.6137758E-005,-4.7638968E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2979625E-017,-1.6137758E-005, 0.0000000E+000, 0.0000000E+000
 1.5027875E-001, 0.0000000E+000, 0.0000000E+000,-1.5631618E-005,-4.8272243E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8142726E-017,-1.5631618E-005, 0.0000000E+000, 0.0000000E+000
 1.5267172E-001, 0.0000000E+000, 0.0000000E+000,-1.5109427E-005,-4.8306055E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0297833E-017,-1.5109427E-005, 0.0000000E+000, 0.0000000E+000
 1.5506470E-001, 0.0000000E+000, 0.0000000E+000,-1.4572413E-005,-5.0051302E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6971053E-017,-1.4572413E-005, 0.0000000E+000, 0.0000000E+000
 1.5745768E-001, 0.0000000E+000, 0.0000000E+000,-1.4021370E-005,-5.2143602E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3793190E-017,-1.4021370E-005, 0.0000000E+000, 0.0000000E+000
 1.5960310E-001, 0.0000000E+000, 0.0000000E+000,-1.3507896E-005,-5.3323848E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2045565E-017,-1.3507896E-005, 0.0000000E+000, 0.0000000E+000
 1.6174853E-001, 0.0000000E+000, 0.0000000E+000,-1.2980229E-005,-5.5100958E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3959879E-017,-1.2980229E-005, 0.0000000E+000, 0.0000000E+000
 1.6389395E-001, 0.0000000E+000, 0.0000000E+000,-1.2438281E-005,-5.5842409E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6385585E-017,-1.2438281E-005, 0.0000000E+000, 0.0000000E+000
 1.6603938E-001, 0.0000000E+000, 0.0000000E+000,-1.1881809E-005,-5.5292365E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4982662E-017,-1.1881809E-005, 0.0000000E+000, 0.0000000E+000
 1.6796844E-001, 0.0000000E+000, 0.0000000E+000,-1.1360500E-005,-5.3370843E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2157026E-017,-1.1360500E-005, 0.0000000E+000, 0.0000000E+000
 1.6989750E-001, 0.0000000E+000, 0.0000000E+000,-1.0823495E-005,-5.3864729E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2373326E-017,-1.0823495E-005, 0.0000000E+000, 0.0000000E+000
 1.7182656E-001, 0.0000000E+000, 0.0000000E+000,-1.0270469E-005,-5.5610329E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2481477E-017,-1.0270469E-005, 0.0000000E+000, 0.0000000E+000
 1.7375562E-001, 0.0000000E+000, 0.0000000E+000,-9.7010910E-006,-5.4970259E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6545171E-017,-9.7010910E-006, 0.0000000E+000, 0.0000000E+000
 1.7568468E-001, 0.0000000E+000, 0.0000000E+000,-9.1150526E-006,-5.2885405E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7768881E-017,-9.1150526E-006, 0.0000000E+000, 0.0000000E+000
 1.7738105E-001, 0.0000000E+000, 0.0000000E+000,-8.5760895E-006,-5.3261422E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9084726E-017,-8.5760895E-006, 0.0000000E+000, 0.0000000E+000
 1.7907745E-001, 0.0000000E+000, 0.0000000E+000,-8.0196384E-006,-5.3750462E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6242915E-017,-8.0196384E-006, 0.0000000E+000, 0.0000000E+000
 1.8077384E-001, 0.0000000E+000, 0.0000000E+000,-7.4458494E-006,-5.2979098E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5564961E-017,-7.4458494E-006, 0.0000000E+000, 0.0000000E+000
 1.8247022E-001, 0.0000000E+000, 0.0000000E+000,-6.8549810E-006,-5.4458101E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2949135E-017,-6.8549810E-006, 0.0000000E+000, 0.0000000E+000
 1.8416661E-001, 0.0000000E+000, 0.0000000E+000,-6.2474055E-006,-5.5526625E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7610158E-017,-6.2474055E-006, 0.0000000E+000, 0.0000000E+000
 1.8568197E-001, 0.0000000E+000, 0.0000000E+000,-5.6818529E-006,-5.5615824E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9763821E-017,-5.6818529E-006, 0.0000000E+000, 0.0000000E+000
 1.8719733E-001, 0.0000000E+000, 0.0000000E+000,-5.1002963E-006,-5.4921071E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7238116E-017,-5.1002963E-006, 0.0000000E+000, 0.0000000E+000
 1.8871269E-001, 0.0000000E+000, 0.0000000E+000,-4.5036174E-006,-5.5718207E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2659067E-017,-4.5036174E-006, 0.0000000E+000, 0.0000000E+000
 1.9022804E-001, 0.0000000E+000, 0.0000000E+000,-3.8927958E-006,-5.6124138E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9763821E-017,-3.8927958E-006, 0.0000000E+000, 0.0000000E+000
 1.9174339E-001, 0.0000000E+000, 0.0000000E+000,-3.2688987E-006,-5.6668566E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6026673E-017,-3.2688987E-006, 0.0000000E+000, 0.0000000E+000
 1.9325875E-001, 0.0000000E+000, 0.0000000E+000,-2.6330743E-006,-5.5810601E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4342870E-017,-2.6330743E-006, 0.0000000E+000, 0.0000000E+000
 1.9461820E-001, 0.0000000E+000, 0.0000000E+000,-2.0468250E-006,-5.5465201E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9557786E-017,-2.0468250E-006, 0.0000000E+000, 0.0000000E+000
 1.9597763E-001, 0.0000000E+000, 0.0000000E+000,-1.4506182E-006,-5.6535674E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6354997E-017,-1.4506182E-006, 0.0000000E+000, 0.0000000E+000
 1.9733708E-001, 0.0000000E+000, 0.0000000E+000,-8.4589721E-007,-5.7214292E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3177498E-017,-8.4589721E-007, 0.0000000E+000, 0.0000000E+000
 1.9869651E-001, 0.0000000E+000, 0.0000000E+000,-2.3416153E-007,-5.7415215E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9140864E-017,-2.3416153E-007, 0.0000000E+000, 0.0000000E+000
 2.0005596E-001, 0.0000000E+000, 0.0000000E+000, 3.8303472E-007,-5.8698967E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9557786E-017, 3.8303472E-007, 0.0000000E+000, 0.0000000E+000
 2.0141539E-001, 0.0000000E+000, 0.0000000E+000, 1.0040771E-006,-5.9068244E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3594420E-017, 1.0040771E-006, 0.0000000E+000, 0.0000000E+000
