Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 6.215E+01, 1.120E+01, 4.257E+00, 1.319E+01, 2.122E+00, 9.689E+00, 1.419E+01, 0.000E+00, 4.037E+00, 0.000E+00, 3.594E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    1, 6.198E+01, 1.092E+01, 4.211E+00, 1.331E+01, 2.217E+00, 8.848E+00, 1.124E+01, 0.000E+00, 4.155E+00, 0.000E+00, 3.990E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    2, 6.182E+01, 1.056E+01, 4.244E+00, 1.319E+01, 2.340E+00, 8.146E+00, 1.304E+01, 0.000E+00, 4.160E+00, 0.000E+00, 3.928E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    3, 6.189E+01, 1.055E+01, 4.201E+00, 1.339E+01, 2.326E+00, 8.257E+00, 9.380E+00, 0.000E+00, 4.138E+00, 0.000E+00, 4.264E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    4, 6.183E+01, 1.040E+01, 4.203E+00, 1.314E+01, 2.307E+00, 8.178E+00, 1.041E+01, 0.000E+00, 4.087E+00, 0.000E+00, 4.223E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    5, 6.213E+01, 1.033E+01, 4.305E+00, 1.285E+01, 2.175E+00, 8.203E+00, 9.810E+00, 0.000E+00, 4.068E+00, 0.000E+00, 4.291E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    6, 6.193E+01, 1.070E+01, 4.209E+00, 1.328E+01, 2.280E+00, 8.251E+00, 1.242E+01, 0.000E+00, 4.158E+00, 0.000E+00, 3.955E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    7, 6.194E+01, 1.077E+01, 4.247E+00, 1.311E+01, 2.200E+00, 8.874E+00, 9.309E+00, 0.000E+00, 4.076E+00, 0.000E+00, 4.225E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    8, 6.216E+01, 1.065E+01, 4.341E+00, 1.296E+01, 2.178E+00, 8.453E+00, 1.511E+01, 0.000E+00, 4.192E+00, 0.000E+00, 3.673E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
    9, 6.182E+01, 1.088E+01, 4.303E+00, 1.309E+01, 2.378E+00, 8.369E+00, 1.221E+01, 0.000E+00, 4.209E+00, 0.000E+00, 3.953E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.568E+02
