s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1231102E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.7562192E-004, 5.0000000E+000, 5.9685701E-001, 7.4000000E+001, 3.5560677E-009, 6.9865459E-001
 7.9056942E-003, 5.7927390E-002, 4.3583675E-004, 2.0000000E+000, 6.6865700E-001, 7.4000000E+001, 3.4894063E-009, 6.9931592E-001
 1.1858541E-002, 5.7919221E-002, 3.0072739E-004, 1.0000000E+000, 7.0784599E-001, 7.6000000E+001, 8.2842692E-009, 7.1641876E-001
 1.5811388E-002, 5.7909244E-002, 1.4506274E-004, 1.0000000E+000, 7.7645802E-001, 7.7000000E+001, 2.2682812E-009, 7.1031621E-001
 1.9764235E-002, 5.7897460E-002, 7.5295833E-005, 1.0000000E+000, 8.1609297E-001, 7.6000000E+001, 7.2737921E-009, 7.1848296E-001
 2.3717082E-002, 5.7883871E-002, 7.0010863E-005, 1.0000000E+000, 8.5873300E-001, 7.6000000E+001, 7.4210933E-009, 7.1741316E-001
 2.7669930E-002, 5.7868477E-002, 6.8767491E-005, 1.0000000E+000, 9.2101395E-001, 7.6000000E+001, 7.8077229E-009, 7.1678851E-001
 3.1622777E-002, 5.7851282E-002, 7.0539318E-005, 1.0000000E+000, 9.6388602E-001, 7.6000000E+001, 8.2657029E-009, 7.1634226E-001
 3.5575624E-002, 5.7832286E-002, 1.0073213E-004, 1.0000000E+000, 1.0034570E+000, 7.6000000E+001, 9.1368565E-009, 7.1614626E-001
 3.9528471E-002, 5.7811493E-002, 1.3530967E-004, 1.0000000E+000, 1.0656019E+000, 7.7000000E+001, 1.6023278E-009, 7.0201862E-001
 4.3481318E-002, 5.7788905E-002, 1.7188955E-004, 1.0000000E+000, 1.1058130E+000, 7.7000000E+001, 1.8136043E-009, 7.0211680E-001
