,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T10:37:48.151+01:00,   0.395E-02,   0.00395
      2,2020-02-21T10:37:48.187+01:00,   0.395E-02,   0.00791
      3,2020-02-21T10:37:48.225+01:00,   0.395E-02,   0.01186
      4,2020-02-21T10:37:48.247+01:00,   0.395E-02,   0.01581
      5,2020-02-21T10:37:48.267+01:00,   0.395E-02,   0.01976
      6,2020-02-21T10:37:48.304+01:00,   0.395E-02,   0.02372
      7,2020-02-21T10:37:48.325+01:00,   0.395E-02,   0.02767
      8,2020-02-21T10:37:48.346+01:00,   0.395E-02,   0.03162
      9,2020-02-21T10:37:48.380+01:00,   0.395E-02,   0.03558
     10,2020-02-21T10:37:48.402+01:00,   0.395E-02,   0.03953
     20,2020-02-21T10:37:48.662+01:00,   0.395E-02,   0.07906
     30,2020-02-21T10:37:48.944+01:00,   0.263E-02,   0.10932
     40,2020-02-21T10:37:49.203+01:00,   0.205E-02,   0.13257
     50,2020-02-21T10:37:49.457+01:00,   0.183E-02,   0.15220
     60,2020-02-21T10:37:49.707+01:00,   0.164E-02,   0.16972
     70,2020-02-21T10:37:49.944+01:00,   0.147E-02,   0.18594
     80,2020-02-21T10:37:50.196+01:00,   0.147E-02,   0.20067
     90,2020-02-21T10:37:50.447+01:00,   0.132E-02,   0.21480
    100,2020-02-21T10:37:50.680+01:00,   0.132E-02,   0.22805
    200,2020-02-21T10:37:53.816+01:00,   0.960E-03,   0.33878
    300,2020-02-21T10:37:56.829+01:00,   0.776E-03,   0.42741
    400,2020-02-21T10:37:59.963+01:00,   0.698E-03,   0.50284
    500,2020-02-21T10:38:03.968+01:00,   0.628E-03,   0.57090
    600,2020-02-21T10:38:07.625+01:00,   0.628E-03,   0.63368
    700,2020-02-21T10:38:11.495+01:00,   0.565E-03,   0.69075
    800,2020-02-21T10:38:15.780+01:00,   0.508E-03,   0.74629
    900,2020-02-21T10:38:19.788+01:00,   0.508E-03,   0.79713
   1000,2020-02-21T10:38:23.757+01:00,   0.508E-03,   0.84797
   1100,2020-02-21T10:38:27.422+01:00,   0.457E-03,   0.89504
   1200,2020-02-21T10:38:31.024+01:00,   0.457E-03,   0.94078
   1300,2020-02-21T10:38:34.522+01:00,   0.457E-03,   0.98652
   1400,2020-02-21T10:38:38.316+01:00,   0.412E-03,   1.03121
   1500,2020-02-21T10:38:42.104+01:00,   0.412E-03,   1.07238
   1600,2020-02-21T10:38:45.576+01:00,   0.412E-03,   1.11354
   1700,2020-02-21T10:38:49.793+01:00,   0.412E-03,   1.15470
   1800,2020-02-21T10:38:53.573+01:00,   0.412E-03,   1.19587
   1900,2020-02-21T10:38:57.114+01:00,   0.412E-03,   1.23703
   2000,2020-02-21T10:39:00.194+01:00,   0.370E-03,   1.27411
   2100,2020-02-21T10:39:03.794+01:00,   0.370E-03,   1.31114
   2200,2020-02-21T10:39:06.815+01:00,   0.333E-03,   1.34521
   2300,2020-02-21T10:39:10.219+01:00,   0.299E-03,   1.37699
   2400,2020-02-21T10:39:13.885+01:00,   0.299E-03,   1.40685
   2500,2020-02-21T10:39:17.049+01:00,   0.268E-03,   1.43384
   2600,2020-02-21T10:39:20.777+01:00,   0.268E-03,   1.46062
   2700,2020-02-21T10:39:23.813+01:00,   0.268E-03,   1.48739
   2800,2020-02-21T10:39:27.473+01:00,   0.268E-03,   1.51417
   2900,2020-02-21T10:39:30.441+01:00,   0.241E-03,   1.53883
   3000,2020-02-21T10:39:33.676+01:00,   0.265E-03,   1.56496
   3100,2020-02-21T10:39:37.185+01:00,   0.265E-03,   1.59143
   3200,2020-02-21T10:39:41.028+01:00,   0.265E-03,   1.61790
   3300,2020-02-21T10:39:44.028+01:00,   0.238E-03,   1.64247
   3400,2020-02-21T10:39:47.043+01:00,   0.262E-03,   1.66750
   3500,2020-02-21T10:39:50.083+01:00,   0.262E-03,   1.69371
   3600,2020-02-21T10:39:53.448+01:00,   0.262E-03,   1.71991
   3700,2020-02-21T10:39:55.894+01:00,   0.236E-03,   1.74432
   3800,2020-02-21T10:39:58.690+01:00,   0.259E-03,   1.76893
   3900,2020-02-21T10:40:01.274+01:00,   0.259E-03,   1.79485
   4000,2020-02-21T10:40:04.474+01:00,   0.259E-03,   1.82077
   4100,2020-02-21T10:40:07.179+01:00,   0.233E-03,   1.84505
   4200,2020-02-21T10:40:10.169+01:00,   0.257E-03,   1.86926
   4300,2020-02-21T10:40:12.804+01:00,   0.231E-03,   1.89414
   4400,2020-02-21T10:40:15.841+01:00,   0.254E-03,   1.91815
   4500,2020-02-21T10:40:18.586+01:00,   0.254E-03,   1.94353
   4600,2020-02-21T10:40:21.502+01:00,   0.254E-03,   1.96892
   4700,2020-02-21T10:40:24.203+01:00,   0.254E-03,   1.99431
   4723,2020-02-21T10:40:24.840+01:00,   0.108E-03,   2.00000
