s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7623498E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 8.9473925E-005, 1.1000000E+001, 5.5398601E-001, 6.7000000E+001, 5.9188723E-009, 6.9535551E-001
 7.9056942E-003, 5.7927390E-002, 9.4465335E-005, 2.0000000E+000, 6.3113499E-001, 7.3000000E+001, 6.3217538E-009, 7.1612699E-001
 1.1858541E-002, 5.7919221E-002, 9.3526026E-005, 1.0000000E+000, 6.7874402E-001, 7.6000000E+001, 7.5728204E-009, 7.2191959E-001
 1.5811388E-002, 5.7909244E-002, 9.6644982E-005, 1.0000000E+000, 7.4857998E-001, 7.6000000E+001, 8.5943338E-009, 7.2114849E-001
 1.9764235E-002, 5.7897460E-002, 9.8521615E-005, 1.0000000E+000, 7.9631102E-001, 7.6000000E+001, 8.6957483E-009, 7.1982546E-001
 2.3717082E-002, 5.7883871E-002, 9.9136511E-005, 1.0000000E+000, 8.4691894E-001, 7.6000000E+001, 8.5840865E-009, 7.1848202E-001
 2.7669930E-002, 5.7868477E-002, 6.2261473E-005, 2.0000000E+000, 9.2050302E-001, 7.3000000E+001, 7.3638632E-009, 7.2031728E-001
 3.1622777E-002, 5.7851282E-002, 7.5573564E-005, 1.0000000E+000, 9.7042000E-001, 7.5000000E+001, 8.7996322E-009, 7.1383337E-001
 3.5575624E-002, 5.7832286E-002, 9.7630644E-005, 1.0000000E+000, 1.0185100E+000, 7.6000000E+001, 8.7786824E-009, 7.1572066E-001
 3.9528471E-002, 5.7811493E-002, 6.1669370E-005, 2.0000000E+000, 1.0959300E+000, 7.3000000E+001, 7.9661399E-009, 7.2053781E-001
 4.3481318E-002, 5.7788905E-002, 9.6781713E-005, 1.0000000E+000, 1.1431870E+000, 7.5000000E+001, 9.1920089E-009, 7.1153326E-001
 4.7434165E-002, 5.7764525E-002, 7.0525060E-005, 2.0000000E+000, 1.2095560E+000, 7.3000000E+001, 7.7802522E-009, 7.1951466E-001
 5.1387012E-002, 5.7738356E-002, 6.7795005E-005, 2.0000000E+000, 1.2828740E+000, 7.3000000E+001, 6.9187082E-009, 7.1901419E-001
 5.5339859E-002, 5.7710402E-002, 6.7861785E-005, 2.0000000E+000, 1.3490551E+000, 7.3000000E+001, 6.7395521E-009, 7.1889071E-001
 5.9292706E-002, 5.7680664E-002, 7.5826727E-005, 2.0000000E+000, 1.4125760E+000, 7.3000000E+001, 7.3512895E-009, 7.1883883E-001
 6.3245553E-002, 5.7649149E-002, 8.5896833E-005, 2.0000000E+000, 1.4788030E+000, 7.3000000E+001, 7.9912127E-009, 7.1854423E-001
 6.7198400E-002, 5.7615858E-002, 9.6231534E-005, 2.0000000E+000, 1.5563310E+000, 7.3000000E+001, 8.6329793E-009, 7.1825145E-001
 7.1151247E-002, 5.7580797E-002, 5.6085611E-005, 3.0000000E+000, 1.6311600E+000, 7.2000000E+001, 8.7096376E-009, 7.2001540E-001
 7.5104094E-002, 5.7543970E-002, 9.6162160E-005, 2.0000000E+000, 1.7013030E+000, 7.3000000E+001, 8.4785426E-009, 7.1808486E-001
 7.9056942E-002, 5.7505381E-002, 6.0750297E-005, 3.0000000E+000, 1.8003150E+000, 7.2000000E+001, 9.4191573E-009, 7.2019460E-001
 8.2487903E-002, 5.7479937E-002, 8.2716721E-005, 2.0000000E+000, 1.8803369E+000, 7.3000000E+001, 8.3275103E-009, 7.1798419E-001
 8.5918865E-002, 5.7444105E-002, 9.9478643E-005, 2.0000000E+000, 1.9466020E+000, 7.4000000E+001, 5.2848923E-009, 7.1495462E-001
 8.9349826E-002, 5.7406955E-002, 5.4561371E-005, 3.0000000E+000, 2.0335470E+000, 7.2000000E+001, 9.7477597E-009, 7.2008230E-001
 9.2360941E-002, 5.7381878E-002, 7.1353736E-005, 2.0000000E+000, 2.1137990E+000, 7.3000000E+001, 8.3987670E-009, 7.1821621E-001
 9.5372056E-002, 5.7347466E-002, 8.5118187E-005, 2.0000000E+000, 2.1771790E+000, 7.4000000E+001, 5.3913366E-009, 7.1532167E-001
 9.8383171E-002, 5.7312046E-002, 8.9906432E-005, 2.0000000E+000, 2.2622961E+000, 7.4000000E+001, 5.5608132E-009, 7.1512718E-001
 1.0139429E-001, 5.7275620E-002, 9.3089578E-005, 2.0000000E+000, 2.3255991E+000, 7.4000000E+001, 5.7244943E-009, 7.1509929E-001
 1.0402230E-001, 5.7251908E-002, 7.5298729E-005, 2.0000000E+000, 2.4061900E+000, 7.4000000E+001, 5.2222634E-009, 7.1494793E-001
 1.0665032E-001, 5.7218759E-002, 7.3175905E-005, 2.0000000E+000, 2.4846269E+000, 7.4000000E+001, 5.3928455E-009, 7.1552662E-001
 1.0927834E-001, 5.7184850E-002, 7.3913366E-005, 2.0000000E+000, 2.5518781E+000, 7.4000000E+001, 5.6096301E-009, 7.1579771E-001
 1.1190636E-001, 5.7150181E-002, 7.5846798E-005, 2.0000000E+000, 2.6179279E+000, 7.4000000E+001, 5.8031948E-009, 7.1588990E-001
 1.1453438E-001, 5.7114756E-002, 7.8040330E-005, 2.0000000E+000, 2.6864730E+000, 7.4000000E+001, 5.9965166E-009, 7.1594673E-001
 1.1684322E-001, 5.7091361E-002, 6.3534057E-005, 2.0000000E+000, 2.7792519E+000, 7.4000000E+001, 5.4494879E-009, 7.1575639E-001
 1.1915206E-001, 5.7059195E-002, 6.6697978E-005, 2.0000000E+000, 2.8380910E+000, 7.4000000E+001, 5.9574527E-009, 7.1616744E-001
 1.2146090E-001, 5.7026449E-002, 6.1331303E-005, 2.0000000E+000, 2.9014260E+000, 7.4000000E+001, 5.4712494E-009, 7.1615529E-001
 1.2376973E-001, 5.6993124E-002, 6.2276546E-005, 2.0000000E+000, 2.9851421E+000, 7.4000000E+001, 5.8091570E-009, 7.1659649E-001
 1.2607857E-001, 5.6959220E-002, 6.4033661E-005, 2.0000000E+000, 3.0490330E+000, 7.4000000E+001, 6.0649483E-009, 7.1674416E-001
 1.2838741E-001, 5.6924740E-002, 6.5593174E-005, 2.0000000E+000, 3.1159741E+000, 7.4000000E+001, 6.2225312E-009, 7.1676280E-001
 1.3044007E-001, 5.6901090E-002, 5.4163179E-005, 2.0000000E+000, 3.2067441E+000, 7.4000000E+001, 5.6510920E-009, 7.1652270E-001
 1.3249273E-001, 5.6869614E-002, 5.7249604E-005, 2.0000000E+000, 3.2651769E+000, 7.4000000E+001, 6.1684775E-009, 7.1685911E-001
 1.3454539E-001, 5.6837685E-002, 5.7803799E-005, 2.0000000E+000, 3.3217100E+000, 7.4000000E+001, 6.0437037E-009, 7.1653914E-001
 1.3659805E-001, 5.6805304E-002, 5.2566705E-005, 2.0000000E+000, 3.4047409E+000, 7.4000000E+001, 5.5556930E-009, 7.1662590E-001
 1.3865071E-001, 5.6772473E-002, 5.7838759E-005, 2.0000000E+000, 3.4600450E+000, 7.4000000E+001, 6.4310176E-009, 7.1715178E-001
 1.4070337E-001, 5.6739192E-002, 5.3542906E-005, 2.0000000E+000, 3.5270530E+000, 7.4000000E+001, 5.9224039E-009, 7.1707441E-001
 1.4275602E-001, 5.6705463E-002, 5.8930874E-005, 2.0000000E+000, 3.5969211E+000, 7.4000000E+001, 6.6938423E-009, 7.1734508E-001
 1.4480868E-001, 5.6671286E-002, 5.4748237E-005, 2.0000000E+000, 3.6638340E+000, 7.4000000E+001, 6.1285714E-009, 7.1716276E-001
 1.4663448E-001, 5.6647949E-002, 4.7145453E-005, 2.0000000E+000, 3.7337240E+000, 7.4000000E+001, 5.8904128E-009, 7.1705876E-001
 1.4846028E-001, 5.6616911E-002, 4.7925865E-005, 2.0000000E+000, 3.7925750E+000, 7.4000000E+001, 6.2382693E-009, 7.1749422E-001
 1.5028608E-001, 5.6585521E-002, 4.7902662E-005, 2.0000000E+000, 3.8624429E+000, 7.4000000E+001, 6.1344352E-009, 7.1729844E-001
 1.5211188E-001, 5.6553780E-002, 4.8092900E-005, 2.0000000E+000, 3.9213289E+000, 7.4000000E+001, 6.1035057E-009, 7.1717152E-001
 1.5393768E-001, 5.6521689E-002, 4.8337519E-005, 2.0000000E+000, 3.9778689E+000, 7.4000000E+001, 6.1726570E-009, 7.1721196E-001
 1.5576348E-001, 5.6489250E-002, 4.8352993E-005, 2.0000000E+000, 4.0333632E+000, 7.4000000E+001, 6.2612921E-009, 7.1734169E-001
 1.5758928E-001, 5.6456461E-002, 4.8254983E-005, 2.0000000E+000, 4.1033238E+000, 7.4000000E+001, 6.3472478E-009, 7.1749080E-001
 1.5941508E-001, 5.6423325E-002, 4.8253482E-005, 2.0000000E+000, 4.1712741E+000, 7.4000000E+001, 6.4290773E-009, 7.1760869E-001
 1.6124088E-001, 5.6389843E-002, 4.8427948E-005, 2.0000000E+000, 4.3475889E+000, 7.4000000E+001, 6.5090250E-009, 7.1768164E-001
 1.6306668E-001, 5.6356014E-002, 4.8732555E-005, 2.0000000E+000, 4.4921478E+000, 7.4000000E+001, 6.5870997E-009, 7.1772081E-001
 1.6470554E-001, 5.6332209E-002, 7.9234763E-005, 1.0000000E+000, 4.5671958E+000, 7.8000000E+001, 7.4696526E-009, 7.1443892E-001
 1.6634440E-001, 5.6301337E-002, 5.1438602E-005, 2.0000000E+000, 4.7709302E+000, 7.4000000E+001, 8.2943790E-009, 7.1839276E-001
 1.6798326E-001, 5.6270188E-002, 8.4313007E-005, 1.0000000E+000, 4.8717092E+000, 7.8000000E+001, 8.3956781E-009, 7.1546797E-001
 1.6962212E-001, 5.6238763E-002, 5.3912079E-005, 2.0000000E+000, 4.9281758E+000, 7.4000000E+001, 8.1139926E-009, 7.1761281E-001
 1.7126098E-001, 5.6207063E-002, 8.5313398E-005, 1.0000000E+000, 5.1185240E+000, 7.8000000E+001, 9.4044460E-009, 7.1642960E-001
 1.7289983E-001, 5.6175087E-002, 5.4595611E-005, 2.0000000E+000, 5.2966789E+000, 7.4000000E+001, 8.2148539E-009, 7.1756223E-001
 1.7453869E-001, 5.6142838E-002, 8.5560565E-005, 1.0000000E+000, 5.3839511E+000, 7.9000000E+001, 2.7850402E-009, 7.0837226E-001
 1.7617755E-001, 5.6110315E-002, 5.4470740E-005, 2.0000000E+000, 5.5544280E+000, 7.4000000E+001, 8.3885279E-009, 7.1778932E-001
 1.7781641E-001, 5.6077518E-002, 8.5648489E-005, 1.0000000E+000, 5.6121148E+000, 7.9000000E+001, 2.9549329E-009, 7.0882130E-001
 1.7945527E-001, 5.6044450E-002, 5.4873055E-005, 2.0000000E+000, 5.6734160E+000, 7.4000000E+001, 8.5407152E-009, 7.1787258E-001
 1.8109413E-001, 5.6011110E-002, 8.6433923E-005, 1.0000000E+000, 5.7222389E+000, 7.9000000E+001, 3.1409680E-009, 7.0928302E-001
 1.8273299E-001, 5.5977500E-002, 5.5656809E-005, 2.0000000E+000, 5.7985162E+000, 7.4000000E+001, 8.6914353E-009, 7.1787371E-001
