Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 8.384E+02, 1.079E+01, 4.660E+00, 1.516E+01, 2.616E+00, 8.338E+00, 7.226E+00, 0.000E+00, 4.067E+00, 0.000E+00, 1.532E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    1, 8.381E+02, 1.079E+01, 4.686E+00, 1.516E+01, 2.814E+00, 8.396E+00, 8.247E+00, 0.000E+00, 4.058E+00, 0.000E+00, 1.433E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    2, 8.384E+02, 1.066E+01, 4.695E+00, 1.491E+01, 2.621E+00, 8.377E+00, 7.422E+00, 0.000E+00, 3.991E+00, 0.000E+00, 1.549E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    3, 8.380E+02, 1.100E+01, 4.625E+00, 1.545E+01, 2.884E+00, 8.516E+00, 7.532E+00, 0.000E+00, 4.078E+00, 0.000E+00, 1.448E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    4, 8.384E+02, 1.029E+01, 4.722E+00, 1.459E+01, 2.610E+00, 8.216E+00, 7.371E+00, 0.000E+00, 3.905E+00, 0.000E+00, 1.648E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    5, 8.380E+02, 1.056E+01, 4.659E+00, 1.497E+01, 2.863E+00, 8.413E+00, 7.801E+00, 0.000E+00, 3.947E+00, 0.000E+00, 1.533E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    6, 8.384E+02, 1.050E+01, 4.735E+00, 1.463E+01, 2.607E+00, 8.313E+00, 7.262E+00, 0.000E+00, 3.959E+00, 0.000E+00, 1.615E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    7, 8.383E+02, 1.091E+01, 4.728E+00, 1.486E+01, 2.721E+00, 8.446E+00, 7.761E+00, 0.000E+00, 3.995E+00, 0.000E+00, 1.485E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    8, 8.384E+02, 1.035E+01, 4.734E+00, 1.473E+01, 2.615E+00, 8.153E+00, 7.631E+00, 0.000E+00, 3.956E+00, 0.000E+00, 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
    9, 8.380E+02, 1.060E+01, 4.655E+00, 1.503E+01, 2.874E+00, 8.274E+00, 7.629E+00, 0.000E+00, 4.037E+00, 0.000E+00, 1.548E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.065E+02
