s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-2.1334714E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1334714E-017, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-2.0222756E-017, 7.0358204E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2596602E-015, 5.0135448E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-1.9172164E-017, 1.2764066E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8409933E-015, 1.0846849E-016, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.8430570E-017, 1.7385199E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7734098E-015, 1.5542142E-016, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.7791324E-017, 2.1201673E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7084593E-015, 1.9422540E-016, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-1.7222335E-017, 2.4296100E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7185530E-015, 2.2573867E-016, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-1.6781715E-017, 2.6895548E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6557968E-015, 2.5217376E-016, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-1.6492016E-017, 2.9103371E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6632574E-015, 2.7454170E-016, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-1.6110377E-017, 3.1047717E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6154222E-015, 2.9436679E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.5890067E-017, 3.2726609E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6088394E-015, 3.1137602E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.5621185E-017, 3.4253344E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5943572E-015, 3.2691225E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-1.5418222E-017, 3.5605463E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5921630E-015, 3.4063641E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-1.5249954E-017, 3.6882732E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5614432E-015, 3.5357736E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-1.4998419E-017, 3.8011076E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5623209E-015, 3.6511234E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-1.4845764E-017, 3.9027355E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5447667E-015, 3.7542778E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-1.4726068E-017, 3.9962102E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5438890E-015, 3.8489495E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-1.4644536E-017, 4.0910296E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5285291E-015, 3.9445843E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-1.4481472E-017, 4.1768215E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5276514E-015, 4.0320068E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-1.4436369E-017, 4.2506732E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5136081E-015, 4.1063095E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.4432899E-017, 4.3200157E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5184355E-015, 4.1756868E-016, 0.0000000E+000, 0.0000000E+000
 8.2493119E-002, 0.0000000E+000, 0.0000000E+000,-1.1657342E-017, 4.3138480E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3549923E-015, 4.1972746E-016, 0.0000000E+000, 0.0000000E+000
 8.5929304E-002, 0.0000000E+000, 0.0000000E+000,-1.1695506E-017, 4.2955842E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2439274E-015, 4.1786291E-016, 0.0000000E+000, 0.0000000E+000
 8.9365482E-002, 0.0000000E+000, 0.0000000E+000,-1.1841222E-017, 4.2876019E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2509951E-015, 4.1691897E-016, 0.0000000E+000, 0.0000000E+000
 9.2381828E-002, 0.0000000E+000, 0.0000000E+000,-9.6485320E-018, 4.2352837E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1036315E-015, 4.1387984E-016, 0.0000000E+000, 0.0000000E+000
 9.5398173E-002, 0.0000000E+000, 0.0000000E+000,-9.7595543E-018, 4.1771390E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0927045E-015, 4.0795434E-016, 0.0000000E+000, 0.0000000E+000
 9.8414518E-002, 0.0000000E+000, 0.0000000E+000,-9.9226183E-018, 4.1304315E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0835028E-015, 4.0312054E-016, 0.0000000E+000, 0.0000000E+000
 1.0143086E-001, 0.0000000E+000, 0.0000000E+000,-1.0019763E-017, 4.0920895E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0771766E-015, 3.9918919E-016, 0.0000000E+000, 0.0000000E+000
 1.0406190E-001, 0.0000000E+000, 0.0000000E+000,-8.0838114E-018, 4.0339628E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8965647E-016, 3.9531246E-016, 0.0000000E+000, 0.0000000E+000
 1.0669293E-001, 0.0000000E+000, 0.0000000E+000,-8.2260587E-018, 3.9696502E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7295481E-016, 3.8873897E-016, 0.0000000E+000, 0.0000000E+000
 1.0932397E-001, 0.0000000E+000, 0.0000000E+000,-8.3440199E-018, 3.9149786E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1976734E-016, 3.8315384E-016, 0.0000000E+000, 0.0000000E+000
 1.1195500E-001, 0.0000000E+000, 0.0000000E+000,-8.4654506E-018, 3.8689299E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7163614E-016, 3.7842754E-016, 0.0000000E+000, 0.0000000E+000
 1.1458603E-001, 0.0000000E+000, 0.0000000E+000,-8.5799423E-018, 3.8291088E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2372332E-016, 3.7433094E-016, 0.0000000E+000, 0.0000000E+000
 1.1689781E-001, 0.0000000E+000, 0.0000000E+000,-6.9354245E-018, 3.7732995E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4043200E-016, 3.7039452E-016, 0.0000000E+000, 0.0000000E+000
 1.1920959E-001, 0.0000000E+000, 0.0000000E+000,-7.0637940E-018, 3.7140768E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9916078E-016, 3.6434389E-016, 0.0000000E+000, 0.0000000E+000
 1.2152136E-001, 0.0000000E+000, 0.0000000E+000,-7.1470607E-018, 3.6648544E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6764458E-016, 3.5933838E-016, 0.0000000E+000, 0.0000000E+000
 1.2383314E-001, 0.0000000E+000, 0.0000000E+000,-7.3725748E-018, 3.6222788E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0366310E-016, 3.5485531E-016, 0.0000000E+000, 0.0000000E+000
 1.2614492E-001, 0.0000000E+000, 0.0000000E+000,-7.4142081E-018, 3.5876674E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6464304E-016, 3.5135253E-016, 0.0000000E+000, 0.0000000E+000
 1.2845670E-001, 0.0000000E+000, 0.0000000E+000,-7.5356388E-018, 3.5513195E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4268315E-016, 3.4759631E-016, 0.0000000E+000, 0.0000000E+000
 1.3051111E-001, 0.0000000E+000, 0.0000000E+000,-6.1964323E-018, 3.5073666E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719891E-016, 3.4454023E-016, 0.0000000E+000, 0.0000000E+000
 1.3256553E-001, 0.0000000E+000, 0.0000000E+000,-6.3560268E-018, 3.4581442E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8479840E-016, 3.3945839E-016, 0.0000000E+000, 0.0000000E+000
 1.3461994E-001, 0.0000000E+000, 0.0000000E+000,-6.4809269E-018, 3.4194608E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7128820E-016, 3.3546516E-016, 0.0000000E+000, 0.0000000E+000
 1.3667436E-001, 0.0000000E+000, 0.0000000E+000,-6.6197048E-018, 3.3790316E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7466575E-016, 3.3128346E-016, 0.0000000E+000, 0.0000000E+000
 1.3872877E-001, 0.0000000E+000, 0.0000000E+000,-6.6335826E-018, 3.3525734E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4221676E-016, 3.2862376E-016, 0.0000000E+000, 0.0000000E+000
 1.4078319E-001, 0.0000000E+000, 0.0000000E+000,-6.7099104E-018, 3.3265251E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3123972E-016, 3.2594260E-016, 0.0000000E+000, 0.0000000E+000
 1.4283760E-001, 0.0000000E+000, 0.0000000E+000,-6.7446049E-018, 3.3044887E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9999738E-016, 3.2370427E-016, 0.0000000E+000, 0.0000000E+000
 1.4489202E-001, 0.0000000E+000, 0.0000000E+000,-6.8001160E-018, 3.2868238E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8057646E-016, 3.2188226E-016, 0.0000000E+000, 0.0000000E+000
 1.4671868E-001, 0.0000000E+000, 0.0000000E+000,-5.6690763E-018, 3.2509549E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8281009E-016, 3.1942641E-016, 0.0000000E+000, 0.0000000E+000
 1.4854535E-001, 0.0000000E+000, 0.0000000E+000,-5.8078542E-018, 3.2164632E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9164213E-016, 3.1583847E-016, 0.0000000E+000, 0.0000000E+000
 1.5037201E-001, 0.0000000E+000, 0.0000000E+000,-5.8494876E-018, 3.1814832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0398779E-016, 3.1229883E-016, 0.0000000E+000, 0.0000000E+000
 1.5219869E-001, 0.0000000E+000, 0.0000000E+000,-5.9743877E-018, 3.1549651E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2298111E-016, 3.0952213E-016, 0.0000000E+000, 0.0000000E+000
 1.5402535E-001, 0.0000000E+000, 0.0000000E+000,-6.0507155E-018, 3.1329887E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3912544E-016, 3.0724815E-016, 0.0000000E+000, 0.0000000E+000
 1.5585202E-001, 0.0000000E+000, 0.0000000E+000,-6.0992877E-018, 3.1109524E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0683679E-016, 3.0499595E-016, 0.0000000E+000, 0.0000000E+000
 1.5767868E-001, 0.0000000E+000, 0.0000000E+000,-6.1409211E-018, 3.0888468E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5052144E-016, 3.0274376E-016, 0.0000000E+000, 0.0000000E+000
 1.5950535E-001, 0.0000000E+000, 0.0000000E+000,-6.2450045E-018, 3.0735266E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7264880E-016, 3.0110765E-016, 0.0000000E+000, 0.0000000E+000
 1.6133201E-001, 0.0000000E+000, 0.0000000E+000,-6.3560268E-018, 3.0583167E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6951476E-016, 2.9947564E-016, 0.0000000E+000, 0.0000000E+000
 1.6315868E-001, 0.0000000E+000, 0.0000000E+000,-6.4115380E-018, 3.0423191E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2393078E-016, 2.9782037E-016, 0.0000000E+000, 0.0000000E+000
 1.6479789E-001, 0.0000000E+000, 0.0000000E+000,-5.3568261E-018, 3.0202048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9369079E-016, 2.9666366E-016, 0.0000000E+000, 0.0000000E+000
 1.6643709E-001, 0.0000000E+000, 0.0000000E+000,-5.4192761E-018, 2.9954919E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2278654E-016, 2.9412991E-016, 0.0000000E+000, 0.0000000E+000
 1.6807629E-001, 0.0000000E+000, 0.0000000E+000,-5.4539706E-018, 2.9778961E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8522461E-016, 2.9233564E-016, 0.0000000E+000, 0.0000000E+000
 1.6971549E-001, 0.0000000E+000, 0.0000000E+000,-5.5233595E-018, 2.9559017E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2172827E-016, 2.9006681E-016, 0.0000000E+000, 0.0000000E+000
 1.7135470E-001, 0.0000000E+000, 0.0000000E+000,-5.4956040E-018, 2.9320776E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7887498E-016, 2.8771215E-016, 0.0000000E+000, 0.0000000E+000
 1.7299390E-001, 0.0000000E+000, 0.0000000E+000,-5.5580540E-018, 2.9189130E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6935052E-016, 2.8633325E-016, 0.0000000E+000, 0.0000000E+000
 1.7463310E-001, 0.0000000E+000, 0.0000000E+000,-5.6551985E-018, 2.9037631E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1697278E-016, 2.8472111E-016, 0.0000000E+000, 0.0000000E+000
 1.7627230E-001, 0.0000000E+000, 0.0000000E+000,-5.7592819E-018, 2.8906491E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6617571E-016, 2.8330562E-016, 0.0000000E+000, 0.0000000E+000
 1.7791151E-001, 0.0000000E+000, 0.0000000E+000,-5.7592819E-018, 2.8793914E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6194262E-016, 2.8217986E-016, 0.0000000E+000, 0.0000000E+000
 1.7955071E-001, 0.0000000E+000, 0.0000000E+000,-5.8147931E-018, 2.8693912E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4289372E-016, 2.8112433E-016, 0.0000000E+000, 0.0000000E+000
 1.8118991E-001, 0.0000000E+000, 0.0000000E+000,-5.7245875E-018, 2.8601096E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3602168E-016, 2.8028637E-016, 0.0000000E+000, 0.0000000E+000
 1.8282913E-001, 0.0000000E+000, 0.0000000E+000,-5.7454042E-018, 2.8532052E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4289372E-016, 2.7957512E-016, 0.0000000E+000, 0.0000000E+000
 1.8446833E-001, 0.0000000E+000, 0.0000000E+000,-5.8009153E-018, 2.8470555E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0956487E-016, 2.7890463E-016, 0.0000000E+000, 0.0000000E+000
 1.8594106E-001, 0.0000000E+000, 0.0000000E+000,-4.8711035E-018, 2.8304684E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7233629E-016, 2.7817573E-016, 0.0000000E+000, 0.0000000E+000
