Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 2.601E+00, 1.040E+01, 4.172E+00, 3.648E+01, 5.649E+01, 8.309E+00, 1.066E+01, 0.000E+00, 4.091E+00, 0.000E+00, 7.162E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    1, 2.702E+00, 1.107E+01, 4.184E+00, 4.398E+01, 6.111E+01, 9.248E+00, 1.559E+01, 0.000E+00, 4.162E+00, 0.000E+00, 5.278E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    2, 2.639E+00, 1.069E+01, 4.136E+00, 4.269E+01, 6.038E+01, 8.519E+00, 1.284E+01, 0.000E+00, 4.091E+00, 0.000E+00, 5.885E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    3, 2.641E+00, 1.105E+01, 4.103E+00, 4.615E+01, 6.184E+01, 9.008E+00, 1.237E+01, 0.000E+00, 4.173E+00, 0.000E+00, 5.350E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    4, 2.716E+00, 1.063E+01, 4.140E+00, 4.114E+01, 5.911E+01, 8.352E+00, 1.424E+01, 0.000E+00, 4.127E+00, 0.000E+00, 6.038E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    5, 2.598E+00, 1.077E+01, 4.159E+00, 4.054E+01, 5.901E+01, 9.024E+00, 1.071E+01, 0.000E+00, 4.116E+00, 0.000E+00, 6.389E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    6, 2.616E+00, 1.072E+01, 4.122E+00, 4.392E+01, 6.150E+01, 8.450E+00, 9.668E+00, 0.000E+00, 4.159E+00, 0.000E+00, 5.967E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    7, 2.599E+00, 1.108E+01, 4.134E+00, 3.697E+01, 5.885E+01, 9.199E+00, 1.007E+01, 0.000E+00, 4.096E+00, 0.000E+00, 6.783E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    8, 2.656E+00, 1.081E+01, 4.126E+00, 4.412E+01, 6.162E+01, 8.487E+00, 1.015E+01, 0.000E+00, 4.190E+00, 0.000E+00, 5.867E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
    9, 2.708E+00, 1.100E+01, 4.155E+00, 3.990E+01, 5.953E+01, 8.998E+00, 1.312E+01, 0.000E+00, 4.241E+00, 0.000E+00, 6.118E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.048E+02
