s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-2.9158317E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9158317E-008, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-2.9122927E-008,-1.0993967E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1942709E-018,-2.9122927E-008, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.8283024E-008,-1.5503337E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3885418E-018,-2.8283024E-008, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-2.6584971E-008,-2.3569879E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2475210E-017,-2.6584971E-008, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-2.4762256E-008,-2.6466055E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4575834E-017,-2.4762256E-008, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-2.3049466E-008,-2.9507765E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1691147E-017,-2.3049466E-008, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.1490003E-008,-3.0840584E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0187292E-017,-2.1490003E-008, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-2.0204315E-008,-3.4119220E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9935731E-017,-2.0204315E-008, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-1.9264369E-008,-3.2617992E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3791772E-017,-1.9264369E-008, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.8762705E-008,-3.4016012E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5640835E-017,-1.8762705E-008, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.8663031E-008,-3.8752604E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5640835E-017,-1.8663031E-008, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-1.9029607E-008,-3.9742622E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1439586E-017,-1.9029607E-008, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-1.9260122E-008,-4.3947496E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6331251E-017,-1.9260122E-008, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-1.9722625E-008,-5.1457605E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2223648E-017,-1.9722625E-008, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-2.0448068E-008,-5.2761932E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7302606E-017,-2.0448068E-008, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-2.1327463E-008,-5.4315652E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0813439E-017,-2.1327463E-008, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-2.2501592E-008,-5.3520113E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9496877E-017,-2.2501592E-008, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-2.3775442E-008,-5.7744966E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6331251E-017,-2.3775442E-008, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-2.5206126E-008,-5.7232753E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5734481E-017,-2.5206126E-008, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-2.6673407E-008,-6.5644100E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7489898E-017,-2.6673407E-008, 0.0000000E+000, 0.0000000E+000
 8.2486011E-002, 0.0000000E+000, 0.0000000E+000,-2.7998982E-008,-6.3346439E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9306606E-017,-2.7998982E-008, 0.0000000E+000, 0.0000000E+000
 8.5915081E-002, 0.0000000E+000, 0.0000000E+000,-2.9344072E-008,-5.9971389E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9812494E-017,-2.9344072E-008, 0.0000000E+000, 0.0000000E+000
 8.9344151E-002, 0.0000000E+000, 0.0000000E+000,-3.0873667E-008,-6.0187918E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7553438E-017,-3.0873667E-008, 0.0000000E+000, 0.0000000E+000
 9.2355080E-002, 0.0000000E+000, 0.0000000E+000,-3.2069153E-008,-6.2257694E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2058316E-017,-3.2069153E-008, 0.0000000E+000, 0.0000000E+000
 9.5366016E-002, 0.0000000E+000, 0.0000000E+000,-3.2942643E-008,-5.9583487E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9342555E-017,-3.2942643E-008, 0.0000000E+000, 0.0000000E+000
 9.8376952E-002, 0.0000000E+000, 0.0000000E+000,-3.3372297E-008,-5.7636547E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3251250E-017,-3.3372297E-008, 0.0000000E+000, 0.0000000E+000
 1.0138788E-001, 0.0000000E+000, 0.0000000E+000,-3.2747464E-008,-5.7199348E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9177609E-017,-3.2747464E-008, 0.0000000E+000, 0.0000000E+000
 1.0401611E-001, 0.0000000E+000, 0.0000000E+000,-3.1683534E-008,-5.4194346E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2703326E-017,-3.1683534E-008, 0.0000000E+000, 0.0000000E+000
 1.0664434E-001, 0.0000000E+000, 0.0000000E+000,-3.0879747E-008,-5.5781174E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2142766E-017,-3.0879747E-008, 0.0000000E+000, 0.0000000E+000
 1.0927257E-001, 0.0000000E+000, 0.0000000E+000,-3.0196359E-008,-5.5255182E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2902276E-017,-3.0196359E-008, 0.0000000E+000, 0.0000000E+000
 1.1190080E-001, 0.0000000E+000, 0.0000000E+000,-2.9738019E-008,-5.4139311E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9502626E-017,-2.9738019E-008, 0.0000000E+000, 0.0000000E+000
 1.1452903E-001, 0.0000000E+000, 0.0000000E+000,-2.9474109E-008,-5.4162186E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6961961E-017,-2.9474109E-008, 0.0000000E+000, 0.0000000E+000
 1.1683821E-001, 0.0000000E+000, 0.0000000E+000,-2.9347242E-008,-5.3638442E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3288103E-017,-2.9347242E-008, 0.0000000E+000, 0.0000000E+000
 1.1914739E-001, 0.0000000E+000, 0.0000000E+000,-2.9218738E-008,-5.3049916E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7795478E-017,-2.9218738E-008, 0.0000000E+000, 0.0000000E+000
 1.2145657E-001, 0.0000000E+000, 0.0000000E+000,-2.9164217E-008,-5.4847302E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1317603E-017,-2.9164217E-008, 0.0000000E+000, 0.0000000E+000
 1.2376575E-001, 0.0000000E+000, 0.0000000E+000,-2.9071830E-008,-5.2270511E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8312686E-017,-2.9071830E-008, 0.0000000E+000, 0.0000000E+000
 1.2607493E-001, 0.0000000E+000, 0.0000000E+000,-2.8765003E-008,-5.2123082E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7044249E-017,-2.8765003E-008, 0.0000000E+000, 0.0000000E+000
 1.2838411E-001, 0.0000000E+000, 0.0000000E+000,-2.8375447E-008,-5.1750909E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8546708E-017,-2.8375447E-008, 0.0000000E+000, 0.0000000E+000
 1.3043684E-001, 0.0000000E+000, 0.0000000E+000,-2.8084952E-008,-5.0625698E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0564004E-017,-2.8084952E-008, 0.0000000E+000, 0.0000000E+000
 1.3248956E-001, 0.0000000E+000, 0.0000000E+000,-2.7781051E-008,-5.3068297E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1972169E-017,-2.7781051E-008, 0.0000000E+000, 0.0000000E+000
 1.3454229E-001, 0.0000000E+000, 0.0000000E+000,-2.7543207E-008,-5.1050362E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2254171E-017,-2.7543207E-008, 0.0000000E+000, 0.0000000E+000
 1.3659501E-001, 0.0000000E+000, 0.0000000E+000,-2.7395393E-008,-5.0600928E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6901668E-017,-2.7395393E-008, 0.0000000E+000, 0.0000000E+000
 1.3864774E-001, 0.0000000E+000, 0.0000000E+000,-2.7271969E-008,-4.8639977E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0423003E-017,-2.7271969E-008, 0.0000000E+000, 0.0000000E+000
 1.4070046E-001, 0.0000000E+000, 0.0000000E+000,-2.7219892E-008,-4.8170916E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3521335E-017,-2.7219892E-008, 0.0000000E+000, 0.0000000E+000
 1.4275318E-001, 0.0000000E+000, 0.0000000E+000,-2.7310538E-008,-4.8294401E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4508341E-018,-2.7310538E-008, 0.0000000E+000, 0.0000000E+000
 1.4480591E-001, 0.0000000E+000, 0.0000000E+000,-2.7436500E-008,-4.8780016E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3944337E-017,-2.7436500E-008, 0.0000000E+000, 0.0000000E+000
 1.4663149E-001, 0.0000000E+000, 0.0000000E+000,-2.7554553E-008,-4.9076229E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1402742E-017,-2.7554553E-008, 0.0000000E+000, 0.0000000E+000
 1.4845708E-001, 0.0000000E+000, 0.0000000E+000,-2.7661443E-008,-4.7771076E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2760283E-017,-2.7661443E-008, 0.0000000E+000, 0.0000000E+000
 1.5028267E-001, 0.0000000E+000, 0.0000000E+000,-2.7775408E-008,-4.7397955E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4253428E-017,-2.7775408E-008, 0.0000000E+000, 0.0000000E+000
 1.5210825E-001, 0.0000000E+000, 0.0000000E+000,-2.7898432E-008,-4.6365490E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1402742E-017,-2.7898432E-008, 0.0000000E+000, 0.0000000E+000
 1.5393384E-001, 0.0000000E+000, 0.0000000E+000,-2.7988518E-008,-4.6728324E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5520565E-018,-2.7988518E-008, 0.0000000E+000, 0.0000000E+000
 1.5575942E-001, 0.0000000E+000, 0.0000000E+000,-2.8127839E-008,-4.6413785E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3257998E-017,-2.8127839E-008, 0.0000000E+000, 0.0000000E+000
 1.5758501E-001, 0.0000000E+000, 0.0000000E+000,-2.8287804E-008,-4.6738016E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8054342E-017,-2.8287804E-008, 0.0000000E+000, 0.0000000E+000
 1.5941060E-001, 0.0000000E+000, 0.0000000E+000,-2.8467601E-008,-4.4840493E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6153885E-017,-2.8467601E-008, 0.0000000E+000, 0.0000000E+000
 1.6123618E-001, 0.0000000E+000, 0.0000000E+000,-2.8712619E-008,-4.4856573E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4705941E-017,-2.8712619E-008, 0.0000000E+000, 0.0000000E+000
 1.6306177E-001, 0.0000000E+000, 0.0000000E+000,-2.8946047E-008,-4.4921598E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7058912E-017,-2.8946047E-008, 0.0000000E+000, 0.0000000E+000
 1.6470048E-001, 0.0000000E+000, 0.0000000E+000,-2.9092248E-008,-4.6085764E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6464675E-017,-2.9092248E-008, 0.0000000E+000, 0.0000000E+000
 1.6633920E-001, 0.0000000E+000, 0.0000000E+000,-2.9173101E-008,-4.3746847E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5272832E-018,-2.9173101E-008, 0.0000000E+000, 0.0000000E+000
 1.6797791E-001, 0.0000000E+000, 0.0000000E+000,-2.9173504E-008,-4.4017288E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3515221E-018,-2.9173504E-008, 0.0000000E+000, 0.0000000E+000
 1.6961662E-001, 0.0000000E+000, 0.0000000E+000,-2.9143703E-008,-4.3716284E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2703044E-017,-2.9143703E-008, 0.0000000E+000, 0.0000000E+000
 1.7125535E-001, 0.0000000E+000, 0.0000000E+000,-2.9040166E-008,-4.2862163E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4101091E-018,-2.9040166E-008, 0.0000000E+000, 0.0000000E+000
 1.7289406E-001, 0.0000000E+000, 0.0000000E+000,-2.8887339E-008,-4.3517961E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6577829E-017,-2.8887339E-008, 0.0000000E+000, 0.0000000E+000
 1.7453277E-001, 0.0000000E+000, 0.0000000E+000,-2.8678865E-008,-4.3147737E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8109133E-017,-2.8678865E-008, 0.0000000E+000, 0.0000000E+000
 1.7617150E-001, 0.0000000E+000, 0.0000000E+000,-2.8414535E-008,-4.3372129E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7995979E-017,-2.8414535E-008, 0.0000000E+000, 0.0000000E+000
 1.7781021E-001, 0.0000000E+000, 0.0000000E+000,-2.8157291E-008,-4.3323184E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4101091E-018,-2.8157291E-008, 0.0000000E+000, 0.0000000E+000
 1.7944892E-001, 0.0000000E+000, 0.0000000E+000,-2.7873292E-008,-4.2705692E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5406088E-017,-2.7873292E-008, 0.0000000E+000, 0.0000000E+000
 1.8108764E-001, 0.0000000E+000, 0.0000000E+000,-2.7634573E-008,-4.2446838E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2929351E-018,-2.7634573E-008, 0.0000000E+000, 0.0000000E+000
 1.8272635E-001, 0.0000000E+000, 0.0000000E+000,-2.7406001E-008,-4.3152880E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4686961E-018,-2.7406001E-008, 0.0000000E+000, 0.0000000E+000
 1.8436508E-001, 0.0000000E+000, 0.0000000E+000,-2.7173051E-008,-4.3711141E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2343481E-018,-2.7173051E-008, 0.0000000E+000, 0.0000000E+000
 1.8583755E-001, 0.0000000E+000, 0.0000000E+000,-2.7420445E-008,-4.2332098E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8904566E-018,-2.7420445E-008, 0.0000000E+000, 0.0000000E+000
