s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 3.3097440E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3097440E-018, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 3.2914210E-018,-1.0697998E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4043334E-016, 2.2216212E-018, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 3.2838315E-018,-1.6357647E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6149834E-016, 1.6480669E-018, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 3.2799284E-018,-1.9962706E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7428386E-016, 1.2836578E-018, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 3.2760253E-018,-2.4409353E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8349980E-016, 8.3508999E-019, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 3.2699538E-018,-2.5433128E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8042782E-016, 7.2664093E-019, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 3.2595454E-018,-3.1600253E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6550678E-016, 9.9520148E-020, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 3.2526065E-018,-3.5276537E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8744949E-016,-2.7504719E-019, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 3.2526065E-018,-3.9323939E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9929855E-016,-6.7978735E-019, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 3.2508718E-018,-4.1876312E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9139918E-016,-9.3675937E-019, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 3.2352593E-018,-4.6570876E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7998897E-016,-1.4218283E-018, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 3.2335246E-018,-4.9753275E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7647814E-016,-1.7418029E-018, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 3.2352593E-018,-5.3687411E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8569407E-016,-2.1334818E-018, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 3.2387287E-018,-5.6873356E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8788834E-016,-2.4486069E-018, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 3.2283204E-018,-6.2825725E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8218324E-016,-3.0542521E-018, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 3.2231162E-018,-6.5360069E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0237053E-016,-3.3128907E-018, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 3.2092384E-018,-7.0303200E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9447116E-016,-3.8210816E-018, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 3.2092384E-018,-7.6927799E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8306095E-016,-4.4835415E-018, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 3.2022995E-018,-7.6762638E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9139918E-016,-4.4739643E-018, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 3.1953606E-018,-8.2868284E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9754314E-016,-5.0914678E-018, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000, 2.7478020E-018,-8.7803971E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4546458E-016,-6.0325951E-018, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000, 2.7478020E-018,-8.8179691E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4192180E-016,-6.0701671E-018, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000, 2.7269853E-018,-9.1157973E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5153793E-016,-6.3888120E-018, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000, 2.4008573E-018,-9.2882945E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2134879E-016,-6.8874372E-018, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000, 2.3696323E-018,-9.3809183E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1558450E-016,-7.0112860E-018, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000, 2.4008573E-018,-9.2699105E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0002091E-016,-6.8690532E-018, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000, 2.4043267E-018,-9.2408091E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9598591E-016,-6.8364823E-018, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000, 2.0677904E-018,-9.5832911E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0075215E-016,-7.5155007E-018, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000, 2.0643209E-018,-9.4721236E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6575260E-016,-7.4078026E-018, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000, 2.0677904E-018,-9.5729878E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9943142E-016,-7.5051975E-018, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000, 2.0712598E-018,-9.4308510E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6575260E-016,-7.3595911E-018, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000, 2.0712598E-018,-9.6131668E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8358256E-016,-7.5419070E-018, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000, 1.7659485E-018,-9.7989938E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4354080E-016,-8.0330453E-018, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000, 1.8075819E-018,-9.9204293E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5857125E-016,-8.1128475E-018, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000, 1.8145208E-018,-1.0015465E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4278928E-016,-8.2009444E-018, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000, 1.8145208E-018,-1.0084201E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6608648E-016,-8.2696807E-018, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000, 1.8110513E-018,-1.0269786E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6157734E-016,-8.4587348E-018, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000, 1.7971735E-018,-1.0429278E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4203776E-016,-8.6321048E-018, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000, 1.5751289E-018,-1.0429373E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4453608E-016,-8.8542441E-018, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000, 1.5890067E-018,-1.0465302E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0565503E-016,-8.8762951E-018, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000, 1.5959456E-018,-1.0491394E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2678603E-016,-8.8954487E-018, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000, 1.5612511E-018,-1.0555396E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3185747E-016,-8.9941447E-018, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000, 1.6028845E-018,-1.0692656E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1833363E-016,-9.0897714E-018, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000, 1.5890067E-018,-1.0795613E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1579791E-016,-9.2066060E-018, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000, 1.5612511E-018,-1.0806478E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1833363E-016,-9.2452266E-018, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000, 1.5473733E-018,-1.1050495E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3946463E-016,-9.5031220E-018, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000, 1.3877788E-018,-1.1146146E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1499480E-016,-9.7583670E-018, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000, 1.4085955E-018,-1.1106966E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0929258E-016,-9.6983703E-018, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000, 1.3600232E-018,-1.1076316E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1119332E-016,-9.7162926E-018, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000, 1.3739010E-018,-1.1137438E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4086653E-017,-9.7635373E-018, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000, 1.3739010E-018,-1.1051737E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1974665E-016,-9.6778356E-018, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000, 1.4016566E-018,-1.1114355E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1024295E-016,-9.7126982E-018, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000, 1.3669621E-018,-1.1117092E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0929258E-016,-9.7501296E-018, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000, 1.3739010E-018,-1.1253950E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1277768E-017,-9.8800487E-018, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000, 1.3877788E-018,-1.1249924E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2164739E-016,-9.8621454E-018, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000, 1.4085955E-018,-1.1310480E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2639924E-016,-9.9018841E-018, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000, 1.2073675E-018,-1.1263603E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5173379E-017,-1.0056236E-017, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000, 1.2281842E-018,-1.1223489E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0376044E-016,-9.9953050E-018, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000, 1.2212453E-018,-1.1130416E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0376044E-016,-9.9091707E-018, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000, 1.2212453E-018,-1.1221592E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4114599E-017,-1.0000346E-017, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000, 1.2143064E-018,-1.1192585E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0467279E-017,-9.9782784E-018, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000, 1.2281842E-018,-1.1094038E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4114599E-017,-9.8658537E-018, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000, 1.1934898E-018,-1.1062294E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0905434E-016,-9.8688046E-018, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000, 1.2490009E-018,-1.1098223E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5761179E-017,-9.8492222E-018, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000, 1.2767565E-018,-1.1146997E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0467279E-017,-9.8702406E-018, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000, 1.2281842E-018,-1.1127230E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3172639E-017,-9.8990456E-018, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000, 1.2281842E-018,-1.1226356E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6115340E-017,-9.9981719E-018, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000, 1.2212453E-018,-1.1155432E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3172639E-017,-9.9341871E-018, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000, 1.2143064E-018,-1.1188045E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9879479E-017,-9.9737386E-018, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000, 1.1032841E-018,-1.1191651E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3049575E-017,-1.0088367E-017, 0.0000000E+000, 0.0000000E+000
