,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T10:37:50.156+01:00,   0.395E-02,   0.00395
      2,2020-02-21T10:37:50.175+01:00,   0.395E-02,   0.00791
      3,2020-02-21T10:37:50.205+01:00,   0.395E-02,   0.01186
      4,2020-02-21T10:37:50.223+01:00,   0.395E-02,   0.01581
      5,2020-02-21T10:37:50.239+01:00,   0.395E-02,   0.01976
      6,2020-02-21T10:37:50.270+01:00,   0.395E-02,   0.02372
      7,2020-02-21T10:37:50.287+01:00,   0.395E-02,   0.02767
      8,2020-02-21T10:37:50.305+01:00,   0.395E-02,   0.03162
      9,2020-02-21T10:37:50.337+01:00,   0.395E-02,   0.03558
     10,2020-02-21T10:37:50.355+01:00,   0.395E-02,   0.03953
     20,2020-02-21T10:37:50.565+01:00,   0.395E-02,   0.07906
     30,2020-02-21T10:37:50.786+01:00,   0.263E-02,   0.10926
     40,2020-02-21T10:37:51.002+01:00,   0.205E-02,   0.13247
     50,2020-02-21T10:37:51.215+01:00,   0.183E-02,   0.15208
     60,2020-02-21T10:37:51.430+01:00,   0.164E-02,   0.16959
     70,2020-02-21T10:37:51.624+01:00,   0.147E-02,   0.18581
     80,2020-02-21T10:37:51.825+01:00,   0.147E-02,   0.20053
     90,2020-02-21T10:37:52.021+01:00,   0.132E-02,   0.21466
    100,2020-02-21T10:37:52.208+01:00,   0.132E-02,   0.22791
    200,2020-02-21T10:37:55.585+01:00,   0.960E-03,   0.33864
    300,2020-02-21T10:37:57.965+01:00,   0.776E-03,   0.42727
    400,2020-02-21T10:38:01.239+01:00,   0.698E-03,   0.50272
    500,2020-02-21T10:38:05.027+01:00,   0.628E-03,   0.57078
    600,2020-02-21T10:38:08.325+01:00,   0.628E-03,   0.63357
    700,2020-02-21T10:38:11.389+01:00,   0.565E-03,   0.69065
    800,2020-02-21T10:38:14.721+01:00,   0.508E-03,   0.74619
    900,2020-02-21T10:38:18.015+01:00,   0.508E-03,   0.79704
   1000,2020-02-21T10:38:21.042+01:00,   0.508E-03,   0.84788
   1100,2020-02-21T10:38:23.788+01:00,   0.457E-03,   0.89495
   1200,2020-02-21T10:38:26.612+01:00,   0.457E-03,   0.94070
   1300,2020-02-21T10:38:29.780+01:00,   0.457E-03,   0.98644
   1400,2020-02-21T10:38:32.616+01:00,   0.412E-03,   1.03113
   1500,2020-02-21T10:38:35.634+01:00,   0.412E-03,   1.07230
   1600,2020-02-21T10:38:38.468+01:00,   0.412E-03,   1.11346
   1700,2020-02-21T10:38:41.424+01:00,   0.412E-03,   1.15463
   1800,2020-02-21T10:38:44.603+01:00,   0.412E-03,   1.19580
   1900,2020-02-21T10:38:47.187+01:00,   0.412E-03,   1.23696
   2000,2020-02-21T10:38:49.868+01:00,   0.370E-03,   1.27402
   2100,2020-02-21T10:38:52.454+01:00,   0.370E-03,   1.31099
   2200,2020-02-21T10:38:55.573+01:00,   0.332E-03,   1.34506
   2300,2020-02-21T10:38:58.196+01:00,   0.298E-03,   1.37682
   2400,2020-02-21T10:39:00.953+01:00,   0.298E-03,   1.40661
   2500,2020-02-21T10:39:03.124+01:00,   0.268E-03,   1.43364
   2600,2020-02-21T10:39:05.788+01:00,   0.268E-03,   1.46042
   2700,2020-02-21T10:39:08.226+01:00,   0.268E-03,   1.48720
   2800,2020-02-21T10:39:10.485+01:00,   0.268E-03,   1.51398
   2900,2020-02-21T10:39:13.219+01:00,   0.241E-03,   1.53867
   3000,2020-02-21T10:39:15.651+01:00,   0.265E-03,   1.56482
   3100,2020-02-21T10:39:17.911+01:00,   0.265E-03,   1.59133
   3200,2020-02-21T10:39:20.068+01:00,   0.265E-03,   1.61784
   3300,2020-02-21T10:39:22.296+01:00,   0.238E-03,   1.64242
   3400,2020-02-21T10:39:24.826+01:00,   0.262E-03,   1.66745
   3500,2020-02-21T10:39:27.175+01:00,   0.262E-03,   1.69366
   3600,2020-02-21T10:39:29.142+01:00,   0.262E-03,   1.71988
   3700,2020-02-21T10:39:30.943+01:00,   0.236E-03,   1.74431
   3800,2020-02-21T10:39:32.861+01:00,   0.259E-03,   1.76891
   3900,2020-02-21T10:39:34.911+01:00,   0.234E-03,   1.79390
   4000,2020-02-21T10:39:36.792+01:00,   0.257E-03,   1.81830
   4100,2020-02-21T10:39:38.870+01:00,   0.257E-03,   1.84399
   4200,2020-02-21T10:39:40.866+01:00,   0.257E-03,   1.86968
   4300,2020-02-21T10:39:42.935+01:00,   0.231E-03,   1.89451
   4400,2020-02-21T10:39:44.844+01:00,   0.254E-03,   1.91856
   4500,2020-02-21T10:39:47.025+01:00,   0.254E-03,   1.94397
   4600,2020-02-21T10:39:49.333+01:00,   0.254E-03,   1.96938
   4700,2020-02-21T10:39:51.495+01:00,   0.254E-03,   1.99479
   4721,2020-02-21T10:39:51.821+01:00,   0.126E-03,   2.00000
