Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 3.191E+02, 1.074E+01, 4.319E+00, 1.355E+01, 1.981E+00, 8.394E+00, 9.694E+00, 0.000E+00, 4.040E+00, 0.000E+00, 2.823E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    1, 3.193E+02, 1.118E+01, 4.331E+00, 1.320E+01, 1.903E+00, 9.432E+00, 9.857E+00, 0.000E+00, 4.022E+00, 0.000E+00, 2.685E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    2, 3.191E+02, 1.065E+01, 4.255E+00, 1.349E+01, 1.956E+00, 8.459E+00, 9.422E+00, 0.000E+00, 4.018E+00, 0.000E+00, 2.869E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    3, 3.192E+02, 1.112E+01, 4.288E+00, 1.332E+01, 1.945E+00, 9.352E+00, 9.704E+00, 0.000E+00, 4.028E+00, 0.000E+00, 2.714E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    4, 3.193E+02, 1.059E+01, 4.391E+00, 1.297E+01, 1.890E+00, 8.504E+00, 9.446E+00, 0.000E+00, 3.903E+00, 0.000E+00, 2.908E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    5, 3.191E+02, 1.094E+01, 4.289E+00, 1.323E+01, 1.944E+00, 9.219E+00, 1.089E+01, 0.000E+00, 4.014E+00, 0.000E+00, 2.639E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    6, 3.191E+02, 1.079E+01, 4.311E+00, 1.343E+01, 2.006E+00, 8.375E+00, 9.899E+00, 0.000E+00, 4.028E+00, 0.000E+00, 2.813E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    7, 3.192E+02, 1.100E+01, 4.368E+00, 1.289E+01, 1.885E+00, 9.342E+00, 8.478E+00, 0.000E+00, 3.992E+00, 0.000E+00, 2.887E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    8, 3.193E+02, 1.080E+01, 4.375E+00, 1.320E+01, 1.888E+00, 8.560E+00, 9.683E+00, 0.000E+00, 4.036E+00, 0.000E+00, 2.823E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
    9, 3.193E+02, 1.121E+01, 4.361E+00, 1.299E+01, 1.838E+00, 9.373E+00, 9.932E+00, 0.000E+00, 4.015E+00, 0.000E+00, 2.704E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.001E+02
