s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-2.1337641E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1337641E-017, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.9999193E-017, 7.0002232E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2539551E-015, 5.0003039E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-1.9169995E-017, 1.2430533E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8234391E-015, 1.0513534E-016, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.8628762E-017, 1.6957141E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7663881E-015, 1.5094265E-016, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.8036787E-017, 2.0502533E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7282078E-015, 1.8698854E-016, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-1.7806069E-017, 2.3493784E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7110925E-015, 2.1713177E-016, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-1.7472135E-017, 2.6066884E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6588688E-015, 2.4319670E-016, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-1.7093965E-017, 2.8216716E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6663293E-015, 2.6507319E-016, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-1.6849369E-017, 3.0107948E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6303433E-015, 2.8423011E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.6590895E-017, 3.1757259E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5886521E-015, 3.0098170E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.6488547E-017, 3.3196806E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6163000E-015, 3.1547951E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-1.6313340E-017, 3.4482457E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5926018E-015, 3.2851123E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-1.6160684E-017, 3.5743557E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5816305E-015, 3.4127489E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-1.6009763E-017, 3.6948968E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5513495E-015, 3.5347992E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-1.5789453E-017, 3.8012460E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5535438E-015, 3.6433515E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-1.5204851E-017, 3.9011100E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5285291E-015, 3.7490615E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-1.4592494E-017, 3.9916267E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5395005E-015, 3.8457017E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-1.4193507E-017, 4.0698735E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5298457E-015, 3.9279384E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-1.3704315E-017, 4.1298327E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5188743E-015, 3.9927896E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.3385126E-017, 4.1949836E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4846437E-015, 4.0611323E-016, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000,-1.0720591E-017, 4.1955824E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3361371E-015, 4.0883765E-016, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000,-1.0835083E-017, 4.1708334E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2531347E-015, 4.0624826E-016, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000,-1.1296519E-017, 4.1630669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2688241E-015, 4.0501017E-016, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000,-9.4126096E-018, 4.1185152E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1240368E-015, 4.0243891E-016, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000,-9.7734321E-018, 4.0651010E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0946389E-015, 3.9673667E-016, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000,-9.9642516E-018, 4.0189326E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0756168E-015, 3.9192900E-016, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000,-1.0307727E-017, 3.9885129E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0629353E-015, 3.8854356E-016, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000,-8.3197338E-018, 3.9307274E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9649671E-016, 3.8475301E-016, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000,-8.4481033E-018, 3.8655765E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2055428E-016, 3.7810955E-016, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000,-8.6701479E-018, 3.8187494E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7763030E-016, 3.7320479E-016, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000,-9.0760732E-018, 3.7724611E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4036535E-016, 3.6817004E-016, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000,-9.3328123E-018, 3.7364725E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3442203E-016, 3.6431443E-016, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000,-7.7091111E-018, 3.6838967E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7256515E-016, 3.6068056E-016, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000,-7.9034002E-018, 3.6331173E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9661387E-016, 3.5540833E-016, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000,-7.9485030E-018, 3.5846734E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5152252E-016, 3.5051883E-016, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000,-8.1670781E-018, 3.5447325E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2817782E-016, 3.4630617E-016, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000,-8.2538143E-018, 3.5092648E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9586235E-016, 3.4267266E-016, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000,-8.3370810E-018, 3.4734139E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2517173E-016, 3.3900431E-016, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000,-7.0221606E-018, 3.4356288E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8633505E-016, 3.3654072E-016, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000,-7.2025719E-018, 3.3945502E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0915653E-016, 3.3225245E-016, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000,-7.3205331E-018, 3.3528130E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5844212E-016, 3.2796076E-016, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000,-7.3829831E-018, 3.3190998E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1169225E-016, 3.2452699E-016, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000,-7.4593109E-018, 3.2907759E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1676369E-016, 3.2161828E-016, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000,-7.5633944E-018, 3.2627334E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8464457E-016, 3.1870995E-016, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000,-7.7021722E-018, 3.2420325E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9394221E-016, 3.1650108E-016, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000,-7.7646223E-018, 3.2263436E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2606134E-016, 3.1486974E-016, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000,-6.5433770E-018, 3.1932892E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1108806E-016, 3.1278554E-016, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000,-6.7584827E-018, 3.1575906E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0158436E-016, 3.0900057E-016, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000,-6.8070549E-018, 3.1312521E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2724436E-016, 3.0631816E-016, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000,-6.8764439E-018, 3.1074013E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8637844E-016, 3.0386369E-016, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000,-6.9874662E-018, 3.0818407E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2344287E-016, 3.0119661E-016, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000,-7.0499162E-018, 3.0660832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3959917E-016, 2.9955841E-016, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000,-7.2095108E-018, 3.0427476E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9493177E-016, 2.9706525E-016, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000,-7.2372663E-018, 3.0268790E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1298880E-016, 2.9545064E-016, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000,-7.3552275E-018, 3.0106512E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5955694E-016, 2.9370989E-016, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000,-7.4315554E-018, 2.9995732E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3199621E-016, 2.9252576E-016, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000,-6.5711325E-018, 2.9761596E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4103658E-016, 2.9104482E-016, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000,-6.5780714E-018, 2.9518478E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0668094E-016, 2.8860670E-016, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000,-6.7237882E-018, 2.9330450E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2515488E-016, 2.8658071E-016, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000,-6.8278716E-018, 2.9160986E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0138704E-016, 2.8478199E-016, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000,-7.0082828E-018, 2.8971761E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9974416E-016, 2.8270933E-016, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000,-7.0915496E-018, 2.8796309E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4209536E-016, 2.8087154E-016, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000,-7.1054274E-018, 2.8652594E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8232900E-016, 2.7942051E-016, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000,-7.2442052E-018, 2.8513669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9926948E-016, 2.7789249E-016, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000,-7.3066553E-018, 2.8402110E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1880220E-016, 2.7671444E-016, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000,-7.3968609E-018, 2.8307079E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3680146E-016, 2.7567393E-016, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000,-7.4246165E-018, 2.8214681E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3950311E-016, 2.7472220E-016, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000,-7.4246165E-018, 2.8138812E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1139074E-016, 2.7396351E-016, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000,-7.4384943E-018, 2.8076175E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8550534E-016, 2.7332326E-016, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000,-6.5156214E-018, 2.7880724E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6421827E-016, 2.7229162E-016, 0.0000000E+000, 0.0000000E+000
