s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-1.0946158E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0946158E-020, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.7735968E-020,-3.3383365E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4043334E-017,-3.5156961E-019, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-9.2419081E-021,-1.1610339E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4043334E-017,-1.2534529E-019, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.8637169E-020,-3.6634602E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-3.8498319E-019, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-2.0379828E-020,-5.7734366E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9772349E-019, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-2.4091417E-020,-7.4452672E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-7.6861814E-019, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-1.7733110E-020,-5.3975405E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5748716E-019, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-1.9417502E-020,-4.1997383E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3939134E-019, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-8.6262844E-022, 8.2124906E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1262277E-020, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 4.6065353E-021, 2.2156010E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0216669E-018, 2.2616664E-019, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-4.9086341E-021, 2.6505527E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018, 2.6014663E-019, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-5.5777202E-021, 1.7584239E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7026467E-019, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 1.4308065E-020, 7.0865603E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1065001E-017, 7.2296410E-019, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 7.1493668E-021, 2.0941868E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1065001E-017, 2.1656804E-019, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-1.5327182E-020,-5.9018494E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-7.4345676E-020, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-6.3858466E-021,-2.2619610E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3258194E-019, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-7.4702199E-021,-5.4827843E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-6.2298063E-020, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 8.7131251E-021, 9.3876481E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1065001E-017, 1.0258961E-019, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-5.3011746E-021,-1.9318672E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4619847E-020, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.1355113E-020,-2.1660755E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-2.2796266E-019, 0.0000000E+000, 0.0000000E+000
 8.2487904E-002, 0.0000000E+000, 0.0000000E+000,-1.6929216E-020,-1.6217027E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7909949E-019, 0.0000000E+000, 0.0000000E+000
 8.5918866E-002, 0.0000000E+000, 0.0000000E+000,-1.1855071E-020,-2.5656182E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0897368E-018,-2.6841689E-019, 0.0000000E+000, 0.0000000E+000
 8.9349829E-002, 0.0000000E+000, 0.0000000E+000,-7.9782888E-021,-4.8250275E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9048104E-019, 0.0000000E+000, 0.0000000E+000
 9.2360944E-002, 0.0000000E+000, 0.0000000E+000, 2.1529037E-021,-4.6734569E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6519278E-019, 0.0000000E+000, 0.0000000E+000
 9.5372058E-002, 0.0000000E+000, 0.0000000E+000, 7.2694007E-021,-4.5829579E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5102639E-019, 0.0000000E+000, 0.0000000E+000
 9.8383173E-002, 0.0000000E+000, 0.0000000E+000,-1.0665487E-020,-4.8059293E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9125842E-019, 0.0000000E+000, 0.0000000E+000
 1.0139429E-001, 0.0000000E+000, 0.0000000E+000,-2.0684901E-020,-3.5936442E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8435414E-017,-3.8004932E-019, 0.0000000E+000, 0.0000000E+000
 1.0402230E-001, 0.0000000E+000, 0.0000000E+000,-1.8248917E-020,-4.3463839E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0561407E-017,-4.5288730E-019, 0.0000000E+000, 0.0000000E+000
 1.0665032E-001, 0.0000000E+000, 0.0000000E+000, 7.2145743E-021,-4.3313057E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2591599E-019, 0.0000000E+000, 0.0000000E+000
 1.0927834E-001, 0.0000000E+000, 0.0000000E+000, 1.6160789E-020,-4.2019059E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1122814E-017,-4.0402980E-019, 0.0000000E+000, 0.0000000E+000
 1.1190636E-001, 0.0000000E+000, 0.0000000E+000, 5.0629470E-021,-3.2885536E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2379242E-019, 0.0000000E+000, 0.0000000E+000
 1.1453438E-001, 0.0000000E+000, 0.0000000E+000,-2.1798664E-020,-3.9289210E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1469076E-019, 0.0000000E+000, 0.0000000E+000
 1.1684322E-001, 0.0000000E+000, 0.0000000E+000,-1.8917266E-020,-2.5205597E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7097323E-019, 0.0000000E+000, 0.0000000E+000
 1.1915205E-001, 0.0000000E+000, 0.0000000E+000, 7.4373817E-021,-5.6141320E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2021444E-017, 1.8232497E-021, 0.0000000E+000, 0.0000000E+000
 1.2146089E-001, 0.0000000E+000, 0.0000000E+000, 1.6960553E-020, 1.2025382E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2021444E-017, 2.8985935E-020, 0.0000000E+000, 0.0000000E+000
 1.2376974E-001, 0.0000000E+000, 0.0000000E+000, 8.0282338E-021,-3.5028288E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2021444E-017,-2.7000054E-020, 0.0000000E+000, 0.0000000E+000
 1.2607858E-001, 0.0000000E+000, 0.0000000E+000, 1.0227650E-020, 6.6545241E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6772892E-020, 0.0000000E+000, 0.0000000E+000
 1.2838741E-001, 0.0000000E+000, 0.0000000E+000, 7.5605172E-021, 4.4460632E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2021150E-020, 0.0000000E+000, 0.0000000E+000
 1.3044007E-001, 0.0000000E+000, 0.0000000E+000, 5.8360269E-021,-1.0848171E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3521767E-017,-1.0264568E-019, 0.0000000E+000, 0.0000000E+000
 1.3249274E-001, 0.0000000E+000, 0.0000000E+000, 2.5233920E-020,-1.6836301E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4312909E-019, 0.0000000E+000, 0.0000000E+000
 1.3454539E-001, 0.0000000E+000, 0.0000000E+000, 3.2746859E-021,-1.6397074E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6069606E-019, 0.0000000E+000, 0.0000000E+000
 1.3659805E-001, 0.0000000E+000, 0.0000000E+000, 3.7507239E-021,-3.4156942E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3521767E-017,-3.3781869E-019, 0.0000000E+000, 0.0000000E+000
 1.3865070E-001, 0.0000000E+000, 0.0000000E+000,-2.0877683E-020,-2.3850022E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5937790E-019, 0.0000000E+000, 0.0000000E+000
 1.4070337E-001, 0.0000000E+000, 0.0000000E+000, 2.0114431E-020,-1.0453881E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4424379E-020, 0.0000000E+000, 0.0000000E+000
 1.4275603E-001, 0.0000000E+000, 0.0000000E+000,-1.1262519E-020, 2.0083043E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8205240E-021, 0.0000000E+000, 0.0000000E+000
 1.4480868E-001, 0.0000000E+000, 0.0000000E+000,-9.7796318E-021, 8.5083494E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5303862E-020, 0.0000000E+000, 0.0000000E+000
 1.4663449E-001, 0.0000000E+000, 0.0000000E+000, 5.7517316E-021, 6.4217044E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9968775E-020, 0.0000000E+000, 0.0000000E+000
 1.4846028E-001, 0.0000000E+000, 0.0000000E+000,-9.9148544E-021, 5.9050527E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9135673E-020, 0.0000000E+000, 0.0000000E+000
 1.5028608E-001, 0.0000000E+000, 0.0000000E+000, 1.3885524E-020, 1.0475063E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1863615E-019, 0.0000000E+000, 0.0000000E+000
 1.5211189E-001, 0.0000000E+000, 0.0000000E+000,-2.5213014E-021, 1.4452212E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5201872E-017, 1.4200082E-019, 0.0000000E+000, 0.0000000E+000
 1.5393768E-001, 0.0000000E+000, 0.0000000E+000, 1.1494115E-020, 1.0038812E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1188223E-019, 0.0000000E+000, 0.0000000E+000
 1.5576348E-001, 0.0000000E+000, 0.0000000E+000, 7.4551471E-021,-7.8422024E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5201872E-017,-7.0966877E-020, 0.0000000E+000, 0.0000000E+000
 1.5758929E-001, 0.0000000E+000, 0.0000000E+000,-2.1732126E-020, 2.7431432E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5201872E-017, 5.6993062E-021, 0.0000000E+000, 0.0000000E+000
 1.5941508E-001, 0.0000000E+000, 0.0000000E+000,-2.7253739E-020, 3.6264704E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5201872E-017,-2.3627268E-020, 0.0000000E+000, 0.0000000E+000
 1.6124088E-001, 0.0000000E+000, 0.0000000E+000, 9.4443364E-023,-5.5831387E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5201872E-017,-5.4886954E-021, 0.0000000E+000, 0.0000000E+000
 1.6306669E-001, 0.0000000E+000, 0.0000000E+000, 2.9265206E-020,-1.2001952E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5201872E-017,-9.0754310E-020, 0.0000000E+000, 0.0000000E+000
 1.6470554E-001, 0.0000000E+000, 0.0000000E+000, 8.6932461E-021,-7.4579316E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5886070E-020, 0.0000000E+000, 0.0000000E+000
 1.6634440E-001, 0.0000000E+000, 0.0000000E+000,-4.0788934E-021,-8.8228562E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2307456E-020, 0.0000000E+000, 0.0000000E+000
 1.6798326E-001, 0.0000000E+000, 0.0000000E+000,-2.9659121E-020, 5.5711248E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6935916E-017, 2.6052126E-020, 0.0000000E+000, 0.0000000E+000
 1.6962212E-001, 0.0000000E+000, 0.0000000E+000,-2.2608234E-020, 2.0036910E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5713242E-021, 0.0000000E+000, 0.0000000E+000
 1.7126097E-001, 0.0000000E+000, 0.0000000E+000,-1.3711540E-020, 1.3011078E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6935916E-017, 1.1639924E-019, 0.0000000E+000, 0.0000000E+000
 1.7289983E-001, 0.0000000E+000, 0.0000000E+000,-1.2875264E-020, 1.8635645E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7348118E-019, 0.0000000E+000, 0.0000000E+000
 1.7453869E-001, 0.0000000E+000, 0.0000000E+000, 6.5486951E-021, 1.0371102E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1025972E-019, 0.0000000E+000, 0.0000000E+000
 1.7617755E-001, 0.0000000E+000, 0.0000000E+000, 1.4118180E-022, 1.2479670E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2493788E-019, 0.0000000E+000, 0.0000000E+000
 1.7781641E-001, 0.0000000E+000, 0.0000000E+000, 4.8633605E-021, 9.5275661E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0013902E-019, 0.0000000E+000, 0.0000000E+000
 1.7945527E-001, 0.0000000E+000, 0.0000000E+000,-2.1909250E-020, 1.0625299E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6935916E-017, 8.4343740E-020, 0.0000000E+000, 0.0000000E+000
 1.8109412E-001, 0.0000000E+000, 0.0000000E+000, 1.9367999E-020, 4.7435595E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6803594E-020, 0.0000000E+000, 0.0000000E+000
 1.8273298E-001, 0.0000000E+000, 0.0000000E+000,-2.0772454E-020, 4.6661348E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5888895E-020, 0.0000000E+000, 0.0000000E+000
 1.8437184E-001, 0.0000000E+000, 0.0000000E+000, 2.7041709E-020, 5.9506589E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6548298E-020, 0.0000000E+000, 0.0000000E+000
 1.8584447E-001, 0.0000000E+000, 0.0000000E+000,-1.1565700E-020, 1.2756335E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8847658E-017, 1.1599765E-019, 0.0000000E+000, 0.0000000E+000
