,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T15:00:41.901+01:00,   0.395E-02,   0.00395
      2,2020-02-21T15:00:42.031+01:00,   0.395E-02,   0.00791
      3,2020-02-21T15:00:42.144+01:00,   0.395E-02,   0.01186
      4,2020-02-21T15:00:42.269+01:00,   0.395E-02,   0.01581
      5,2020-02-21T15:00:42.382+01:00,   0.395E-02,   0.01976
      6,2020-02-21T15:00:42.507+01:00,   0.395E-02,   0.02372
      7,2020-02-21T15:00:42.620+01:00,   0.395E-02,   0.02767
      8,2020-02-21T15:00:42.747+01:00,   0.395E-02,   0.03162
      9,2020-02-21T15:00:42.861+01:00,   0.395E-02,   0.03558
     10,2020-02-21T15:00:42.989+01:00,   0.395E-02,   0.03953
     20,2020-02-21T15:00:44.262+01:00,   0.395E-02,   0.07906
     30,2020-02-21T15:00:46.004+01:00,   0.263E-02,   0.10928
     40,2020-02-21T15:00:47.330+01:00,   0.205E-02,   0.13249
     50,2020-02-21T15:00:49.650+01:00,   0.183E-02,   0.15211
     60,2020-02-21T15:00:51.396+01:00,   0.164E-02,   0.16962
     70,2020-02-21T15:00:52.588+01:00,   0.147E-02,   0.18584
     80,2020-02-21T15:00:54.651+01:00,   0.147E-02,   0.20057
     90,2020-02-21T15:00:56.282+01:00,   0.132E-02,   0.21471
    100,2020-02-21T15:00:57.415+01:00,   0.132E-02,   0.22795
    200,2020-02-21T15:01:09.065+01:00,   0.960E-03,   0.33869
    300,2020-02-21T15:01:20.511+01:00,   0.776E-03,   0.42732
    400,2020-02-21T15:01:31.573+01:00,   0.698E-03,   0.50277
    500,2020-02-21T15:01:42.648+01:00,   0.628E-03,   0.57083
    600,2020-02-21T15:01:53.353+01:00,   0.628E-03,   0.63362
    700,2020-02-21T15:02:04.172+01:00,   0.565E-03,   0.69069
    800,2020-02-21T15:02:15.153+01:00,   0.508E-03,   0.74624
    900,2020-02-21T15:02:25.817+01:00,   0.508E-03,   0.79708
   1000,2020-02-21T15:02:36.411+01:00,   0.508E-03,   0.84792
   1100,2020-02-21T15:02:47.261+01:00,   0.457E-03,   0.89500
   1200,2020-02-21T15:03:13.501+01:00,   0.457E-03,   0.94074
   1300,2020-02-21T15:03:24.037+01:00,   0.457E-03,   0.98648
   1400,2020-02-21T15:03:34.577+01:00,   0.412E-03,   1.03118
   1500,2020-02-21T15:03:45.326+01:00,   0.412E-03,   1.07234
   1600,2020-02-21T15:03:56.040+01:00,   0.412E-03,   1.11350
   1700,2020-02-21T15:04:06.547+01:00,   0.412E-03,   1.15467
   1800,2020-02-21T15:04:17.127+01:00,   0.412E-03,   1.19583
   1900,2020-02-21T15:04:27.742+01:00,   0.412E-03,   1.23700
   2000,2020-02-21T15:04:38.256+01:00,   0.370E-03,   1.27408
   2100,2020-02-21T15:04:48.954+01:00,   0.370E-03,   1.31112
   2200,2020-02-21T15:04:59.937+01:00,   0.333E-03,   1.34519
   2300,2020-02-21T15:05:11.057+01:00,   0.299E-03,   1.37697
   2400,2020-02-21T15:05:22.141+01:00,   0.299E-03,   1.40684
   2500,2020-02-21T15:05:33.675+01:00,   0.268E-03,   1.43384
   2600,2020-02-21T15:05:45.276+01:00,   0.268E-03,   1.46062
   2700,2020-02-21T15:05:56.489+01:00,   0.268E-03,   1.48740
   2800,2020-02-21T15:06:07.963+01:00,   0.268E-03,   1.51418
   2900,2020-02-21T15:06:19.385+01:00,   0.241E-03,   1.53884
   3000,2020-02-21T15:06:30.521+01:00,   0.265E-03,   1.56501
   3100,2020-02-21T15:06:41.819+01:00,   0.265E-03,   1.59151
   3200,2020-02-21T15:06:53.475+01:00,   0.265E-03,   1.61801
   3300,2020-02-21T15:07:04.622+01:00,   0.238E-03,   1.64257
   3400,2020-02-21T15:07:15.675+01:00,   0.262E-03,   1.66762
   3500,2020-02-21T15:07:26.806+01:00,   0.262E-03,   1.69383
   3600,2020-02-21T15:07:38.322+01:00,   0.262E-03,   1.72005
   3700,2020-02-21T15:07:49.408+01:00,   0.236E-03,   1.74445
   3800,2020-02-21T15:08:00.802+01:00,   0.260E-03,   1.76908
   3900,2020-02-21T15:08:12.142+01:00,   0.234E-03,   1.79404
   4000,2020-02-21T15:08:23.731+01:00,   0.257E-03,   1.81847
   4100,2020-02-21T15:08:35.310+01:00,   0.257E-03,   1.84416
   4200,2020-02-21T15:08:46.788+01:00,   0.257E-03,   1.86984
   4300,2020-02-21T15:08:58.147+01:00,   0.231E-03,   1.89465
   4400,2020-02-21T15:09:09.812+01:00,   0.254E-03,   1.91872
   4500,2020-02-21T15:09:21.038+01:00,   0.254E-03,   1.94413
   4600,2020-02-21T15:09:32.139+01:00,   0.254E-03,   1.96954
   4700,2020-02-21T15:09:43.313+01:00,   0.254E-03,   1.99496
   4720,2020-02-21T15:09:45.596+01:00,   0.217E-03,   2.00000
