s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-9.5626442E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5626442E-007, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.9111552E-006,-6.7631694E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5108335E-018,-1.9111552E-006, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.8603534E-006, 3.9710738E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7770837E-018,-2.8603534E-006, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.7943258E-006,-8.7565423E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2662502E-018,-3.7943258E-006, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-4.6968180E-006,-5.9002640E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5798751E-017,-4.6968180E-006, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-5.5446542E-006,-5.5663361E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2130002E-017,-5.5446542E-006, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-6.3091348E-006,-1.5886920E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5108335E-017,-6.3091348E-006, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-6.9588766E-006,-2.5622232E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5640835E-017,-6.9588766E-006, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-7.4635597E-006,-1.8057611E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5108335E-017,-7.4635597E-006, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-7.7978285E-006,-2.8277087E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0907085E-017,-7.7978285E-006, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-8.0618757E-006,-2.5026518E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7238336E-017,-8.0618757E-006, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-8.2494961E-006,-5.4882701E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0374585E-017,-8.2494961E-006, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-8.3563138E-006,-1.0235975E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2662502E-017,-8.3563138E-006, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-8.3799836E-006,-7.5899089E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2504587E-017,-8.3799836E-006, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-8.3202759E-006,-1.1492128E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4417919E-017,-8.3202759E-006, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-8.1790440E-006,-1.3962692E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6863751E-017,-8.1790440E-006, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-7.9600804E-006,-1.1158382E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3195002E-017,-7.9600804E-006, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-7.6688774E-006,-1.3509061E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2287917E-017,-7.6688774E-006, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-7.3123109E-006,-1.3790736E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4417919E-017,-7.3123109E-006, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-6.8982737E-006,-1.5288716E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0907085E-017,-6.8982737E-006, 0.0000000E+000, 0.0000000E+000
 8.3009787E-002, 0.0000000E+000, 0.0000000E+000,-6.4352825E-006,-1.7993661E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9151669E-017,-6.4352825E-006, 0.0000000E+000, 0.0000000E+000
 8.6962633E-002, 0.0000000E+000, 0.0000000E+000,-5.9320876E-006,-1.8770169E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7396252E-017,-5.9320876E-006, 0.0000000E+000, 0.0000000E+000
 9.0915486E-002, 0.0000000E+000, 0.0000000E+000,-5.3973067E-006,-2.0519910E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1972086E-017,-5.3973067E-006, 0.0000000E+000, 0.0000000E+000
 9.4318904E-002, 0.0000000E+000, 0.0000000E+000,-4.9040595E-006,-1.8836791E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0969947E-017,-4.9040595E-006, 0.0000000E+000, 0.0000000E+000
 9.7722329E-002, 0.0000000E+000, 0.0000000E+000,-4.3921573E-006,-2.1482681E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4271585E-017,-4.3921573E-006, 0.0000000E+000, 0.0000000E+000
 1.0112575E-001, 0.0000000E+000, 0.0000000E+000,-3.8671721E-006,-2.2456388E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0775958E-018,-3.8671721E-006, 0.0000000E+000, 0.0000000E+000
 1.0404724E-001, 0.0000000E+000, 0.0000000E+000,-3.4035460E-006,-2.0517366E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1376131E-017,-3.4035460E-006, 0.0000000E+000, 0.0000000E+000
 1.0696872E-001, 0.0000000E+000, 0.0000000E+000,-2.9332633E-006,-1.9833604E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1253770E-018,-2.9332633E-006, 0.0000000E+000, 0.0000000E+000
 1.0989021E-001, 0.0000000E+000, 0.0000000E+000,-2.4586599E-006,-1.6429060E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7502513E-018,-2.4586599E-006, 0.0000000E+000, 0.0000000E+000
 1.1246275E-001, 0.0000000E+000, 0.0000000E+000,-2.0358685E-006,-1.7596420E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7762091E-017,-2.0358685E-006, 0.0000000E+000, 0.0000000E+000
 1.1503529E-001, 0.0000000E+000, 0.0000000E+000,-1.6105823E-006,-1.7193386E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6972922E-018,-1.6105823E-006, 0.0000000E+000, 0.0000000E+000
 1.1760783E-001, 0.0000000E+000, 0.0000000E+000,-1.1833517E-006,-1.8824312E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7762091E-017,-1.1833517E-006, 0.0000000E+000, 0.0000000E+000
 1.1991373E-001, 0.0000000E+000, 0.0000000E+000,-7.9735150E-007,-1.9211618E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4073588E-017,-7.9735150E-007, 0.0000000E+000, 0.0000000E+000
 1.2221962E-001, 0.0000000E+000, 0.0000000E+000,-4.1020997E-007,-1.9500088E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8055191E-017,-4.1020997E-007, 0.0000000E+000, 0.0000000E+000
 1.2452552E-001, 0.0000000E+000, 0.0000000E+000,-2.4091385E-008,-2.0219666E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4091385E-008, 0.0000000E+000, 0.0000000E+000
 1.2683141E-001, 0.0000000E+000, 0.0000000E+000, 3.6235346E-007,-2.1242791E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9119580E-017, 3.6235346E-007, 0.0000000E+000, 0.0000000E+000
 1.2887247E-001, 0.0000000E+000, 0.0000000E+000, 7.0559664E-007,-2.1562826E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7992812E-018, 7.0559664E-007, 0.0000000E+000, 0.0000000E+000
 1.3091354E-001, 0.0000000E+000, 0.0000000E+000, 1.0480693E-006,-2.0657866E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0397844E-017, 1.0480693E-006, 0.0000000E+000, 0.0000000E+000
 1.3295461E-001, 0.0000000E+000, 0.0000000E+000, 1.3881753E-006,-2.1276306E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3598562E-017, 1.3881753E-006, 0.0000000E+000, 0.0000000E+000
 1.3499568E-001, 0.0000000E+000, 0.0000000E+000, 1.7239190E-006,-2.0613415E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7992812E-018, 1.7239190E-006, 0.0000000E+000, 0.0000000E+000
 1.3703674E-001, 0.0000000E+000, 0.0000000E+000, 2.0529381E-006,-2.0490756E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7396047E-017, 2.0529381E-006, 0.0000000E+000, 0.0000000E+000
 1.3886148E-001, 0.0000000E+000, 0.0000000E+000, 2.3359019E-006,-2.0245790E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6618914E-017, 2.3359019E-006, 0.0000000E+000, 0.0000000E+000
 1.4068620E-001, 0.0000000E+000, 0.0000000E+000, 2.6069863E-006,-2.0099958E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1408106E-017, 2.6069863E-006, 0.0000000E+000, 0.0000000E+000
 1.4251092E-001, 0.0000000E+000, 0.0000000E+000, 2.8632633E-006,-1.9674698E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8027020E-018, 2.8632633E-006, 0.0000000E+000, 0.0000000E+000
 1.4433566E-001, 0.0000000E+000, 0.0000000E+000, 3.1017464E-006,-1.8305820E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1017464E-006, 0.0000000E+000, 0.0000000E+000
 1.4616038E-001, 0.0000000E+000, 0.0000000E+000, 3.3194887E-006,-1.9348572E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1408106E-017, 3.3194887E-006, 0.0000000E+000, 0.0000000E+000
 1.4798510E-001, 0.0000000E+000, 0.0000000E+000, 3.5136784E-006,-1.8462941E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5210808E-017, 3.5136784E-006, 0.0000000E+000, 0.0000000E+000
 1.4980984E-001, 0.0000000E+000, 0.0000000E+000, 3.6817285E-006,-1.6994048E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1408106E-017, 3.6817285E-006, 0.0000000E+000, 0.0000000E+000
 1.5163456E-001, 0.0000000E+000, 0.0000000E+000, 3.8213575E-006,-1.5750253E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6618914E-017, 3.8213575E-006, 0.0000000E+000, 0.0000000E+000
 1.5327452E-001, 0.0000000E+000, 0.0000000E+000, 3.9084248E-006,-1.6278600E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9084248E-006, 0.0000000E+000, 0.0000000E+000
 1.5491447E-001, 0.0000000E+000, 0.0000000E+000, 3.9644438E-006,-1.6582203E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2311499E-018, 3.9644438E-006, 0.0000000E+000, 0.0000000E+000
 1.5655443E-001, 0.0000000E+000, 0.0000000E+000, 3.9886560E-006,-1.8416650E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6924600E-017, 3.9886560E-006, 0.0000000E+000, 0.0000000E+000
 1.5819438E-001, 0.0000000E+000, 0.0000000E+000, 3.9807596E-006,-1.8154425E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6924600E-017, 3.9807596E-006, 0.0000000E+000, 0.0000000E+000
 1.5983434E-001, 0.0000000E+000, 0.0000000E+000, 3.9409139E-006,-1.7601363E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9409139E-006, 0.0000000E+000, 0.0000000E+000
 1.6147429E-001, 0.0000000E+000, 0.0000000E+000, 3.8697302E-006,-1.7006746E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2693450E-017, 3.8697302E-006, 0.0000000E+000, 0.0000000E+000
 1.6311425E-001, 0.0000000E+000, 0.0000000E+000, 3.7682486E-006,-1.6502276E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4622998E-018, 3.7682486E-006, 0.0000000E+000, 0.0000000E+000
 1.6475420E-001, 0.0000000E+000, 0.0000000E+000, 3.6379036E-006,-1.5968488E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2311499E-018, 3.6379036E-006, 0.0000000E+000, 0.0000000E+000
 1.6639416E-001, 0.0000000E+000, 0.0000000E+000, 3.4804779E-006,-1.5598087E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4804779E-006, 0.0000000E+000, 0.0000000E+000
 1.6803411E-001, 0.0000000E+000, 0.0000000E+000, 3.2980494E-006,-1.5762124E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9618049E-017, 3.2980494E-006, 0.0000000E+000, 0.0000000E+000
 1.6967407E-001, 0.0000000E+000, 0.0000000E+000, 3.0929304E-006,-1.5332668E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2311499E-018, 3.0929304E-006, 0.0000000E+000, 0.0000000E+000
 1.7131402E-001, 0.0000000E+000, 0.0000000E+000, 2.8676044E-006,-1.5188434E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4622998E-018, 2.8676044E-006, 0.0000000E+000, 0.0000000E+000
 1.7295398E-001, 0.0000000E+000, 0.0000000E+000, 2.6246617E-006,-1.4635669E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9618049E-017, 2.6246617E-006, 0.0000000E+000, 0.0000000E+000
 1.7459393E-001, 0.0000000E+000, 0.0000000E+000, 2.3667360E-006,-1.4377167E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3667360E-006, 0.0000000E+000, 0.0000000E+000
 1.7623389E-001, 0.0000000E+000, 0.0000000E+000, 2.0964463E-006,-1.3988263E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0964463E-006, 0.0000000E+000, 0.0000000E+000
 1.7787383E-001, 0.0000000E+000, 0.0000000E+000, 1.8163449E-006,-1.3815062E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8163449E-006, 0.0000000E+000, 0.0000000E+000
 1.7951380E-001, 0.0000000E+000, 0.0000000E+000, 1.5288738E-006,-1.3939968E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2311499E-018, 1.5288738E-006, 0.0000000E+000, 0.0000000E+000
 1.8098691E-001, 0.0000000E+000, 0.0000000E+000, 1.2637811E-006,-1.3234278E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7103281E-018, 1.2637811E-006, 0.0000000E+000, 0.0000000E+000
 1.8246004E-001, 0.0000000E+000, 0.0000000E+000, 9.9516950E-007,-1.3126752E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4206562E-018, 9.9516950E-007, 0.0000000E+000, 0.0000000E+000
 1.8393315E-001, 0.0000000E+000, 0.0000000E+000, 7.2474228E-007,-1.2896566E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2474228E-007, 0.0000000E+000, 0.0000000E+000
 1.8540628E-001, 0.0000000E+000, 0.0000000E+000, 4.5405024E-007,-1.3089096E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5405024E-007, 0.0000000E+000, 0.0000000E+000
