,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:47.423+02:00,   0.395E-02,   0.00395,   1.59722
      2,2020-06-26T16:17:47.471+02:00,   0.395E-02,   0.00791,   1.77898
      3,2020-06-26T16:17:47.516+02:00,   0.395E-02,   0.01186,   1.94638
      4,2020-06-26T16:17:47.553+02:00,   0.395E-02,   0.01581,   2.09342
      5,2020-06-26T16:17:47.597+02:00,   0.395E-02,   0.01976,   2.26137
      6,2020-06-26T16:17:47.703+02:00,   0.395E-02,   0.02372,   2.62864
      7,2020-06-26T16:17:47.753+02:00,   0.395E-02,   0.02767,   2.81713
      8,2020-06-26T16:17:47.790+02:00,   0.395E-02,   0.03162,   2.96554
      9,2020-06-26T16:17:47.835+02:00,   0.395E-02,   0.03558,   3.13344
     10,2020-06-26T16:17:47.882+02:00,   0.395E-02,   0.03953,   3.31181
     20,2020-06-26T16:17:48.281+02:00,   0.395E-02,   0.07906,   4.81919
     30,2020-06-26T16:17:48.692+02:00,   0.257E-02,   0.11246,   6.39087
     40,2020-06-26T16:17:49.117+02:00,   0.204E-02,   0.13500,   7.98485
     50,2020-06-26T16:17:49.820+02:00,   0.164E-02,   0.15327,  10.67478
     60,2020-06-26T16:17:50.383+02:00,   0.164E-02,   0.16967,  12.84782
     70,2020-06-26T16:17:50.948+02:00,   0.147E-02,   0.18541,  14.96238
     80,2020-06-26T16:17:51.349+02:00,   0.147E-02,   0.20014,  16.51503
     90,2020-06-26T16:17:51.937+02:00,   0.147E-02,   0.21487,  18.73303
    100,2020-06-26T16:17:52.365+02:00,   0.132E-02,   0.22856,  20.32864
    200,2020-06-26T16:17:57.696+02:00,   0.957E-03,   0.33850,  41.09104
    300,2020-06-26T16:18:02.495+02:00,   0.774E-03,   0.42738,  59.75284
    400,2020-06-26T16:18:08.052+02:00,   0.697E-03,   0.50257,  80.46105
    500,2020-06-26T16:18:11.957+02:00,   0.627E-03,   0.57079,  95.64274
    600,2020-06-26T16:18:15.438+02:00,   0.627E-03,   0.63348, 109.05434
    700,2020-06-26T16:18:18.317+02:00,   0.564E-03,   0.69076, 120.10592
    800,2020-06-26T16:18:21.445+02:00,   0.507E-03,   0.74653, 132.25798
    900,2020-06-26T16:18:24.096+02:00,   0.507E-03,   0.79727, 142.59316
   1000,2020-06-26T16:18:27.030+02:00,   0.507E-03,   0.84801, 154.14446
   1100,2020-06-26T16:18:29.708+02:00,   0.457E-03,   0.89520, 164.77624
   1200,2020-06-26T16:18:32.459+02:00,   0.457E-03,   0.94086, 175.53293
   1300,2020-06-26T16:18:35.044+02:00,   0.457E-03,   0.98652, 185.78254
   1400,2020-06-26T16:18:37.755+02:00,   0.411E-03,   1.03141, 196.42664
   1500,2020-06-26T16:18:42.360+02:00,   0.411E-03,   1.07251, 214.36409
   1600,2020-06-26T16:18:47.326+02:00,   0.411E-03,   1.11361, 233.99215
   1700,2020-06-26T16:18:52.744+02:00,   0.411E-03,   1.15470, 255.44595
   1800,2020-06-26T16:18:58.109+02:00,   0.411E-03,   1.19580, 276.13602
   1900,2020-06-26T16:19:04.496+02:00,   0.411E-03,   1.23690, 300.96064
   2000,2020-06-26T16:19:10.655+02:00,   0.370E-03,   1.27444, 321.61980
   2100,2020-06-26T16:19:15.863+02:00,   0.370E-03,   1.31142, 340.64315
   2200,2020-06-26T16:19:22.257+02:00,   0.332E-03,   1.34592, 365.62801
   2300,2020-06-26T16:19:28.422+02:00,   0.298E-03,   1.37807, 389.43110
   2400,2020-06-26T16:19:35.623+02:00,   0.298E-03,   1.40790, 412.17523
   2500,2020-06-26T16:19:40.857+02:00,   0.267E-03,   1.43510, 432.99253
   2600,2020-06-26T16:19:46.385+02:00,   0.267E-03,   1.46185, 454.94605
   2700,2020-06-26T16:19:50.835+02:00,   0.267E-03,   1.48859, 472.02960
   2800,2020-06-26T16:19:53.820+02:00,   0.267E-03,   1.51533, 483.50190
   2900,2020-06-26T16:19:56.468+02:00,   0.240E-03,   1.54008, 494.02965
   3000,2020-06-26T16:19:59.056+02:00,   0.265E-03,   1.56605, 504.25914
   3100,2020-06-26T16:20:01.788+02:00,   0.265E-03,   1.59250, 515.08669
   3200,2020-06-26T16:20:06.740+02:00,   0.265E-03,   1.61895, 534.78127
   3300,2020-06-26T16:20:12.017+02:00,   0.238E-03,   1.64365, 555.78918
   3400,2020-06-26T16:20:16.784+02:00,   0.262E-03,   1.66869, 574.68997
