s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2474509E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.7562192E-004, 5.0000000E+000, 1.6665319E+000, 3.2000000E+001, 7.8161480E-009, 4.4724478E-001
 7.9056942E-003, 5.7927390E-002, 4.3583675E-004, 2.0000000E+000, 1.8879751E+000, 3.2000000E+001, 7.6730536E-009, 4.4823065E-001
 1.1858541E-002, 5.7919221E-002, 3.0072739E-004, 1.0000000E+000, 2.0467390E+000, 3.2000000E+001, 8.9874284E-009, 4.5407456E-001
 1.5811388E-002, 5.7909244E-002, 1.4506274E-004, 1.0000000E+000, 2.2221140E+000, 3.2000000E+001, 9.6822189E-009, 4.5946444E-001
 1.9764235E-002, 5.7897460E-002, 7.5295833E-005, 1.0000000E+000, 2.3447760E+000, 3.2000000E+001, 9.1128044E-009, 4.5924901E-001
 2.3717082E-002, 5.7883871E-002, 7.0010863E-005, 1.0000000E+000, 2.5183779E+000, 3.2000000E+001, 5.9948092E-009, 4.5139375E-001
 2.7669930E-002, 5.7868477E-002, 6.8767491E-005, 1.0000000E+000, 2.6803430E+000, 3.2000000E+001, 7.3946999E-009, 4.5270583E-001
 3.1622777E-002, 5.7851282E-002, 7.0539318E-005, 1.0000000E+000, 2.8561109E+000, 3.3000000E+001, 2.2312626E-009, 4.4576305E-001
 3.5575624E-002, 5.7832286E-002, 1.0073213E-004, 1.0000000E+000, 2.9781841E+000, 3.2000000E+001, 6.9353013E-009, 4.4862916E-001
 3.9528471E-002, 5.7811493E-002, 1.3530967E-004, 1.0000000E+000, 3.1528610E+000, 3.2000000E+001, 8.7073237E-009, 4.5003813E-001
 4.3481318E-002, 5.7788905E-002, 1.7188955E-004, 1.0000000E+000, 3.3078121E+000, 3.3000000E+001, 1.4977077E-009, 4.3561538E-001
 4.7434165E-002, 5.7764525E-002, 1.9873762E-004, 1.0000000E+000, 3.4728440E+000, 3.2000000E+001, 8.2876064E-009, 4.4645091E-001
 5.1387012E-002, 5.7738356E-002, 2.1846169E-004, 1.0000000E+000, 3.6060859E+000, 3.2000000E+001, 7.9536613E-009, 4.4476445E-001
 5.5339859E-002, 5.7710402E-002, 2.3567467E-004, 1.0000000E+000, 3.7740592E+000, 3.2000000E+001, 6.7168977E-009, 4.4140055E-001
 5.9292706E-002, 5.7680664E-002, 2.5473573E-004, 1.0000000E+000, 3.9244488E+000, 3.2000000E+001, 4.9005907E-009, 4.3608614E-001
 6.3245553E-002, 5.7649149E-002, 2.7826863E-004, 1.0000000E+000, 4.0941638E+000, 3.2000000E+001, 5.9009862E-009, 4.3763893E-001
 6.7198400E-002, 5.7615858E-002, 2.6390381E-004, 1.0000000E+000, 4.2293490E+000, 3.2000000E+001, 7.0030211E-009, 4.3937229E-001
 7.1151247E-002, 5.7580797E-002, 3.3451777E-004, 1.0000000E+000, 4.4839309E+000, 3.2000000E+001, 7.5808535E-009, 4.3916762E-001
 7.5104094E-002, 5.7543970E-002, 3.3389281E-004, 1.0000000E+000, 4.6510919E+000, 3.2000000E+001, 5.9057285E-009, 4.3502198E-001
 7.9056942E-002, 5.7505381E-002, 3.6040678E-004, 1.0000000E+000, 4.8254350E+000, 3.2000000E+001, 7.0600282E-009, 4.3656661E-001
 8.2493122E-002, 5.7479788E-002, 3.1249465E-004, 1.0000000E+000, 5.0266312E+000, 3.2000000E+001, 8.1661607E-009, 4.3929755E-001
 8.5929302E-002, 5.7443894E-002, 3.5450716E-004, 1.0000000E+000, 5.1509570E+000, 3.2000000E+001, 4.6310031E-009, 4.3083626E-001
 8.9365482E-002, 5.7406679E-002, 3.3146061E-004, 1.0000000E+000, 5.3105181E+000, 3.2000000E+001, 8.5099127E-009, 4.3875263E-001
 9.2381828E-002, 5.7381535E-002, 2.8969787E-004, 1.0000000E+000, 5.5084289E+000, 3.2000000E+001, 4.7611623E-009, 4.3177632E-001
 9.5398174E-002, 5.7347052E-002, 3.1160885E-004, 1.0000000E+000, 5.6524500E+000, 3.2000000E+001, 7.0031730E-009, 4.3650157E-001
 9.8414520E-002, 5.7311557E-002, 3.2625297E-004, 1.0000000E+000, 5.7764071E+000, 3.2000000E+001, 3.7140440E-009, 4.2742206E-001
 1.0143087E-001, 5.7275053E-002, 2.7402460E-004, 1.0000000E+000, 5.9364971E+000, 3.2000000E+001, 6.6013963E-009, 4.3514518E-001
 1.0406190E-001, 5.7251344E-002, 2.3265790E-004, 1.0000000E+000, 6.1297201E+000, 3.2000000E+001, 4.7287414E-009, 4.3185217E-001
 1.0669293E-001, 5.7218144E-002, 2.5202187E-004, 1.0000000E+000, 6.2719730E+000, 3.2000000E+001, 5.5349082E-009, 4.3356134E-001
 1.0932397E-001, 5.7184181E-002, 2.6409230E-004, 1.0000000E+000, 6.3971351E+000, 3.2000000E+001, 4.2043496E-009, 4.2942379E-001
 1.1195500E-001, 5.7149457E-002, 2.6469647E-004, 1.0000000E+000, 6.5701412E+000, 3.2000000E+001, 2.4642600E-009, 4.2208082E-001
 1.1458604E-001, 5.7113974E-002, 2.6379622E-004, 1.0000000E+000, 6.7300590E+000, 3.2000000E+001, 4.2006012E-009, 4.2898533E-001
 1.1689781E-001, 5.7090530E-002, 1.8925178E-004, 1.0000000E+000, 6.9132398E+000, 3.2000000E+001, 6.3018485E-009, 4.3596397E-001
 1.1920959E-001, 5.7058308E-002, 1.9647507E-004, 1.0000000E+000, 7.0377568E+000, 3.2000000E+001, 6.2405342E-009, 4.3574176E-001
 1.2152136E-001, 5.7025504E-002, 2.1125734E-004, 1.0000000E+000, 7.1811041E+000, 3.2000000E+001, 8.3287235E-009, 4.3926136E-001
 1.2383314E-001, 5.6992119E-002, 2.1591191E-004, 1.0000000E+000, 7.3366412E+000, 3.2000000E+001, 8.3895739E-009, 4.3909529E-001
 1.2614491E-001, 5.6958155E-002, 2.1549201E-004, 1.0000000E+000, 7.4839090E+000, 3.2000000E+001, 6.6734031E-009, 4.3582928E-001
 1.2845669E-001, 5.6923612E-002, 2.1621277E-004, 1.0000000E+000, 7.6087278E+000, 3.2000000E+001, 9.0607163E-009, 4.3988481E-001
