s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2414364E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2414364E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 1.2391195E-016,-3.7713851E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1854329E-014, 8.6198098E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 1.2340823E-016,-7.2167684E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1113543E-014, 5.1240544E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 1.2285225E-016,-1.0517245E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1050348E-014, 1.7679794E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 1.2234398E-016,-1.3630149E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0934491E-014,-1.3957517E-017, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 1.2184264E-016,-1.6513160E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0920448E-014,-4.3288963E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 1.2142023E-016,-1.9210813E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1008218E-014,-7.0687894E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 1.2092757E-016,-2.1801877E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0920448E-014,-9.7091195E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 1.2053900E-016,-2.4192937E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0913426E-014,-1.2139038E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 1.2021287E-016,-2.6563039E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0851986E-014,-1.4541752E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 1.1984164E-016,-2.8837331E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0918692E-014,-1.6853167E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 1.1953979E-016,-3.0957454E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0785280E-014,-1.9003475E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 1.1929867E-016,-3.2952699E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0936246E-014,-2.1022832E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 1.1888927E-016,-3.5045824E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0816878E-014,-2.3156897E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 1.1864294E-016,-3.6980316E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0772992E-014,-2.5116021E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 1.1831161E-016,-3.8819270E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0774748E-014,-2.6988109E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 1.1810344E-016,-4.0703735E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0781770E-014,-2.8893391E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 1.1781201E-016,-4.2451670E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0758949E-014,-3.0670469E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 1.1754139E-016,-4.4083436E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0750172E-014,-3.2329296E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 1.1727078E-016,-4.5767118E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0725596E-014,-3.4040040E-016, 0.0000000E+000, 0.0000000E+000
 8.2493119E-002, 0.0000000E+000, 0.0000000E+000, 1.0071458E-016,-4.6950372E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6949599E-015,-3.6878915E-016, 0.0000000E+000, 0.0000000E+000
 8.5929304E-002, 0.0000000E+000, 0.0000000E+000, 1.0063131E-016,-4.7937216E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2870486E-015,-3.7874085E-016, 0.0000000E+000, 0.0000000E+000
 8.9365482E-002, 0.0000000E+000, 0.0000000E+000, 1.0040579E-016,-4.8972564E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1780031E-015,-3.8931984E-016, 0.0000000E+000, 0.0000000E+000
 9.2381828E-002, 0.0000000E+000, 0.0000000E+000, 8.6906177E-017,-4.9746410E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3712667E-015,-4.1055793E-016, 0.0000000E+000, 0.0000000E+000
 9.5398173E-002, 0.0000000E+000, 0.0000000E+000, 8.6864543E-017,-5.0489357E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0630090E-015,-4.1802903E-016, 0.0000000E+000, 0.0000000E+000
 9.8414518E-002, 0.0000000E+000, 0.0000000E+000, 8.6694540E-017,-5.1180387E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1412237E-015,-4.2510933E-016, 0.0000000E+000, 0.0000000E+000
 1.0143086E-001, 0.0000000E+000, 0.0000000E+000, 8.6580049E-017,-5.1926508E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2263396E-015,-4.3268503E-016, 0.0000000E+000, 0.0000000E+000
 1.0406190E-001, 0.0000000E+000, 0.0000000E+000, 7.4312084E-017,-5.2418134E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1919872E-015,-4.4986925E-016, 0.0000000E+000, 0.0000000E+000
 1.0669293E-001, 0.0000000E+000, 0.0000000E+000, 7.4201062E-017,-5.2820536E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8491348E-015,-4.5400430E-016, 0.0000000E+000, 0.0000000E+000
 1.0932397E-001, 0.0000000E+000, 0.0000000E+000, 7.4180245E-017,-5.3234915E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9836384E-015,-4.5816890E-016, 0.0000000E+000, 0.0000000E+000
 1.1195500E-001, 0.0000000E+000, 0.0000000E+000, 7.4051876E-017,-5.3663066E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8412229E-015,-4.6257879E-016, 0.0000000E+000, 0.0000000E+000
 1.1458603E-001, 0.0000000E+000, 0.0000000E+000, 7.3968609E-017,-5.4136035E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9335293E-015,-4.6739174E-016, 0.0000000E+000, 0.0000000E+000
 1.1689781E-001, 0.0000000E+000, 0.0000000E+000, 6.3813538E-017,-5.4491225E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2942353E-015,-4.8109871E-016, 0.0000000E+000, 0.0000000E+000
 1.1920959E-001, 0.0000000E+000, 0.0000000E+000, 6.3792721E-017,-5.4692513E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9910795E-015,-4.8313240E-016, 0.0000000E+000, 0.0000000E+000
 1.2152136E-001, 0.0000000E+000, 0.0000000E+000, 6.3692107E-017,-5.5120072E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0000841E-015,-4.8750861E-016, 0.0000000E+000, 0.0000000E+000
 1.2383314E-001, 0.0000000E+000, 0.0000000E+000, 6.3692107E-017,-5.5313900E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9610641E-015,-4.8944690E-016, 0.0000000E+000, 0.0000000E+000
 1.2614492E-001, 0.0000000E+000, 0.0000000E+000, 6.3584554E-017,-5.5660108E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9640656E-015,-4.9301652E-016, 0.0000000E+000, 0.0000000E+000
 1.2845670E-001, 0.0000000E+000, 0.0000000E+000, 6.3560268E-017,-5.5939660E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0961335E-015,-4.9583633E-016, 0.0000000E+000, 0.0000000E+000
 1.3051111E-001, 0.0000000E+000, 0.0000000E+000, 5.5302984E-017,-5.6199039E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3635505E-015,-5.0668741E-016, 0.0000000E+000, 0.0000000E+000
 1.3256553E-001, 0.0000000E+000, 0.0000000E+000, 5.5254412E-017,-5.6346946E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4513668E-015,-5.0821505E-016, 0.0000000E+000, 0.0000000E+000
 1.3461994E-001, 0.0000000E+000, 0.0000000E+000, 5.5226657E-017,-5.6486470E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1001015E-015,-5.0963804E-016, 0.0000000E+000, 0.0000000E+000
 1.3667436E-001, 0.0000000E+000, 0.0000000E+000, 5.5191962E-017,-5.6688775E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2419587E-015,-5.1169579E-016, 0.0000000E+000, 0.0000000E+000
 1.3872877E-001, 0.0000000E+000, 0.0000000E+000, 5.5150329E-017,-5.6888273E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3128872E-015,-5.1373240E-016, 0.0000000E+000, 0.0000000E+000
 1.4078319E-001, 0.0000000E+000, 0.0000000E+000, 5.5157268E-017,-5.7022913E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2554689E-015,-5.1507186E-016, 0.0000000E+000, 0.0000000E+000
 1.4283760E-001, 0.0000000E+000, 0.0000000E+000, 5.5087879E-017,-5.7252857E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2723566E-015,-5.1744069E-016, 0.0000000E+000, 0.0000000E+000
 1.4489202E-001, 0.0000000E+000, 0.0000000E+000, 5.5025429E-017,-5.7523108E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3095097E-015,-5.2020565E-016, 0.0000000E+000, 0.0000000E+000
 1.4671868E-001, 0.0000000E+000, 0.0000000E+000, 4.7732651E-017,-5.7623017E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8812850E-015,-5.2849752E-016, 0.0000000E+000, 0.0000000E+000
 1.4854535E-001, 0.0000000E+000, 0.0000000E+000, 4.7788162E-017,-5.7700769E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6381704E-015,-5.2921953E-016, 0.0000000E+000, 0.0000000E+000
 1.5037201E-001, 0.0000000E+000, 0.0000000E+000, 4.7781223E-017,-5.7828316E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6001837E-015,-5.3050194E-016, 0.0000000E+000, 0.0000000E+000
 1.5219869E-001, 0.0000000E+000, 0.0000000E+000, 4.7725712E-017,-5.7981013E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6343717E-015,-5.3208442E-016, 0.0000000E+000, 0.0000000E+000
 1.5402535E-001, 0.0000000E+000, 0.0000000E+000, 4.7753468E-017,-5.8067841E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5659957E-015,-5.3292495E-016, 0.0000000E+000, 0.0000000E+000
 1.5585202E-001, 0.0000000E+000, 0.0000000E+000, 4.7711834E-017,-5.8205568E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5356064E-015,-5.3434385E-016, 0.0000000E+000, 0.0000000E+000
 1.5767868E-001, 0.0000000E+000, 0.0000000E+000, 4.7628568E-017,-5.8349882E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7293383E-015,-5.3587025E-016, 0.0000000E+000, 0.0000000E+000
 1.5950535E-001, 0.0000000E+000, 0.0000000E+000, 4.7621629E-017,-5.8484615E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4786264E-015,-5.3722452E-016, 0.0000000E+000, 0.0000000E+000
 1.6133201E-001, 0.0000000E+000, 0.0000000E+000, 4.7559179E-017,-5.8638510E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7141437E-015,-5.3882592E-016, 0.0000000E+000, 0.0000000E+000
 1.6315868E-001, 0.0000000E+000, 0.0000000E+000, 4.7517545E-017,-5.8754860E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5811904E-015,-5.4003106E-016, 0.0000000E+000, 0.0000000E+000
 1.6479789E-001, 0.0000000E+000, 0.0000000E+000, 4.1550097E-017,-5.8851688E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1949916E-015,-5.4696678E-016, 0.0000000E+000, 0.0000000E+000
 1.6643709E-001, 0.0000000E+000, 0.0000000E+000, 4.1494586E-017,-5.8930132E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2457887E-015,-5.4780674E-016, 0.0000000E+000, 0.0000000E+000
 1.6807629E-001, 0.0000000E+000, 0.0000000E+000, 4.1501524E-017,-5.9013367E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8351790E-015,-5.4863215E-016, 0.0000000E+000, 0.0000000E+000
 1.6971549E-001, 0.0000000E+000, 0.0000000E+000, 4.1508463E-017,-5.9091213E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1907585E-015,-5.4940366E-016, 0.0000000E+000, 0.0000000E+000
 1.7135470E-001, 0.0000000E+000, 0.0000000E+000, 4.1466830E-017,-5.9162652E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0552996E-015,-5.5015969E-016, 0.0000000E+000, 0.0000000E+000
 1.7299390E-001, 0.0000000E+000, 0.0000000E+000, 4.1494586E-017,-5.9315443E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0087357E-015,-5.5165984E-016, 0.0000000E+000, 0.0000000E+000
 1.7463310E-001, 0.0000000E+000, 0.0000000E+000, 4.1501524E-017,-5.9391817E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0129688E-015,-5.5241664E-016, 0.0000000E+000, 0.0000000E+000
 1.7627230E-001, 0.0000000E+000, 0.0000000E+000, 4.1452952E-017,-5.9481639E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1780592E-015,-5.5336344E-016, 0.0000000E+000, 0.0000000E+000
 1.7791151E-001, 0.0000000E+000, 0.0000000E+000, 4.1452952E-017,-5.9577449E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0256680E-015,-5.5432154E-016, 0.0000000E+000, 0.0000000E+000
 1.7955071E-001, 0.0000000E+000, 0.0000000E+000, 4.1411319E-017,-5.9718170E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0129688E-015,-5.5577038E-016, 0.0000000E+000, 0.0000000E+000
 1.8118991E-001, 0.0000000E+000, 0.0000000E+000, 4.1418258E-017,-5.9818951E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1018636E-015,-5.5677125E-016, 0.0000000E+000, 0.0000000E+000
 1.8282913E-001, 0.0000000E+000, 0.0000000E+000, 4.1307235E-017,-5.9922964E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1357283E-015,-5.5792241E-016, 0.0000000E+000, 0.0000000E+000
 1.8446833E-001, 0.0000000E+000, 0.0000000E+000, 4.1279480E-017,-6.0016379E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0806982E-015,-5.5888431E-016, 0.0000000E+000, 0.0000000E+000
 1.8594106E-001, 0.0000000E+000, 0.0000000E+000, 3.5860204E-017,-6.0078655E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7268629E-015,-5.6492635E-016, 0.0000000E+000, 0.0000000E+000
