,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:47.171+02:00,   0.395E-02,   0.00395,   2.47283
      2,2020-06-26T16:17:47.327+02:00,   0.395E-02,   0.00791,   3.08383
      3,2020-06-26T16:17:47.431+02:00,   0.395E-02,   0.01186,   3.48449
      4,2020-06-26T16:17:47.521+02:00,   0.395E-02,   0.01581,   3.84305
      5,2020-06-26T16:17:47.614+02:00,   0.395E-02,   0.01976,   4.20598
      6,2020-06-26T16:17:47.747+02:00,   0.395E-02,   0.02372,   4.70121
      7,2020-06-26T16:17:47.839+02:00,   0.395E-02,   0.02767,   5.05845
      8,2020-06-26T16:17:47.925+02:00,   0.395E-02,   0.03162,   5.40181
      9,2020-06-26T16:17:48.017+02:00,   0.395E-02,   0.03558,   5.76391
     10,2020-06-26T16:17:48.118+02:00,   0.395E-02,   0.03953,   6.15509
     20,2020-06-26T16:17:49.345+02:00,   0.395E-02,   0.07906,  10.93105
     30,2020-06-26T16:17:50.489+02:00,   0.263E-02,   0.10926,  15.39852
     40,2020-06-26T16:17:51.575+02:00,   0.205E-02,   0.13247,  19.60824
     50,2020-06-26T16:17:52.574+02:00,   0.183E-02,   0.15208,  23.54352
     60,2020-06-26T16:17:53.973+02:00,   0.164E-02,   0.16959,  28.90474
     70,2020-06-26T16:17:55.083+02:00,   0.147E-02,   0.18581,  33.25105
     80,2020-06-26T16:17:56.181+02:00,   0.147E-02,   0.20053,  37.50394
     90,2020-06-26T16:17:57.022+02:00,   0.132E-02,   0.21467,  40.80666
    100,2020-06-26T16:17:57.952+02:00,   0.132E-02,   0.22791,  44.46908
    200,2020-06-26T16:18:07.883+02:00,   0.960E-03,   0.33864,  83.40299
    300,2020-06-26T16:18:16.037+02:00,   0.776E-03,   0.42728, 115.19414
    400,2020-06-26T16:18:23.168+02:00,   0.698E-03,   0.50272, 143.35188
    500,2020-06-26T16:18:30.299+02:00,   0.628E-03,   0.57079, 171.40260
    600,2020-06-26T16:18:37.011+02:00,   0.628E-03,   0.63358, 197.89579
    700,2020-06-26T16:18:43.536+02:00,   0.565E-03,   0.69065, 223.31395
    800,2020-06-26T16:18:49.400+02:00,   0.508E-03,   0.74620, 246.50770
    900,2020-06-26T16:18:55.059+02:00,   0.508E-03,   0.79704, 268.94126
   1000,2020-06-26T16:19:00.644+02:00,   0.508E-03,   0.84788, 291.03413
   1100,2020-06-26T16:19:05.955+02:00,   0.457E-03,   0.89496, 312.11169
   1200,2020-06-26T16:19:11.165+02:00,   0.457E-03,   0.94070, 332.78611
   1300,2020-06-26T16:19:16.415+02:00,   0.457E-03,   0.98645, 353.45387
   1400,2020-06-26T16:19:21.564+02:00,   0.412E-03,   1.03114, 373.87731
   1500,2020-06-26T16:19:26.330+02:00,   0.412E-03,   1.07230, 392.80732
   1600,2020-06-26T16:19:31.038+02:00,   0.412E-03,   1.11347, 411.52831
   1700,2020-06-26T16:19:36.015+02:00,   0.412E-03,   1.15463, 431.27959
   1800,2020-06-26T16:19:41.195+02:00,   0.412E-03,   1.19580, 451.83602
   1900,2020-06-26T16:19:46.947+02:00,   0.412E-03,   1.23697, 474.60556
   2000,2020-06-26T16:19:53.239+02:00,   0.370E-03,   1.27402, 499.60252
   2100,2020-06-26T16:19:59.881+02:00,   0.370E-03,   1.31099, 526.07359
   2200,2020-06-26T16:20:07.629+02:00,   0.332E-03,   1.34506, 556.91058
   2300,2020-06-26T16:20:16.743+02:00,   0.298E-03,   1.37683, 593.21575
   2400,2020-06-26T16:20:27.183+02:00,   0.298E-03,   1.40662, 634.08955
   2500,2020-06-26T16:20:38.829+02:00,   0.268E-03,   1.43364, 680.34010
   2600,2020-06-26T16:20:49.904+02:00,   0.268E-03,   1.46041, 724.33098
   2700,2020-06-26T16:21:01.285+02:00,   0.268E-03,   1.48719, 769.43307
   2800,2020-06-26T16:21:13.623+02:00,   0.268E-03,   1.51396, 818.41331
   2900,2020-06-26T16:21:24.460+02:00,   0.241E-03,   1.53865, 861.47555
   3000,2020-06-26T16:21:35.218+02:00,   0.265E-03,   1.56476, 904.28749
   3100,2020-06-26T16:21:46.305+02:00,   0.265E-03,   1.59123, 948.33870
   3200,2020-06-26T16:21:58.979+02:00,   0.265E-03,   1.61770, 998.65338
   3300,2020-06-26T16:22:09.831+02:00,   0.238E-03,   1.64228,1041.86213
   3400,2020-06-26T16:22:20.375+02:00,   0.262E-03,   1.66729,1083.77372
