s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6905000E+000
 3.9528471E-003, 5.7295470E-002, 9.9511205E-006, 5.3400000E+002, 4.3183441E+000
 7.9056942E-003, 5.7687411E-002, 9.9853173E-006, 9.1000000E+001, 4.8952160E+000
 1.1858541E-002, 5.7830784E-002, 9.9929549E-006, 5.9000000E+001, 5.5215731E+000
 1.5811388E-002, 5.7882302E-002, 9.9803458E-006, 3.6000000E+001, 5.8579769E+000
 1.9764235E-002, 5.7898636E-002, 9.9956983E-006, 2.3000000E+001, 6.1231532E+000
 2.3717082E-002, 5.7899533E-002, 9.9783273E-006, 1.8000000E+001, 6.3806610E+000
 2.7669930E-002, 5.7890465E-002, 9.9580727E-006, 1.5000000E+001, 6.6095238E+000
 3.1622777E-002, 5.7873997E-002, 9.9606686E-006, 1.3000000E+001, 6.8391242E+000
 3.5575624E-002, 5.7853477E-002, 9.9526026E-006, 1.2000000E+001, 7.0532012E+000
 3.9528471E-002, 5.7828742E-002, 9.9762250E-006, 1.1000000E+001, 7.3902111E+000
 4.3481318E-002, 5.7800983E-002, 9.9913835E-006, 1.1000000E+001, 7.6068368E+000
 4.7434165E-002, 5.7771441E-002, 9.9429756E-006, 1.2000000E+001, 7.8560877E+000
 5.1387012E-002, 5.7739410E-002, 9.9766051E-006, 1.1000000E+001, 8.0628729E+000
 5.5339859E-002, 5.7705985E-002, 9.9918983E-006, 1.2000000E+001, 8.2911511E+000
 5.9292706E-002, 5.7672433E-002, 9.9758943E-006, 1.3000000E+001, 8.5151377E+000
 6.3245553E-002, 5.7637613E-002, 9.9598255E-006, 1.4000000E+001, 8.7656899E+000
 6.7198400E-002, 5.7601522E-002, 9.9963581E-006, 1.4000000E+001, 8.9869366E+000
 7.1151247E-002, 5.7566498E-002, 9.9737481E-006, 1.6000000E+001, 9.2359448E+000
 7.5104094E-002, 5.7529805E-002, 9.9941549E-006, 1.6000000E+001, 9.4744826E+000
 7.9056942E-002, 5.7491408E-002, 9.9709116E-006, 1.8000000E+001, 9.7372799E+000
 8.2486444E-002, 5.7467448E-002, 9.9848617E-006, 1.4000000E+001, 1.0017154E+001
 8.5915947E-002, 5.7432107E-002, 9.9914001E-006, 1.5000000E+001, 1.0226309E+001
 8.9345449E-002, 5.7396163E-002, 9.9632179E-006, 1.6000000E+001, 1.0464063E+001
 9.2356107E-002, 5.7371498E-002, 9.9942611E-006, 1.2000000E+001, 1.0739854E+001
 9.5366765E-002, 5.7339203E-002, 9.9620968E-006, 1.4000000E+001, 1.0962235E+001
 9.8377422E-002, 5.7303418E-002, 9.9756801E-006, 1.3000000E+001, 1.1196396E+001
 1.0138808E-001, 5.7267389E-002, 9.9623732E-006, 1.4000000E+001, 1.1453980E+001
 1.0401580E-001, 5.7243732E-002, 9.9679270E-006, 1.1000000E+001, 1.1813756E+001
 1.0664351E-001, 5.7212009E-002, 9.9577001E-006, 1.2000000E+001, 1.2035224E+001
 1.0927123E-001, 5.7178779E-002, 9.9840957E-006, 1.1000000E+001, 1.2387526E+001
 1.1189895E-001, 5.7145591E-002, 9.9759925E-006, 1.2000000E+001, 1.2617839E+001
 1.1452667E-001, 5.7108692E-002, 9.9825355E-006, 1.2000000E+001, 1.3181895E+001
 1.1683549E-001, 5.7085869E-002, 9.9808099E-006, 1.0000000E+001, 1.3483231E+001
 1.1914431E-001, 5.7056630E-002, 9.9970461E-006, 1.0000000E+001, 1.3711808E+001
 1.2145313E-001, 5.7023816E-002, 9.9733968E-006, 1.1000000E+001, 1.3916965E+001
 1.2376194E-001, 5.6989752E-002, 9.9972033E-006, 1.0000000E+001, 1.4133990E+001
 1.2607076E-001, 5.6956246E-002, 9.9888277E-006, 1.1000000E+001, 1.4340509E+001
 1.2837958E-001, 5.6921220E-002, 9.9812976E-006, 1.1000000E+001, 1.4563662E+001
 1.3043229E-001, 5.6897928E-002, 9.9813037E-006, 9.0000000E+000, 1.4806843E+001
 1.3248500E-001, 5.6867587E-002, 9.9641361E-006, 1.0000000E+001, 1.5028728E+001
 1.3453771E-001, 5.6836205E-002, 9.9776804E-006, 9.0000000E+000, 1.5232053E+001
 1.3659041E-001, 5.6803536E-002, 9.9646984E-006, 1.0000000E+001, 1.5488347E+001
 1.3864312E-001, 5.6769780E-002, 9.9920802E-006, 9.0000000E+000, 1.5791214E+001
 1.4069583E-001, 5.6736999E-002, 9.9854922E-006, 1.0000000E+001, 1.6268848E+001
 1.4274854E-001, 5.6700920E-002, 9.9832222E-006, 1.0000000E+001, 1.6527140E+001
 1.4480124E-001, 5.6666170E-002, 9.9883593E-006, 1.0000000E+001, 1.6788734E+001
 1.4662679E-001, 5.6641262E-002, 9.9618836E-006, 9.0000000E+000, 1.7029505E+001
 1.4845234E-001, 5.6611856E-002, 9.9921946E-006, 8.0000000E+000, 1.7237265E+001
 1.5027789E-001, 5.6581444E-002, 9.9881377E-006, 9.0000000E+000, 1.7435246E+001
 1.5210343E-001, 5.6550200E-002, 9.9627088E-006, 9.0000000E+000, 1.7648109E+001
 1.5392898E-001, 5.6515717E-002, 9.9607955E-006, 9.0000000E+000, 1.7847067E+001
 1.5575453E-001, 5.6482986E-002, 9.9557313E-006, 9.0000000E+000, 1.8015396E+001
 1.5758008E-001, 5.6449298E-002, 9.9578780E-006, 9.0000000E+000, 1.8213057E+001
 1.5940562E-001, 5.6414855E-002, 9.9677107E-006, 9.0000000E+000, 1.8422997E+001
 1.6123117E-001, 5.6382036E-002, 9.9735757E-006, 9.0000000E+000, 1.8619017E+001
 1.6305672E-001, 5.6345974E-002, 9.9987749E-006, 9.0000000E+000, 1.8830835E+001
 1.6469529E-001, 5.6322102E-002, 9.9856735E-006, 8.0000000E+000, 1.9067642E+001
 1.6633387E-001, 5.6293135E-002, 9.9864620E-006, 8.0000000E+000, 1.9468853E+001
 1.6797244E-001, 5.6263512E-002, 9.9837740E-006, 8.0000000E+000, 1.9686592E+001
 1.6961102E-001, 5.6233134E-002, 9.9811818E-006, 8.0000000E+000, 1.9850994E+001
 1.7124959E-001, 5.6199456E-002, 9.9949812E-006, 8.0000000E+000, 2.0024260E+001
 1.7288816E-001, 5.6167961E-002, 9.9518792E-006, 9.0000000E+000, 2.0318249E+001
 1.7452674E-001, 5.6133185E-002, 9.9586971E-006, 8.0000000E+000, 2.0664598E+001
 1.7616531E-001, 5.6100556E-002, 9.9831815E-006, 8.0000000E+000, 2.1265844E+001
 1.7780389E-001, 5.6067161E-002, 9.9593473E-006, 9.0000000E+000, 2.1487827E+001
 1.7944246E-001, 5.6033343E-002, 9.9706115E-006, 8.0000000E+000, 2.1654280E+001
 1.8108104E-001, 5.6001435E-002, 9.9510488E-006, 9.0000000E+000, 2.1856243E+001
 1.8271961E-001, 5.5966240E-002, 9.9753371E-006, 8.0000000E+000, 2.2064877E+001
 1.8435819E-001, 5.5933143E-002, 9.9670101E-006, 9.0000000E+000, 2.2265327E+001
 1.8583062E-001, 5.5907313E-002, 9.9679397E-006, 7.0000000E+000, 2.2509394E+001
 1.8730306E-001, 5.5878750E-002, 9.9549491E-006, 8.0000000E+000, 2.2659119E+001
 1.8877549E-001, 5.5846866E-002, 9.9680796E-006, 7.0000000E+000, 2.2873234E+001
 1.9024793E-001, 5.5817482E-002, 9.9950341E-006, 7.0000000E+000, 2.3294518E+001
 1.9172036E-001, 5.5787297E-002, 9.9712191E-006, 8.0000000E+000, 2.3527237E+001
 1.9319280E-001, 5.5753849E-002, 9.9831878E-006, 7.0000000E+000, 2.3671803E+001
 1.9466523E-001, 5.5722912E-002, 9.9692975E-006, 8.0000000E+000, 2.3881302E+001
 1.9613767E-001, 5.5691325E-002, 9.9765279E-006, 7.0000000E+000, 2.4078697E+001
 1.9761010E-001, 5.5659094E-002, 9.9699686E-006, 8.0000000E+000, 2.4280390E+001
 1.9908254E-001, 5.5626457E-002, 9.9844399E-006, 7.0000000E+000, 2.4439146E+001
 2.0055497E-001, 5.5593260E-002, 9.9854757E-006, 8.0000000E+000, 2.4654882E+001
 2.0202741E-001, 5.5559732E-002, 9.9619715E-006, 8.0000000E+000, 2.4855602E+001
 2.0349984E-001, 5.5525821E-002, 9.9947039E-006, 7.0000000E+000, 2.5068916E+001
 2.0497228E-001, 5.5494126E-002, 9.9984620E-006, 8.0000000E+000, 2.5220060E+001
 2.0644471E-001, 5.5459088E-002, 9.9868057E-006, 8.0000000E+000, 2.5434399E+001
 2.0791715E-001, 5.5423915E-002, 9.9859350E-006, 8.0000000E+000, 2.5631111E+001
 2.0938958E-001, 5.5391191E-002, 9.9789882E-006, 8.0000000E+000, 2.5796347E+001
 2.1071431E-001, 5.5365587E-002, 9.9599554E-006, 7.0000000E+000, 2.6029087E+001
 2.1203903E-001, 5.5337073E-002, 9.9881903E-006, 6.0000000E+000, 2.6194525E+001
 2.1336375E-001, 5.5307968E-002, 9.9543224E-006, 8.0000000E+000, 2.6575560E+001
 2.1468847E-001, 5.5272359E-002, 9.9434745E-006, 3.0000000E+000, 2.6738817E+001
 2.1601319E-001, 5.5248425E-002, 9.9917747E-006, 1.0000000E+001, 2.7272005E+001
 2.1733791E-001, 5.5205310E-002, 9.9245129E-006, 3.0000000E+000, 2.7465729E+001
 2.1866263E-001, 5.5182621E-002, 9.9602937E-006, 1.0000000E+001, 2.7620121E+001
 2.1998736E-001, 5.5142682E-002, 9.8930093E-006, 3.0000000E+000, 2.7805006E+001
 2.2131208E-001, 5.5116025E-002, 9.9687319E-006, 1.0000000E+001, 2.7957029E+001
 2.2263680E-001, 5.5079080E-002, 9.8978152E-006, 3.0000000E+000, 2.8143103E+001
 2.2396152E-001, 5.5054614E-002, 9.9736009E-006, 1.0000000E+001, 2.8337898E+001
 2.2528624E-001, 5.5013374E-002, 9.9285876E-006, 3.0000000E+000, 2.8480949E+001
 2.2661096E-001, 5.4988726E-002, 9.9650442E-006, 1.1000000E+001, 2.8679644E+001
 2.2793569E-001, 5.4947019E-002, 9.9004890E-006, 3.0000000E+000, 2.8863594E+001
 2.2926041E-001, 5.4922035E-002, 9.9508689E-006, 1.1000000E+001, 2.9021505E+001
 2.3058513E-001, 5.4883187E-002, 9.8771344E-006, 3.0000000E+000, 2.9219910E+001
 2.3190985E-001, 5.4857115E-002, 9.9894324E-006, 1.0000000E+001, 2.9416548E+001
 2.3323457E-001, 5.4817471E-002, 9.9452143E-006, 3.0000000E+000, 2.9562035E+001
 2.3455929E-001, 5.4793758E-002, 9.9944886E-006, 1.1000000E+001, 2.9761589E+001
 2.3588401E-001, 5.4753270E-002, 9.9222104E-006, 3.0000000E+000, 2.9947937E+001
 2.3720874E-001, 5.4725779E-002, 9.9900590E-006, 1.1000000E+001, 3.0104242E+001
 2.3853346E-001, 5.4684765E-002, 9.9245778E-006, 3.0000000E+000, 3.0290976E+001
 2.3985818E-001, 5.4659707E-002, 9.9875462E-006, 1.1000000E+001, 3.0491365E+001
 2.4104847E-001, 5.4629003E-002, 9.8876960E-006, 3.0000000E+000, 3.0672833E+001
 2.4223875E-001, 5.4605502E-002, 9.9655835E-006, 9.0000000E+000, 3.1247370E+001
 2.4342904E-001, 5.4566674E-002, 9.9196478E-006, 3.0000000E+000, 3.1652803E+001
 2.4461933E-001, 5.4546244E-002, 9.9783502E-006, 9.0000000E+000, 3.1814812E+001
 2.4580962E-001, 5.4506518E-002, 9.9138870E-006, 3.0000000E+000, 3.2436687E+001
 2.4699991E-001, 5.4481949E-002, 9.9775592E-006, 9.0000000E+000, 3.2592861E+001
 2.4819019E-001, 5.4441861E-002, 9.9123917E-006, 3.0000000E+000, 3.2783550E+001
 2.4938048E-001, 5.4416812E-002, 9.9758216E-006, 9.0000000E+000, 3.2973885E+001
 2.5057077E-001, 5.4376204E-002, 9.9096762E-006, 3.0000000E+000, 3.3114838E+001
 2.5176106E-001, 5.4350713E-002, 9.9753791E-006, 9.0000000E+000, 3.3302330E+001
 2.5295135E-001, 5.4309650E-002, 9.9096257E-006, 3.0000000E+000, 3.3443520E+001
 2.5414163E-001, 5.4287237E-002, 9.9642272E-006, 9.0000000E+000, 3.3646866E+001
 2.5533192E-001, 5.4245432E-002, 9.8963328E-006, 3.0000000E+000, 3.3799320E+001
 2.5652221E-001, 5.4219020E-002, 9.9698282E-006, 9.0000000E+000, 3.3947598E+001
 2.5771250E-001, 5.4177025E-002, 9.9068551E-006, 3.0000000E+000, 3.4160248E+001
 2.5890279E-001, 5.4153880E-002, 9.9699162E-006, 9.0000000E+000, 3.4327560E+001
 2.6009307E-001, 5.4111218E-002, 9.9075982E-006, 3.0000000E+000, 3.4647804E+001
 2.6128336E-001, 5.4087617E-002, 9.9766376E-006, 9.0000000E+000, 3.4952320E+001
 2.6247365E-001, 5.4044500E-002, 9.9166034E-006, 3.0000000E+000, 3.5094440E+001
 2.6366394E-001, 5.4020549E-002, 9.9901437E-006, 9.0000000E+000, 3.5352100E+001
 2.6485423E-001, 5.3977012E-002, 9.9335063E-006, 3.0000000E+000, 3.5492600E+001
 2.6604451E-001, 5.3952756E-002, 9.9622490E-006, 1.0000000E+001, 3.5712513E+001
 2.6723480E-001, 5.3908862E-002, 9.8808588E-006, 3.0000000E+000, 3.5896259E+001
 2.6842509E-001, 5.3884351E-002, 9.9673351E-006, 9.0000000E+000, 3.6046761E+001
 2.6961538E-001, 5.3839980E-002, 9.9194184E-006, 3.0000000E+000, 3.6229271E+001
 2.7080566E-001, 5.3815057E-002, 9.9621617E-006, 1.0000000E+001, 3.6382477E+001
 2.7318624E-001, 5.3757863E-002, 9.9340265E-006, 6.0000000E+000, 3.6642645E+001
 2.7437653E-001, 5.3704159E-002, 9.9210036E-006, 3.0000000E+000, 3.6910744E+001
 2.7675710E-001, 5.3657244E-002, 9.9280285E-006, 6.5000000E+000, 3.7173050E+001
 2.7889306E-001, 5.3601654E-002, 9.9390886E-006, 5.5000000E+000, 3.7540819E+001
 2.8102902E-001, 5.3542677E-002, 9.9692575E-006, 5.0000000E+000, 3.7866226E+001
 2.8209699E-001, 5.3502121E-002, 9.9888715E-006, 8.0000000E+000, 3.8129913E+001
 2.8423295E-001, 5.3446376E-002, 9.9513330E-006, 5.5000000E+000, 3.8702282E+001
 2.8636891E-001, 5.3383371E-002, 9.9352166E-006, 5.0000000E+000, 3.9497908E+001
 2.8850486E-001, 5.3318993E-002, 9.9592014E-006, 5.5000000E+000, 4.0164984E+001
 2.9064082E-001, 5.3253971E-002, 9.9421385E-006, 5.0000000E+000, 4.0509577E+001
 2.9277677E-001, 5.3188253E-002, 9.9690005E-006, 5.5000000E+000, 4.0829447E+001
 2.9491273E-001, 5.3122040E-002, 9.9366178E-006, 5.5000000E+000, 4.1163826E+001
 2.9704869E-001, 5.3055355E-002, 9.9377250E-006, 5.0000000E+000, 4.1485250E+001
 2.9811666E-001, 5.3004679E-002, 9.9329759E-006, 3.0000000E+000, 4.1730278E+001
 3.0025262E-001, 5.2957611E-002, 9.9551017E-006, 5.5000000E+000, 4.1978489E+001
 3.0238858E-001, 5.2889382E-002, 9.9425137E-006, 5.5000000E+000, 4.2308632E+001
 3.0452453E-001, 5.2820769E-002, 9.9415034E-006, 5.5000000E+000, 4.2633219E+001
 3.0666049E-001, 5.2755611E-002, 9.9289275E-006, 5.5000000E+000, 4.2968214E+001
 3.0879644E-001, 5.2685675E-002, 9.9359073E-006, 5.5000000E+000, 4.3292843E+001
 3.1093240E-001, 5.2619497E-002, 9.9305268E-006, 5.5000000E+000, 4.3630255E+001
 3.1200038E-001, 5.2570930E-002, 9.9751497E-006, 8.0000000E+000, 4.3888161E+001
 3.1413633E-001, 5.2517177E-002, 9.9339480E-006, 5.5000000E+000, 4.4140938E+001
 3.1627229E-001, 5.2449317E-002, 9.9365197E-006, 5.5000000E+000, 4.5021667E+001
 3.1840825E-001, 5.2380729E-002, 9.9415944E-006, 5.5000000E+000, 4.5364016E+001
 3.2043592E-001, 5.2317835E-002, 9.9415188E-006, 4.8931960E+000, 4.5870251E+001
 3.2235531E-001, 5.2249852E-002, 9.9840519E-006, 4.5000000E+000, 4.6558323E+001
 3.2427470E-001, 5.2182186E-002, 9.9254468E-006, 4.5000000E+000, 4.7152494E+001
 3.2619410E-001, 5.2135837E-002, 9.9560563E-006, 5.0000000E+000, 4.7498392E+001
