s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-1.3752531E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3752531E-008, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.8946545E-008,-8.9223140E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2118251E-016,-1.8946545E-008, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.0869753E-008,-1.0958278E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1936834E-016,-2.0869753E-008, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-2.1443687E-008,-1.3233768E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6705836E-017,-2.1443687E-008, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-2.1405379E-008,-8.0839758E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5798751E-017,-2.1405379E-008, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-2.1046831E-008,-6.0480115E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5108335E-017,-2.1046831E-008, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.0539751E-008,-4.2515724E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1065001E-017,-2.0539751E-008, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-1.9999320E-008,-4.7306229E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9309584E-017,-1.9999320E-008, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-1.9483965E-008,-5.5090798E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5798751E-017,-1.9483965E-008, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.9050248E-008,-5.1497920E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9842084E-017,-1.9050248E-008, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.8718991E-008,-6.5270619E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-1.8718991E-008, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-1.8479803E-008,-5.6288424E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-1.8479803E-008, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-1.8373840E-008,-5.9881302E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8086668E-017,-1.8373840E-008, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-1.8375553E-008,-7.1857563E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5108335E-018,-1.8375553E-008, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-1.8457133E-008,-7.7845693E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4043334E-017,-1.8457133E-008, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-1.8603165E-008, 3.5928781E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2820418E-017,-1.8603165E-008, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-1.8820397E-008, 5.3893172E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7928752E-017,-1.8820397E-008, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-1.9040426E-008, 2.2156082E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6863751E-017,-1.9040426E-008, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-1.9281966E-008, 4.5509790E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8619168E-017,-1.9281966E-008, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.9504312E-008, 8.0839758E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9842084E-017,-1.9504312E-008, 0.0000000E+000, 0.0000000E+000
 8.2486443E-002, 0.0000000E+000, 0.0000000E+000,-1.9678965E-008, 3.7126407E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1832914E-033,-1.9678965E-008, 0.0000000E+000, 0.0000000E+000
 8.5915945E-002, 0.0000000E+000, 0.0000000E+000,-1.9836973E-008,-5.3893172E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8442596E-017,-1.9836973E-008, 0.0000000E+000, 0.0000000E+000
 8.9345448E-002, 0.0000000E+000, 0.0000000E+000,-1.9957575E-008, 1.3173886E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4163062E-017,-1.9957575E-008, 0.0000000E+000, 0.0000000E+000
 9.2356108E-002, 0.0000000E+000, 0.0000000E+000,-2.0061177E-008, 1.7964391E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0742991E-017,-2.0061177E-008, 0.0000000E+000, 0.0000000E+000
 9.5366761E-002, 0.0000000E+000, 0.0000000E+000,-2.0111455E-008, 2.5150147E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3009866E-017,-2.0111455E-008, 0.0000000E+000, 0.0000000E+000
 9.8377421E-002, 0.0000000E+000, 0.0000000E+000,-2.0167464E-008, 1.1976260E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8438214E-017,-2.0167464E-008, 0.0000000E+000, 0.0000000E+000
 1.0138808E-001, 0.0000000E+000, 0.0000000E+000,-2.0199492E-008,-2.3952521E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3047768E-018,-2.0199492E-008, 0.0000000E+000, 0.0000000E+000
 1.0401580E-001, 0.0000000E+000, 0.0000000E+000,-2.0214170E-008, 1.4371513E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1687856E-017,-2.0214170E-008, 0.0000000E+000, 0.0000000E+000
 1.0664351E-001, 0.0000000E+000, 0.0000000E+000,-2.0197327E-008, 7.1857563E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9609820E-017,-2.0197327E-008, 0.0000000E+000, 0.0000000E+000
 1.0927123E-001, 0.0000000E+000, 0.0000000E+000,-2.0188034E-008, 2.0958456E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8484583E-017,-2.0188034E-008, 0.0000000E+000, 0.0000000E+000
 1.1189895E-001, 0.0000000E+000, 0.0000000E+000,-2.0154854E-008, 1.9162017E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2813093E-018,-2.0154854E-008, 0.0000000E+000, 0.0000000E+000
 1.1452667E-001, 0.0000000E+000, 0.0000000E+000,-2.0128812E-008, 2.5150147E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0562619E-017,-2.0128812E-008, 0.0000000E+000, 0.0000000E+000
 1.1683548E-001, 0.0000000E+000, 0.0000000E+000,-2.0086756E-008, 1.8563204E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4043087E-017,-2.0086756E-008, 0.0000000E+000, 0.0000000E+000
 1.1914431E-001, 0.0000000E+000, 0.0000000E+000,-2.0029966E-008, 2.4551334E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1037702E-017,-2.0029966E-008, 0.0000000E+000, 0.0000000E+000
 1.2145313E-001, 0.0000000E+000, 0.0000000E+000,-1.9952404E-008,-5.3893172E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0107719E-018,-1.9952404E-008, 0.0000000E+000, 0.0000000E+000
 1.2376194E-001, 0.0000000E+000, 0.0000000E+000,-1.9892473E-008, 1.1976260E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2021544E-017,-1.9892473E-008, 0.0000000E+000, 0.0000000E+000
 1.2607077E-001, 0.0000000E+000, 0.0000000E+000,-1.9817626E-008,-1.7964391E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0107719E-018,-1.9817626E-008, 0.0000000E+000, 0.0000000E+000
 1.2837958E-001, 0.0000000E+000, 0.0000000E+000,-1.9744440E-008, 3.1138277E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5026930E-017,-1.9744440E-008, 0.0000000E+000, 0.0000000E+000
 1.3043229E-001, 0.0000000E+000, 0.0000000E+000,-1.9673058E-008, 4.6108603E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3803617E-017,-1.9673058E-008, 0.0000000E+000, 0.0000000E+000
 1.3248500E-001, 0.0000000E+000, 0.0000000E+000,-1.9579170E-008, 3.8922846E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3803617E-018,-1.9579170E-008, 0.0000000E+000, 0.0000000E+000
 1.3453771E-001, 0.0000000E+000, 0.0000000E+000,-1.9497029E-008, 3.6527594E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0282170E-017,-1.9497029E-008, 0.0000000E+000, 0.0000000E+000
 1.3659042E-001, 0.0000000E+000, 0.0000000E+000,-1.9404252E-008, 4.0120472E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6901809E-017,-1.9404252E-008, 0.0000000E+000, 0.0000000E+000
 1.3864312E-001, 0.0000000E+000, 0.0000000E+000,-1.9336489E-008, 4.2515724E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3521447E-017,-1.9336489E-008, 0.0000000E+000, 0.0000000E+000
 1.4069583E-001, 0.0000000E+000, 0.0000000E+000,-1.9259562E-008, 3.3533529E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3662532E-017,-1.9259562E-008, 0.0000000E+000, 0.0000000E+000
 1.4274853E-001, 0.0000000E+000, 0.0000000E+000,-1.9197173E-008, 2.6946586E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3803617E-018,-1.9197173E-008, 0.0000000E+000, 0.0000000E+000
 1.4480124E-001, 0.0000000E+000, 0.0000000E+000,-1.9142777E-008, 1.3173886E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7607235E-018,-1.9142777E-008, 0.0000000E+000, 0.0000000E+000
 1.4662679E-001, 0.0000000E+000, 0.0000000E+000,-1.9082453E-008, 9.5810083E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5203975E-017,-1.9082453E-008, 0.0000000E+000, 0.0000000E+000
 1.4845234E-001, 0.0000000E+000, 0.0000000E+000,-1.9034087E-008, 1.5569139E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8009937E-018,-1.9034087E-008, 0.0000000E+000, 0.0000000E+000
 1.5027788E-001, 0.0000000E+000, 0.0000000E+000,-1.8971787E-008, 2.8144212E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1402981E-017,-1.8971787E-008, 0.0000000E+000, 0.0000000E+000
 1.5210344E-001, 0.0000000E+000, 0.0000000E+000,-1.8904346E-008, 2.9341838E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0407949E-017,-1.8904346E-008, 0.0000000E+000, 0.0000000E+000
 1.5392898E-001, 0.0000000E+000, 0.0000000E+000,-1.8847866E-008, 2.8743025E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6606956E-017,-1.8847866E-008, 0.0000000E+000, 0.0000000E+000
 1.5575452E-001, 0.0000000E+000, 0.0000000E+000,-1.8793413E-008, 2.7545399E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8009937E-018,-1.8793413E-008, 0.0000000E+000, 0.0000000E+000
 1.5758008E-001, 0.0000000E+000, 0.0000000E+000,-1.8746901E-008, 4.0120472E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6019873E-018,-1.8746901E-008, 0.0000000E+000, 0.0000000E+000
 1.5940562E-001, 0.0000000E+000, 0.0000000E+000,-1.8711899E-008, 5.3893172E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8711899E-008, 0.0000000E+000, 0.0000000E+000
 1.6123118E-001, 0.0000000E+000, 0.0000000E+000,-1.8680932E-008, 5.2695546E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8009937E-017,-1.8680932E-008, 0.0000000E+000, 0.0000000E+000
 1.6305672E-001, 0.0000000E+000, 0.0000000E+000,-1.8669563E-008, 3.7725220E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1402981E-017,-1.8669563E-008, 0.0000000E+000, 0.0000000E+000
 1.6469529E-001, 0.0000000E+000, 0.0000000E+000,-1.8649522E-008, 3.1138277E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4694271E-018,-1.8649522E-008, 0.0000000E+000, 0.0000000E+000
 1.6633387E-001, 0.0000000E+000, 0.0000000E+000,-1.8623386E-008, 4.0719285E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5408281E-017,-1.8623386E-008, 0.0000000E+000, 0.0000000E+000
 1.6797245E-001, 0.0000000E+000, 0.0000000E+000,-1.8592810E-008, 3.5928781E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8592810E-008, 0.0000000E+000, 0.0000000E+000
 1.6961102E-001, 0.0000000E+000, 0.0000000E+000,-1.8560600E-008, 3.7725220E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2704141E-017,-1.8560600E-008, 0.0000000E+000, 0.0000000E+000
 1.7124958E-001, 0.0000000E+000, 0.0000000E+000,-1.8540130E-008, 3.3533529E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4694271E-018,-1.8540130E-008, 0.0000000E+000, 0.0000000E+000
 1.7288816E-001, 0.0000000E+000, 0.0000000E+000,-1.8497721E-008, 2.2754895E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2347136E-018,-1.8497721E-008, 0.0000000E+000, 0.0000000E+000
 1.7452674E-001, 0.0000000E+000, 0.0000000E+000,-1.8477427E-008, 2.9940651E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5408281E-017,-1.8477427E-008, 0.0000000E+000, 0.0000000E+000
 1.7616531E-001, 0.0000000E+000, 0.0000000E+000,-1.8464700E-008, 2.8144212E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6938854E-017,-1.8464700E-008, 0.0000000E+000, 0.0000000E+000
 1.7780389E-001, 0.0000000E+000, 0.0000000E+000,-1.8439501E-008, 2.7545399E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4694271E-018,-1.8439501E-008, 0.0000000E+000, 0.0000000E+000
 1.7944247E-001, 0.0000000E+000, 0.0000000E+000,-1.8432589E-008, 3.3533529E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6938854E-017,-1.8432589E-008, 0.0000000E+000, 0.0000000E+000
 1.8108104E-001, 0.0000000E+000, 0.0000000E+000,-1.8408281E-008, 3.9521659E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2704141E-017,-1.8408281E-008, 0.0000000E+000, 0.0000000E+000
 1.8271962E-001, 0.0000000E+000, 0.0000000E+000,-1.8409202E-008, 5.0300294E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6938854E-017,-1.8409202E-008, 0.0000000E+000, 0.0000000E+000
 1.8435818E-001, 0.0000000E+000, 0.0000000E+000,-1.8397105E-008, 4.1916911E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2347136E-018,-1.8397105E-008, 0.0000000E+000, 0.0000000E+000
 1.8583062E-001, 0.0000000E+000, 0.0000000E+000,-1.8397553E-008, 5.2695546E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8397553E-008, 0.0000000E+000, 0.0000000E+000
