,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:46.925+02:00,   0.395E-02,   0.00395,   4.37094
      2,2020-06-26T16:17:47.101+02:00,   0.395E-02,   0.00791,   5.03430
      3,2020-06-26T16:17:47.237+02:00,   0.395E-02,   0.01186,   5.56657
      4,2020-06-26T16:17:47.325+02:00,   0.395E-02,   0.01581,   5.90367
      5,2020-06-26T16:17:47.394+02:00,   0.395E-02,   0.01976,   6.17107
      6,2020-06-26T16:17:47.461+02:00,   0.395E-02,   0.02372,   6.42760
      7,2020-06-26T16:17:47.518+02:00,   0.395E-02,   0.02767,   6.65564
      8,2020-06-26T16:17:47.577+02:00,   0.395E-02,   0.03162,   6.88226
      9,2020-06-26T16:17:47.658+02:00,   0.395E-02,   0.03558,   7.17228
     10,2020-06-26T16:17:47.729+02:00,   0.395E-02,   0.03953,   7.43981
     20,2020-06-26T16:17:48.341+02:00,   0.395E-02,   0.07906,   9.78263
     30,2020-06-26T16:17:49.026+02:00,   0.263E-02,   0.10927,  12.43902
     40,2020-06-26T16:17:49.709+02:00,   0.205E-02,   0.13248,  15.07370
     50,2020-06-26T16:17:50.391+02:00,   0.183E-02,   0.15210,  17.69430
     60,2020-06-26T16:17:50.955+02:00,   0.164E-02,   0.16961,  19.87540
     70,2020-06-26T16:17:51.665+02:00,   0.147E-02,   0.18583,  22.51088
     80,2020-06-26T16:17:52.253+02:00,   0.147E-02,   0.20055,  24.70576
     90,2020-06-26T16:17:52.876+02:00,   0.132E-02,   0.21469,  27.09367
    100,2020-06-26T16:17:53.330+02:00,   0.132E-02,   0.22794,  28.86494
    200,2020-06-26T16:17:59.250+02:00,   0.960E-03,   0.33867,  51.22088
    300,2020-06-26T16:18:03.860+02:00,   0.776E-03,   0.42731,  69.15140
    400,2020-06-26T16:18:08.325+02:00,   0.698E-03,   0.50276,  86.47271
    500,2020-06-26T16:18:12.223+02:00,   0.628E-03,   0.57082, 101.71036
    600,2020-06-26T16:18:16.018+02:00,   0.628E-03,   0.63361, 116.44504
    700,2020-06-26T16:18:20.269+02:00,   0.565E-03,   0.69069, 133.29305
    800,2020-06-26T16:18:23.285+02:00,   0.508E-03,   0.74623, 145.22518
    900,2020-06-26T16:18:26.355+02:00,   0.508E-03,   0.79708, 157.40518
   1000,2020-06-26T16:18:29.809+02:00,   0.508E-03,   0.84792, 170.97689
   1100,2020-06-26T16:18:36.631+02:00,   0.457E-03,   0.89499, 198.16003
   1200,2020-06-26T16:18:43.632+02:00,   0.457E-03,   0.94074, 226.06459
   1300,2020-06-26T16:18:50.757+02:00,   0.457E-03,   0.98648, 254.47215
   1400,2020-06-26T16:18:57.427+02:00,   0.412E-03,   1.03117, 281.06223
   1500,2020-06-26T16:19:03.860+02:00,   0.412E-03,   1.07234, 306.67130
   1600,2020-06-26T16:19:10.094+02:00,   0.412E-03,   1.11350, 331.54176
   1700,2020-06-26T16:19:16.455+02:00,   0.412E-03,   1.15467, 356.89424
   1800,2020-06-26T16:19:20.300+02:00,   0.412E-03,   1.19583, 372.21626
   1900,2020-06-26T16:19:25.078+02:00,   0.412E-03,   1.23700, 391.24888
   2000,2020-06-26T16:19:29.722+02:00,   0.370E-03,   1.27405, 409.24377
   2100,2020-06-26T16:19:38.706+02:00,   0.370E-03,   1.31102, 444.97097
   2200,2020-06-26T16:19:48.171+02:00,   0.332E-03,   1.34508, 482.30627
   2300,2020-06-26T16:19:57.418+02:00,   0.298E-03,   1.37684, 519.13350
   2400,2020-06-26T16:20:07.339+02:00,   0.298E-03,   1.40664, 558.65146
   2500,2020-06-26T16:20:21.050+02:00,   0.268E-03,   1.43366, 613.38879
   2600,2020-06-26T16:20:31.587+02:00,   0.268E-03,   1.46044, 655.38529
   2700,2020-06-26T16:20:42.977+02:00,   0.268E-03,   1.48722, 700.79094
   2800,2020-06-26T16:20:54.782+02:00,   0.268E-03,   1.51400, 747.85795
   2900,2020-06-26T16:21:04.426+02:00,   0.241E-03,   1.53869, 786.11948
   3000,2020-06-26T16:21:17.323+02:00,   0.265E-03,   1.56480, 837.55091
   3100,2020-06-26T16:21:32.793+02:00,   0.265E-03,   1.59127, 899.33905
   3200,2020-06-26T16:21:46.117+02:00,   0.265E-03,   1.61774, 952.48765
   3300,2020-06-26T16:21:58.649+02:00,   0.238E-03,   1.64233,1002.37197
   3400,2020-06-26T16:22:03.781+02:00,   0.262E-03,   1.66733,1022.74378
   3500,2020-06-26T16:22:09.756+02:00,   0.262E-03,   1.69353,1046.41469
   3600,2020-06-26T16:22:15.852+02:00,   0.262E-03,   1.71973,1070.62869
   3700,2020-06-26T16:22:20.328+02:00,   0.236E-03,   1.74417,1088.41332
   3800,2020-06-26T16:22:26.325+02:00,   0.259E-03,   1.76875,1112.10705
   3900,2020-06-26T16:22:31.230+02:00,   0.259E-03,   1.79468,1131.58961
   4000,2020-06-26T16:22:37.654+02:00,   0.259E-03,   1.82060,1157.21692
   4100,2020-06-26T16:22:42.363+02:00,   0.233E-03,   1.84491,1175.99272
   4200,2020-06-26T16:22:47.173+02:00,   0.257E-03,   1.86909,1195.16768
   4300,2020-06-26T16:22:53.321+02:00,   0.231E-03,   1.89400,1219.68734
   4400,2020-06-26T16:22:59.294+02:00,   0.254E-03,   1.91798,1243.51640
   4500,2020-06-26T16:23:04.807+02:00,   0.254E-03,   1.94337,1265.42039
   4600,2020-06-26T16:23:09.384+02:00,   0.254E-03,   1.96876,1283.67571
   4700,2020-06-26T16:23:16.018+02:00,   0.254E-03,   1.99415,1310.14658
   4724,2020-06-26T16:23:16.982+02:00,   0.112E-04,   2.00000,1313.99008
