,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:46.757+02:00,   0.395E-02,   0.00395,   2.25565
      2,2020-06-26T16:17:46.812+02:00,   0.395E-02,   0.00791,   2.46603
      3,2020-06-26T16:17:46.857+02:00,   0.395E-02,   0.01186,   2.63525
      4,2020-06-26T16:17:46.894+02:00,   0.395E-02,   0.01581,   2.78555
      5,2020-06-26T16:17:46.939+02:00,   0.395E-02,   0.01976,   2.95314
      6,2020-06-26T16:17:46.986+02:00,   0.395E-02,   0.02372,   3.13451
      7,2020-06-26T16:17:47.032+02:00,   0.395E-02,   0.02767,   3.30506
      8,2020-06-26T16:17:47.069+02:00,   0.395E-02,   0.03162,   3.45503
      9,2020-06-26T16:17:47.117+02:00,   0.395E-02,   0.03558,   3.63460
     10,2020-06-26T16:17:47.164+02:00,   0.395E-02,   0.03953,   3.81292
     20,2020-06-26T16:17:47.602+02:00,   0.395E-02,   0.07906,   5.48801
     30,2020-06-26T16:17:48.125+02:00,   0.263E-02,   0.10926,   7.47063
     40,2020-06-26T16:17:48.603+02:00,   0.205E-02,   0.13247,   9.28441
     50,2020-06-26T16:17:49.240+02:00,   0.183E-02,   0.15208,  11.66447
     60,2020-06-26T16:17:49.751+02:00,   0.164E-02,   0.16959,  13.64191
     70,2020-06-26T16:17:50.372+02:00,   0.147E-02,   0.18581,  16.03814
     80,2020-06-26T16:17:50.863+02:00,   0.147E-02,   0.20053,  17.86498
     90,2020-06-26T16:17:51.554+02:00,   0.132E-02,   0.21466,  20.54192
    100,2020-06-26T16:17:51.989+02:00,   0.132E-02,   0.22791,  22.19855
    200,2020-06-26T16:17:57.059+02:00,   0.960E-03,   0.33864,  41.70231
    300,2020-06-26T16:18:01.800+02:00,   0.776E-03,   0.42727,  60.29573
    400,2020-06-26T16:18:06.382+02:00,   0.698E-03,   0.50272,  78.27925
    500,2020-06-26T16:18:11.073+02:00,   0.628E-03,   0.57078,  96.62210
    600,2020-06-26T16:18:15.270+02:00,   0.628E-03,   0.63357, 113.05244
    700,2020-06-26T16:18:19.257+02:00,   0.565E-03,   0.69065, 128.85006
