,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T15:00:40.688+01:00,   0.395E-02,   0.00395
      2,2020-02-21T15:00:40.791+01:00,   0.395E-02,   0.00791
      3,2020-02-21T15:00:40.890+01:00,   0.395E-02,   0.01186
      4,2020-02-21T15:00:40.980+01:00,   0.395E-02,   0.01581
      5,2020-02-21T15:00:41.079+01:00,   0.395E-02,   0.01976
      6,2020-02-21T15:00:41.202+01:00,   0.395E-02,   0.02372
      7,2020-02-21T15:00:41.310+01:00,   0.395E-02,   0.02767
      8,2020-02-21T15:00:41.398+01:00,   0.395E-02,   0.03162
      9,2020-02-21T15:00:41.494+01:00,   0.395E-02,   0.03558
     10,2020-02-21T15:00:41.593+01:00,   0.395E-02,   0.03953
     20,2020-02-21T15:00:42.532+01:00,   0.395E-02,   0.07906
     30,2020-02-21T15:00:43.549+01:00,   0.263E-02,   0.10926
     40,2020-02-21T15:00:44.540+01:00,   0.205E-02,   0.13247
     50,2020-02-21T15:00:45.502+01:00,   0.183E-02,   0.15208
     60,2020-02-21T15:00:46.519+01:00,   0.164E-02,   0.16959
     70,2020-02-21T15:00:47.921+01:00,   0.147E-02,   0.18581
     80,2020-02-21T15:00:48.957+01:00,   0.147E-02,   0.20053
     90,2020-02-21T15:00:50.011+01:00,   0.132E-02,   0.21466
    100,2020-02-21T15:00:51.012+01:00,   0.132E-02,   0.22791
    200,2020-02-21T15:01:02.548+01:00,   0.960E-03,   0.33864
    300,2020-02-21T15:01:13.916+01:00,   0.776E-03,   0.42727
    400,2020-02-21T15:01:26.046+01:00,   0.698E-03,   0.50272
    500,2020-02-21T15:01:38.739+01:00,   0.628E-03,   0.57078
    600,2020-02-21T15:01:50.997+01:00,   0.628E-03,   0.63357
    700,2020-02-21T15:02:03.094+01:00,   0.565E-03,   0.69065
    800,2020-02-21T15:02:15.035+01:00,   0.508E-03,   0.74619
    900,2020-02-21T15:02:26.839+01:00,   0.508E-03,   0.79704
   1000,2020-02-21T15:02:38.925+01:00,   0.508E-03,   0.84788
   1100,2020-02-21T15:02:50.659+01:00,   0.457E-03,   0.89495
   1200,2020-02-21T15:03:18.707+01:00,   0.457E-03,   0.94070
   1300,2020-02-21T15:03:30.544+01:00,   0.457E-03,   0.98644
   1400,2020-02-21T15:03:42.250+01:00,   0.412E-03,   1.03113
   1500,2020-02-21T15:03:53.784+01:00,   0.412E-03,   1.07230
   1600,2020-02-21T15:04:05.295+01:00,   0.412E-03,   1.11346
   1700,2020-02-21T15:04:17.003+01:00,   0.412E-03,   1.15463
   1800,2020-02-21T15:04:29.188+01:00,   0.412E-03,   1.19580
   1900,2020-02-21T15:04:41.068+01:00,   0.412E-03,   1.23696
   2000,2020-02-21T15:04:53.043+01:00,   0.370E-03,   1.27402
   2100,2020-02-21T15:05:05.294+01:00,   0.370E-03,   1.31099
   2200,2020-02-21T15:05:17.415+01:00,   0.332E-03,   1.34506
   2300,2020-02-21T15:05:29.514+01:00,   0.298E-03,   1.37682
   2400,2020-02-21T15:05:41.647+01:00,   0.298E-03,   1.40661
   2500,2020-02-21T15:05:53.653+01:00,   0.268E-03,   1.43364
   2600,2020-02-21T15:06:05.933+01:00,   0.268E-03,   1.46042
   2700,2020-02-21T15:06:18.042+01:00,   0.268E-03,   1.48720
   2800,2020-02-21T15:06:30.498+01:00,   0.268E-03,   1.51398
   2900,2020-02-21T15:06:42.529+01:00,   0.241E-03,   1.53867
   3000,2020-02-21T15:06:54.530+01:00,   0.265E-03,   1.56482
   3100,2020-02-21T15:07:07.247+01:00,   0.265E-03,   1.59133
   3200,2020-02-21T15:07:19.508+01:00,   0.265E-03,   1.61784
   3300,2020-02-21T15:07:33.162+01:00,   0.238E-03,   1.64242
   3400,2020-02-21T15:07:45.257+01:00,   0.262E-03,   1.66745
   3500,2020-02-21T15:07:57.316+01:00,   0.262E-03,   1.69366
   3600,2020-02-21T15:08:09.745+01:00,   0.262E-03,   1.71988
   3700,2020-02-21T15:08:21.639+01:00,   0.236E-03,   1.74431
   3800,2020-02-21T15:08:33.645+01:00,   0.259E-03,   1.76891
   3900,2020-02-21T15:08:45.895+01:00,   0.234E-03,   1.79390
   4000,2020-02-21T15:08:58.196+01:00,   0.257E-03,   1.81830
   4100,2020-02-21T15:09:10.359+01:00,   0.257E-03,   1.84399
   4200,2020-02-21T15:09:22.620+01:00,   0.257E-03,   1.86968
   4300,2020-02-21T15:09:35.397+01:00,   0.231E-03,   1.89451
   4400,2020-02-21T15:09:47.242+01:00,   0.254E-03,   1.91856
   4500,2020-02-21T15:09:59.502+01:00,   0.254E-03,   1.94397
   4600,2020-02-21T15:10:11.604+01:00,   0.254E-03,   1.96938
   4700,2020-02-21T15:10:24.107+01:00,   0.254E-03,   1.99479
   4721,2020-02-21T15:10:26.570+01:00,   0.126E-03,   2.00000
