s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 4.1179098E-001
 1.2500000E-001, 1.5152478E-005, 2.2167460E-003, 9.7691611E-004, 3.0000000E+000, 4.6995099E-001
 2.5000000E-001, 1.2367747E-001, 1.6578833E-002, 3.5814494E-003, 1.0000000E+003, 2.0523819E+000
 3.7500000E-001, 2.4407189E-001, 9.2857275E-002, 4.5184285E-003, 1.0000000E+003, 3.5761420E+000
 5.0000000E-001, 3.5765873E-001, 2.3042441E-001, 3.7321615E-003, 1.0000000E+003, 5.1848322E+000
 6.2500000E-001, 4.6178646E-001, 4.0111274E-001, 1.7673165E-003, 1.0000000E+003, 6.8283769E+000
 7.5000000E-001, 5.5480842E-001, 5.7071457E-001, 9.9819371E-004, 1.4100000E+002, 7.0029928E+000
 8.7500000E-001, 6.3560978E-001, 7.1591535E-001, 2.4556271E-003, 1.0000000E+003, 8.5358507E+000
 1.0000000E+000, 7.0452640E-001, 8.1573004E-001, 3.3130666E-003, 1.0000000E+003, 1.0080640E+001
 1.1250000E+000, 7.6219754E-001, 8.6980917E-001, 3.2193176E-003, 1.0000000E+003, 1.1610467E+001
 1.2500000E+000, 8.0975061E-001, 8.8951005E-001, 2.3978351E-003, 1.0000000E+003, 1.3050731E+001
 1.3750000E+000, 8.4852464E-001, 8.9079763E-001, 1.2846535E-003, 1.0000000E+003, 1.4495156E+001
 1.5000000E+000, 8.8017064E-001, 8.8945313E-001, 9.6562861E-004, 1.0000000E+001, 1.4734150E+001
 1.6250000E+000, 9.0550126E-001, 8.8840938E-001, 9.9480354E-004, 2.4000000E+001, 1.4801622E+001
 1.7500000E+000, 9.2534114E-001, 8.9384069E-001, 9.9950531E-004, 2.6900000E+002, 1.5141827E+001
 1.8750000E+000, 9.4122343E-001, 9.0170190E-001, 9.9981600E-004, 1.5700000E+002, 1.5439275E+001
 2.0000000E+000, 9.5385701E-001, 9.1936902E-001, 1.0058706E-003, 1.0000000E+003, 1.6187419E+001
 2.1250000E+000, 9.6385413E-001, 9.3624948E-001, 9.9902501E-004, 7.4000000E+001, 1.6279143E+001
 2.2500000E+000, 9.7181027E-001, 9.5176695E-001, 9.8142802E-004, 1.2000000E+001, 1.6325048E+001
 2.3750000E+000, 9.7807472E-001, 9.6717564E-001, 9.0065626E-004, 1.4000000E+001, 1.6374187E+001
 2.4851842E+000, 9.8295221E-001, 9.8069610E-001, 9.3646271E-004, 1.2000000E+001, 1.6429290E+001
 2.5953684E+000, 9.8642628E-001, 9.9407353E-001, 9.5784575E-004, 1.2000000E+001, 1.6480712E+001
 2.7055526E+000, 9.8912969E-001, 1.0077725E+000, 9.3075453E-004, 1.2000000E+001, 1.6636956E+001
 2.8157368E+000, 9.9129075E-001, 1.0199700E+000, 9.9876469E-004, 2.3000000E+001, 1.6954267E+001
 2.9259210E+000, 9.9304532E-001, 1.0276186E+000, 9.9984228E-004, 1.4600000E+002, 1.7551492E+001
 3.0361052E+000, 9.9445428E-001, 1.0289629E+000, 9.9982932E-004, 4.1900000E+002, 1.8270452E+001
 3.1462894E+000, 9.9558591E-001, 1.0290962E+000, 9.9991576E-004, 1.0200000E+002, 1.8504392E+001
 3.2564736E+000, 9.9649651E-001, 1.0289212E+000, 9.9747777E-004, 2.7000000E+001, 1.8763345E+001
 3.3550996E+000, 9.9722088E-001, 1.0286417E+000, 9.9854447E-004, 2.7000000E+001, 1.8978620E+001
 3.4537257E+000, 9.9774778E-001, 1.0283004E+000, 9.9429312E-004, 2.5000000E+001, 1.9062234E+001
 3.5523517E+000, 9.9817521E-001, 1.0278382E+000, 9.9062307E-004, 2.1000000E+001, 1.9228088E+001
 3.6509778E+000, 9.9852189E-001, 1.0271982E+000, 9.9082123E-004, 1.7000000E+001, 1.9375980E+001
