s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000, 5.1541049E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1541049E-011, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000,-3.2813432E-011, 4.3154931E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9138679E-010,-3.2381883E-011, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-3.6607787E-011,-8.4259806E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4239998E-009,-3.7450385E-011, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.3449323E-011,-4.4939606E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8945429E-009,-1.7943284E-011, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-3.4373500E-012,-7.9051510E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9301965E-010,-1.1342501E-011, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 2.1012283E-011,-1.0555014E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7960708E-009, 1.0457270E-011, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 5.4445849E-011,-1.6419563E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9893126E-009, 3.8026285E-011, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7625698E-011,-2.0853168E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5043416E-009, 3.6772530E-011, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 4.5341608E-011,-2.4305394E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2198226E-009, 2.1036214E-011, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 4.5451486E-011,-2.6429661E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1501986E-009, 1.9021826E-011, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 2.1964951E-011,-3.0325017E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6030466E-009,-8.3600666E-012, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9602737E-012,-3.6621363E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3038516E-010,-3.8581636E-011, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000,-1.6627581E-011,-4.3470615E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2738165E-009,-6.0098197E-011, 0.0000000E+000, 0.0000000E+000
 1.7370971E+000, 0.0000000E+000, 0.0000000E+000, 9.0867616E-012,-4.5197257E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2782866E-010,-3.6110495E-011, 0.0000000E+000, 0.0000000E+000
 1.8491943E+000, 0.0000000E+000, 0.0000000E+000,-4.0078930E-011,-4.6438905E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7997208E-010,-8.6517835E-011, 0.0000000E+000, 0.0000000E+000
 1.9612914E+000, 0.0000000E+000, 0.0000000E+000,-3.9988322E-011,-4.8435739E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3493957E-009,-8.8424061E-011, 0.0000000E+000, 0.0000000E+000
 2.0733886E+000, 0.0000000E+000, 0.0000000E+000,-4.0716657E-011,-5.0404864E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3730221E-009,-9.1121520E-011, 0.0000000E+000, 0.0000000E+000
 2.1854858E+000, 0.0000000E+000, 0.0000000E+000,-4.4002320E-011,-5.1546796E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3057778E-009,-9.5549116E-011, 0.0000000E+000, 0.0000000E+000
 2.2975829E+000, 0.0000000E+000, 0.0000000E+000,-3.9999009E-011,-5.3682182E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0910634E-009,-9.3681190E-011, 0.0000000E+000, 0.0000000E+000
 2.4096801E+000, 0.0000000E+000, 0.0000000E+000,-1.9183176E-011,-5.6363516E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1465280E-009,-7.5546692E-011, 0.0000000E+000, 0.0000000E+000
 2.5217772E+000, 0.0000000E+000, 0.0000000E+000,-1.7939215E-012,-5.8780411E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3340775E-010,-6.0574333E-011, 0.0000000E+000, 0.0000000E+000
 2.6338744E+000, 0.0000000E+000, 0.0000000E+000,-1.2367025E-011,-6.3263657E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4821260E-010,-7.5630682E-011, 0.0000000E+000, 0.0000000E+000
