,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:10:10.761+01:00,   0.125E+00,   0.12500
      2,2020-02-19T19:10:24.215+01:00,   0.125E+00,   0.25000
      3,2020-02-19T19:10:35.566+01:00,   0.125E+00,   0.37500
      4,2020-02-19T19:10:46.661+01:00,   0.125E+00,   0.50000
      5,2020-02-19T19:10:51.868+01:00,   0.125E+00,   0.62500
      6,2020-02-19T19:10:52.782+01:00,   0.125E+00,   0.75000
      7,2020-02-19T19:11:03.253+01:00,   0.125E+00,   0.87500
      8,2020-02-19T19:11:13.724+01:00,   0.125E+00,   1.00000
      9,2020-02-19T19:11:24.189+01:00,   0.125E+00,   1.12500
     10,2020-02-19T19:11:32.553+01:00,   0.125E+00,   1.25000
     20,2020-02-19T19:11:42.941+01:00,   0.112E+00,   2.40968
     30,2020-02-19T19:11:49.904+01:00,   0.100E+00,   3.47198
     40,2020-02-19T19:11:51.275+01:00,   0.895E-01,   4.39985
     50,2020-02-19T19:11:52.469+01:00,   0.895E-01,   5.29523
     60,2020-02-19T19:11:54.132+01:00,   0.895E-01,   6.19062
     70,2020-02-19T19:11:55.434+01:00,   0.895E-01,   7.08600
     80,2020-02-19T19:11:57.643+01:00,   0.895E-01,   7.98139
     90,2020-02-19T19:11:59.583+01:00,   0.895E-01,   8.87678
    100,2020-02-19T19:12:01.282+01:00,   0.895E-01,   9.77216
    200,2020-02-19T19:12:18.181+01:00,   0.895E-01,  18.72602
    300,2020-02-19T19:12:36.359+01:00,   0.895E-01,  27.67988
    400,2020-02-19T19:13:08.289+01:00,   0.799E-01,  36.03359
    500,2020-02-19T19:13:32.890+01:00,   0.799E-01,  44.01913
    600,2020-02-19T19:13:51.034+01:00,   0.799E-01,  52.00467
    700,2020-02-19T19:14:08.577+01:00,   0.799E-01,  59.99021
    701,2020-02-19T19:14:08.745+01:00,   0.979E-02,  60.00000
