,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:46.698+02:00,   0.125E+00,   0.12500,   1.02479
      2,2020-06-26T16:17:47.493+02:00,   0.125E+00,   0.25000,   2.61264
      3,2020-06-26T16:17:48.299+02:00,   0.125E+00,   0.37500,   4.20052
      4,2020-06-26T16:17:49.091+02:00,   0.125E+00,   0.50000,   5.77446
      5,2020-06-26T16:17:49.879+02:00,   0.125E+00,   0.62500,   7.34952
      6,2020-06-26T16:17:49.959+02:00,   0.125E+00,   0.75000,   7.50763
      7,2020-06-26T16:17:50.738+02:00,   0.125E+00,   0.87500,   9.06443
      8,2020-06-26T16:17:51.518+02:00,   0.125E+00,   1.00000,  10.62298
      9,2020-06-26T16:17:52.304+02:00,   0.125E+00,   1.12500,  12.19378
     10,2020-06-26T16:17:53.086+02:00,   0.125E+00,   1.25000,  13.75628
     20,2020-06-26T16:17:54.937+02:00,   0.110E+00,   2.48518,  17.43188
     30,2020-06-26T16:17:56.332+02:00,   0.987E-01,   3.55258,  20.19506
     40,2020-06-26T16:17:56.582+02:00,   0.987E-01,   4.53958,  20.68700
     50,2020-06-26T16:17:56.993+02:00,   0.987E-01,   5.52659,  21.48880
     60,2020-06-26T16:17:57.356+02:00,   0.987E-01,   6.51360,  22.19810
     70,2020-06-26T16:17:57.614+02:00,   0.879E-01,   7.42495,  22.69589
     80,2020-06-26T16:17:58.036+02:00,   0.879E-01,   8.30387,  23.47743
     90,2020-06-26T16:17:58.364+02:00,   0.879E-01,   9.18279,  24.10411
    100,2020-06-26T16:17:58.647+02:00,   0.879E-01,  10.06170,  24.62611
    200,2020-06-26T16:18:03.587+02:00,   0.879E-01,  18.85090,  34.09598
    300,2020-06-26T16:18:11.655+02:00,   0.879E-01,  27.64009,  48.79327
    400,2020-06-26T16:18:21.254+02:00,   0.879E-01,  36.42928,  65.98084
    500,2020-06-26T16:18:31.020+02:00,   0.879E-01,  45.21847,  83.65392
    600,2020-06-26T16:18:40.684+02:00,   0.879E-01,  54.00766, 101.32823
    674,2020-06-26T16:18:47.778+02:00,   0.688E-03,  60.00000, 114.01777
