s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 9.0227798E-001
 1.2500000E-001, 0.0000000E+000, 1.9784627E-003, 4.3368087E-019, 1.0000000E+000, 9.9927595E-001
 2.5000000E-001, 1.2435300E-001, 1.2435300E-001, 1.3877788E-017, 1.0000000E+001, 1.3565970E+000
 3.7500000E-001, 2.4491866E-001, 2.4491866E-001, 5.5511151E-017, 1.0000000E+001, 1.7657630E+000
 5.0000000E-001, 3.5835740E-001, 3.5835740E-001, 5.5511151E-017, 1.0000000E+001, 2.1682540E+000
 6.2500000E-001, 4.6211716E-001, 4.6211716E-001, 1.1102230E-016, 1.0000000E+001, 2.5070199E+000
 7.5000000E-001, 5.5459972E-001, 5.5459972E-001, 1.1102230E-016, 1.0000000E+001, 2.8459751E+000
 8.7500000E-001, 6.3514895E-001, 6.3514895E-001, 1.1102230E-016, 1.0000000E+001, 3.1839911E+000
 1.0000000E+000, 7.0390560E-001, 7.0390560E-001, 2.2204460E-016, 1.0000000E+001, 3.5220679E+000
 1.1250000E+000, 7.6159416E-001, 7.6159416E-001, 1.1102230E-016, 1.0000000E+001, 3.8600711E+000
 1.2500000E+000, 8.0930107E-001, 8.0930107E-001, 2.2204460E-016, 1.0000000E+001, 4.1988522E+000
 1.3750000E+000, 8.4828364E-001, 8.4828364E-001, 2.2204460E-016, 4.0000000E+000, 4.3515979E+000
 1.5000000E+000, 8.7982670E-001, 8.7982670E-001, 1.1102230E-016, 4.0000000E+000, 4.4580089E+000
 1.6250000E+000, 9.0514825E-001, 9.0514825E-001, 2.2204460E-016, 1.0000000E+000, 4.5180389E+000
 1.7500000E+000, 9.2534623E-001, 9.2534623E-001, 2.2204460E-016, 1.0000000E+000, 4.6349742E+000
 1.8750000E+000, 9.4137554E-001, 9.4137554E-001, 2.2204460E-016, 1.0000000E+000, 4.7030241E+000
 2.0000000E+000, 9.5404526E-001, 9.5404526E-001, 2.2204460E-016, 1.0000000E+000, 4.7653910E+000
 2.1250000E+000, 9.6402758E-001, 9.6402758E-001, 2.2204460E-016, 1.0000000E+000, 4.8258201E+000
 2.2500000E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000, 4.8859760E+000
 2.3620559E+000, 9.7802611E-001, 9.7802611E-001, 2.2204460E-016, 1.0000000E+000, 4.9689251E+000
 2.4741118E+000, 9.8239908E-001, 9.8239908E-001, 2.2204460E-016, 1.0000000E+000, 5.0362341E+000
 2.5861677E+000, 9.8590799E-001, 9.8590799E-001, 2.2204460E-016, 1.0000000E+000, 5.1097538E+000
 2.6982236E+000, 9.8872135E-001, 9.8872135E-001, 2.2204460E-016, 1.0000000E+000, 5.1751048E+000
 2.8102795E+000, 9.9097559E-001, 9.9097559E-001, 2.2204460E-016, 1.0000000E+000, 5.2372228E+000
 2.9223354E+000, 9.9278092E-001, 9.9278092E-001, 2.2204460E-016, 1.0000000E+000, 5.2973491E+000
 3.0343913E+000, 9.9422614E-001, 9.9422614E-001, 2.2204460E-016, 1.0000000E+000, 5.3573772E+000
 3.1464472E+000, 9.9538271E-001, 9.9538271E-001, 2.2204460E-016, 1.0000000E+000, 5.4175459E+000
 3.2585031E+000, 9.9630803E-001, 9.9630803E-001, 2.2204460E-016, 1.0000000E+000, 5.4777199E+000
 3.3705590E+000, 9.9704819E-001, 9.9704819E-001, 2.2204460E-016, 1.0000000E+000, 5.5843088E+000
 3.4826149E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000, 5.6553580E+000
 3.5819266E+000, 9.9811349E-001, 9.9811349E-001, 2.2204460E-016, 1.0000000E+000, 5.7565629E+000
 3.6812383E+000, 9.9845307E-001, 9.9845307E-001, 2.2204460E-016, 1.0000000E+000, 5.8523399E+000
 3.7805501E+000, 9.9873156E-001, 9.9873156E-001, 2.2204460E-016, 1.0000000E+000, 5.9178592E+000
 3.8798618E+000, 9.9895994E-001, 9.9895994E-001, 2.2204460E-016, 1.0000000E+000, 5.9801680E+000
 3.9791735E+000, 9.9914721E-001, 9.9914721E-001, 2.2204460E-016, 1.0000000E+000, 6.0387832E+000
 4.0784852E+000, 9.9930078E-001, 9.9930078E-001, 2.2204460E-016, 1.0000000E+000, 6.0966879E+000
 4.1777969E+000, 9.9942670E-001, 9.9942670E-001, 2.2204460E-016, 1.0000000E+000, 6.1553518E+000
 4.2771086E+000, 9.9952995E-001, 9.9952995E-001, 2.2204460E-016, 1.0000000E+000, 6.2128488E+000
 4.3764204E+000, 9.9961461E-001, 9.9961461E-001, 2.2204460E-016, 1.0000000E+000, 6.2693001E+000
 4.4757321E+000, 9.9968403E-001, 9.9968403E-001, 2.2204460E-016, 1.0000000E+000, 6.3246428E+000
 4.5750438E+000, 9.9974094E-001, 9.9974094E-001, 2.2204460E-016, 1.0000000E+000, 6.3824569E+000
 4.6743555E+000, 9.9978760E-001, 9.9978760E-001, 2.2204460E-016, 1.0000000E+000, 6.4604141E+000
 4.7736672E+000, 9.9982586E-001, 9.9982586E-001, 2.2204460E-016, 1.0000000E+000, 6.5580041E+000
 4.8729789E+000, 9.9985723E-001, 9.9985723E-001, 2.2204460E-016, 1.0000000E+000, 6.6256458E+000
 4.9722907E+000, 9.9988295E-001, 9.9988295E-001, 2.2204460E-016, 1.0000000E+000, 6.6883618E+000
 5.0716024E+000, 9.9990403E-001, 9.9990403E-001, 2.2204460E-016, 1.0000000E+000, 6.7493350E+000
 5.1709141E+000, 9.9992132E-001, 9.9992132E-001, 2.2204460E-016, 1.0000000E+000, 6.8103682E+000
 5.2702258E+000, 9.9993549E-001, 9.9993549E-001, 2.2204460E-016, 1.0000000E+000, 6.8714611E+000
 5.3695375E+000, 9.9994711E-001, 9.9994711E-001, 2.2204460E-016, 1.0000000E+000, 6.9324361E+000
 5.4688492E+000, 9.9995664E-001, 9.9995664E-001, 2.2204460E-016, 1.0000000E+000, 6.9935199E+000
 5.5681609E+000, 9.9996445E-001, 9.9996445E-001, 2.2204460E-016, 1.0000000E+000, 7.0547358E+000
 5.6674727E+000, 9.9997085E-001, 9.9997085E-001, 2.2204460E-016, 1.0000000E+000, 7.1162931E+000
 5.7667844E+000, 9.9997610E-001, 9.9997610E-001, 2.2204460E-016, 1.0000000E+000, 7.1772148E+000
 5.8660961E+000, 9.9998041E-001, 9.9998041E-001, 2.2204460E-016, 1.0000000E+000, 7.2381651E+000
 5.9654078E+000, 9.9998394E-001, 9.9998394E-001, 2.2204460E-016, 1.0000000E+000, 7.2986681E+000
 6.0647195E+000, 9.9998683E-001, 9.9998683E-001, 2.2204460E-016, 1.0000000E+000, 7.3594638E+000
 6.1640312E+000, 9.9998920E-001, 9.9998920E-001, 2.2204460E-016, 1.0000000E+000, 7.4625370E+000
 6.2633430E+000, 9.9999115E-001, 9.9999115E-001, 2.2204460E-016, 1.0000000E+000, 7.5340921E+000
 6.3626547E+000, 9.9999274E-001, 9.9999274E-001, 2.2204460E-016, 1.0000000E+000, 7.6837160E+000
 6.4619664E+000, 9.9999405E-001, 9.9999405E-001, 2.2204460E-016, 1.0000000E+000, 7.7602378E+000
 6.5612781E+000, 9.9999512E-001, 9.9999512E-001, 2.2204460E-016, 1.0000000E+000, 7.8535120E+000
 6.6605898E+000, 9.9999600E-001, 9.9999600E-001, 2.2204460E-016, 1.0000000E+000, 7.9154522E+000
 6.7599015E+000, 9.9999672E-001, 9.9999672E-001, 2.2204460E-016, 1.0000000E+000, 7.9765026E+000
 6.8487317E+000, 9.9999731E-001, 9.9999731E-001, 2.2204460E-016, 1.0000000E+000, 8.0601732E+000
 6.9375618E+000, 9.9999775E-001, 9.9999775E-001, 2.2204460E-016, 1.0000000E+000, 8.1211788E+000
 7.0263919E+000, 9.9999812E-001, 9.9999812E-001, 2.2204460E-016, 1.0000000E+000, 8.1819898E+000
 7.1152221E+000, 9.9999842E-001, 9.9999842E-001, 2.2204460E-016, 1.0000000E+000, 8.2430507E+000
 7.2040522E+000, 9.9999868E-001, 9.9999868E-001, 2.2204460E-016, 1.0000000E+000, 8.3040887E+000
 7.2928823E+000, 9.9999889E-001, 9.9999889E-001, 2.2204460E-016, 1.0000000E+000, 8.3651315E+000
 7.3817124E+000, 9.9999907E-001, 9.9999907E-001, 2.2204460E-016, 1.0000000E+000, 8.4258663E+000
 7.4705426E+000, 9.9999922E-001, 9.9999922E-001, 4.4408921E-016, 1.0000000E+000, 8.5261804E+000
 7.5593727E+000, 9.9999935E-001, 9.9999935E-001, 2.2204460E-016, 1.0000000E+000, 8.5940877E+000
 7.6482028E+000, 9.9999946E-001, 9.9999946E-001, 2.2204460E-016, 1.0000000E+000, 8.6788131E+000
 7.7370330E+000, 9.9999955E-001, 9.9999955E-001, 2.2204460E-016, 1.0000000E+000, 8.8375207E+000
 7.8258631E+000, 9.9999962E-001, 9.9999962E-001, 2.2204460E-016, 1.0000000E+000, 8.9122421E+000
 7.9146932E+000, 9.9999968E-001, 9.9999968E-001, 2.2204460E-016, 1.0000000E+000, 8.9877998E+000
 8.0035234E+000, 9.9999973E-001, 9.9999973E-001, 2.2204460E-016, 1.0000000E+000, 9.0540754E+000
 8.0923535E+000, 9.9999978E-001, 9.9999978E-001, 2.2204460E-016, 1.0000000E+000, 9.1159383E+000
 8.1811836E+000, 9.9999981E-001, 9.9999981E-001, 2.2204460E-016, 1.0000000E+000, 9.1745721E+000
 8.2700137E+000, 9.9999984E-001, 9.9999984E-001, 2.2204460E-016, 1.0000000E+000, 9.2330495E+000
 8.3588439E+000, 9.9999987E-001, 9.9999987E-001, 4.4408921E-016, 1.0000000E+000, 9.2909643E+000
 8.4476740E+000, 9.9999989E-001, 9.9999989E-001, 2.2204460E-016, 1.0000000E+000, 9.3579189E+000
 8.5365041E+000, 9.9999991E-001, 9.9999991E-001, 2.2204460E-016, 1.0000000E+000, 9.4328662E+000
 8.6253343E+000, 9.9999992E-001, 9.9999992E-001, 2.2204460E-016, 1.0000000E+000, 9.4995834E+000
 8.7141644E+000, 9.9999994E-001, 9.9999994E-001, 2.2204460E-016, 1.0000000E+000, 9.6640750E+000
 8.8029945E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000, 9.7574684E+000
 8.8918247E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000, 9.8246376E+000
 8.9806548E+000, 9.9999996E-001, 9.9999996E-001, 2.2204460E-016, 1.0000000E+000, 9.8859998E+000
 9.0694849E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 9.9442321E+000
 9.1583151E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 1.0003790E+001
 9.2471452E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 1.0067804E+001
 9.3359753E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 1.0126199E+001
 9.4248054E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 1.0189037E+001
 9.5136356E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0247179E+001
 9.6024657E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0313125E+001
 9.6912958E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0407231E+001
 9.7801260E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0473170E+001
 9.8689561E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0534794E+001
 9.9577862E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 1.0631697E+001
 1.0046616E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.0695379E+001
 1.0135446E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.0755710E+001
 1.0224277E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.0829621E+001
 1.0313107E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.0906594E+001
 1.0401937E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.0977203E+001
 1.0490767E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.1041215E+001
 1.0579597E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.1101638E+001
 1.0668427E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 1.1161404E+001
