s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0489493E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0489493E-017, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000,-3.1552538E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1552538E-016, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000, 4.0500892E-013,-3.0653148E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5460564E-011, 4.0194360E-013, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000, 8.0015017E-013,-3.3930010E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6333298E-011, 7.6622016E-013, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000, 1.1706138E-012,-1.1066834E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7509169E-011, 1.0599455E-012, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000, 1.5096848E-012,-2.4019632E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8463927E-011, 1.2694885E-012, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.8138522E-012,-4.2511406E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0081567E-010, 1.3887381E-012, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 2.1084645E-012,-6.6206540E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1641532E-010, 1.4463991E-012, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3336142E-012,-9.4615286E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2782402E-010, 1.3874613E-012, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 2.5213396E-012,-1.2719311E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4202669E-010, 1.2494084E-012, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 2.7294647E-012,-1.6275587E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5553087E-010, 1.1019060E-012, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 2.8640272E-012,-2.0066548E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088597E-010, 8.5737243E-013, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9963445E-012,-2.4024183E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6973354E-010, 5.9392621E-013, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000, 3.0968579E-012,-2.8067179E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8021092E-010, 2.9013997E-013, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000, 3.2188154E-012,-3.2187560E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8416904E-010, 5.9461128E-017, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000, 3.3388403E-012,-3.6368840E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9441359E-010,-2.9804367E-013, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4186769E-012,-4.0618056E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9348226E-010,-6.4312869E-013, 0.0000000E+000, 0.0000000E+000
