s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 6.3549200E-001
 1.2500000E-001, 0.0000000E+000, 1.9784627E-003, 2.1684043E-019, 1.0000000E+000, 1.1168700E+000
 2.5000000E-001, 1.2435300E-001, 1.2435300E-001, 2.7755576E-017, 1.0000000E+001, 1.6422880E+000
 3.7500000E-001, 2.4491866E-001, 2.4491866E-001, 5.5511151E-017, 1.0000000E+001, 2.1146560E+000
 5.0000000E-001, 3.5835740E-001, 3.5835740E-001, 1.1102230E-016, 1.0000000E+001, 2.6226530E+000
 6.2500000E-001, 4.6211716E-001, 4.6211716E-001, 1.1102230E-016, 1.0000000E+001, 3.1039689E+000
 7.5000000E-001, 5.5459972E-001, 5.5459972E-001, 2.2204460E-016, 1.0000000E+001, 3.6403439E+000
 8.7500000E-001, 6.3514895E-001, 6.3514895E-001, 1.1102230E-016, 1.0000000E+001, 4.1421659E+000
 1.0000000E+000, 7.0390560E-001, 7.0390560E-001, 2.2204460E-016, 1.0000000E+001, 5.3433230E+000
 1.1250000E+000, 7.6159416E-001, 7.6159416E-001, 1.1102230E-016, 1.0000000E+001, 5.8382309E+000
 1.2500000E+000, 8.0930107E-001, 8.0930107E-001, 2.2204460E-016, 1.0000000E+001, 6.3172658E+000
 1.3750000E+000, 8.4828364E-001, 8.4828364E-001, 1.1102230E-016, 4.0000000E+000, 6.7755058E+000
 1.5000000E+000, 8.7982670E-001, 8.7982670E-001, 2.2204460E-016, 4.0000000E+000, 7.2244490E+000
 1.6250000E+000, 9.0514825E-001, 9.0514825E-001, 1.1102230E-016, 1.0000000E+000, 7.6691888E+000
 1.7500000E+000, 9.2534623E-001, 9.2534623E-001, 2.2204460E-016, 1.0000000E+000, 8.1441028E+000
 1.8750000E+000, 9.4137554E-001, 9.4137554E-001, 2.2204460E-016, 1.0000000E+000, 8.5998638E+000
 2.0000000E+000, 9.5404526E-001, 9.5404526E-001, 2.2204460E-016, 1.0000000E+000, 9.0393541E+000
 2.1250000E+000, 9.6402758E-001, 9.6402758E-001, 2.2204460E-016, 1.0000000E+000, 9.4816406E+000
 2.2500000E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000, 9.9280022E+000
 2.3620559E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000, 1.0579654E+001
 2.4741118E+000, 9.8239908E-001, 9.8239908E-001, 2.2204460E-016, 1.0000000E+000, 1.1038606E+001
 2.5861677E+000, 9.8590799E-001, 9.8590799E-001, 2.2204460E-016, 1.0000000E+000, 1.1496161E+001
 2.6982236E+000, 9.8872135E-001, 9.8872135E-001, 2.2204460E-016, 1.0000000E+000, 1.1949888E+001
 2.8102795E+000, 9.9097559E-001, 9.9097559E-001, 2.2204460E-016, 1.0000000E+000, 1.2397680E+001
 2.9223354E+000, 9.9278092E-001, 9.9278092E-001, 2.2204460E-016, 1.0000000E+000, 1.2876821E+001
 3.0343913E+000, 9.9422614E-001, 9.9422614E-001, 2.2204460E-016, 1.0000000E+000, 1.3319230E+001
 3.1464472E+000, 9.9538271E-001, 9.9538271E-001, 2.2204460E-016, 1.0000000E+000, 1.3764736E+001
 3.2585031E+000, 9.9630803E-001, 9.9630803E-001, 2.2204460E-016, 1.0000000E+000, 1.4215418E+001
 3.3705590E+000, 9.9704819E-001, 9.9704819E-001, 2.2204460E-016, 1.0000000E+000, 1.4690186E+001
 3.4826149E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000, 1.5135933E+001
 3.5819144E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000, 1.5776321E+001
 3.6812139E+000, 9.9845303E-001, 9.9845303E-001, 2.2204460E-016, 1.0000000E+000, 1.6224147E+001
 3.7805134E+000, 9.9873149E-001, 9.9873149E-001, 2.2204460E-016, 1.0000000E+000, 1.6873519E+001
 3.8798129E+000, 9.9895986E-001, 9.9895986E-001, 2.2204460E-016, 1.0000000E+000, 1.7330619E+001
 3.9791124E+000, 9.9914713E-001, 9.9914713E-001, 2.2204460E-016, 1.0000000E+000, 1.7777039E+001
 4.0784119E+000, 9.9930070E-001, 9.9930070E-001, 2.2204460E-016, 1.0000000E+000, 1.8224292E+001
 4.1777114E+000, 9.9942662E-001, 9.9942662E-001, 2.2204460E-016, 1.0000000E+000, 1.8672223E+001
 4.2770109E+000, 9.9952987E-001, 9.9952987E-001, 2.2204460E-016, 1.0000000E+000, 1.9118056E+001
 4.3763104E+000, 9.9961454E-001, 9.9961454E-001, 2.2204460E-016, 1.0000000E+000, 1.9563109E+001
 4.4756099E+000, 9.9968396E-001, 9.9968396E-001, 2.2204460E-016, 1.0000000E+000, 2.0018355E+001
 4.5749094E+000, 9.9974088E-001, 9.9974088E-001, 2.2204460E-016, 1.0000000E+000, 2.0466731E+001
 4.6742089E+000, 9.9978754E-001, 9.9978754E-001, 2.2204460E-016, 1.0000000E+000, 2.0917575E+001
 4.7735084E+000, 9.9982581E-001, 9.9982581E-001, 2.2204460E-016, 1.0000000E+000, 2.1389348E+001
 4.8728079E+000, 9.9985718E-001, 9.9985718E-001, 2.2204460E-016, 1.0000000E+000, 2.1825570E+001
 4.9721074E+000, 9.9988291E-001, 9.9988291E-001, 2.2204460E-016, 1.0000000E+000, 2.2268431E+001
 5.0714069E+000, 9.9990400E-001, 9.9990400E-001, 2.2204460E-016, 1.0000000E+000, 2.2808827E+001
 5.1707064E+000, 9.9992129E-001, 9.9992129E-001, 2.2204460E-016, 1.0000000E+000, 2.3251681E+001
 5.2700059E+000, 9.9993546E-001, 9.9993546E-001, 2.2204460E-016, 1.0000000E+000, 2.3691663E+001
 5.3693054E+000, 9.9994709E-001, 9.9994709E-001, 2.2204460E-016, 1.0000000E+000, 2.4133658E+001
 5.4686049E+000, 9.9995662E-001, 9.9995662E-001, 2.2204460E-016, 1.0000000E+000, 2.4586278E+001
 5.5679044E+000, 9.9996443E-001, 9.9996443E-001, 2.2204460E-016, 1.0000000E+000, 2.5064896E+001
 5.6672039E+000, 9.9997084E-001, 9.9997084E-001, 2.2204460E-016, 1.0000000E+000, 2.5637254E+001
 5.7665034E+000, 9.9997609E-001, 9.9997609E-001, 2.2204460E-016, 1.0000000E+000, 2.6074441E+001
 5.8658029E+000, 9.9998040E-001, 9.9998040E-001, 2.2204460E-016, 1.0000000E+000, 2.6513119E+001
 5.9651024E+000, 9.9998393E-001, 9.9998393E-001, 2.2204460E-016, 1.0000000E+000, 2.6943080E+001
 6.0644019E+000, 9.9998682E-001, 9.9998682E-001, 2.2204460E-016, 1.0000000E+000, 2.7370259E+001
 6.1637014E+000, 9.9998920E-001, 9.9998920E-001, 2.2204460E-016, 1.0000000E+000, 2.7833703E+001
 6.2630009E+000, 9.9999114E-001, 9.9999114E-001, 2.2204460E-016, 1.0000000E+000, 2.8292683E+001
 6.3623004E+000, 9.9999274E-001, 9.9999274E-001, 2.2204460E-016, 1.0000000E+000, 2.8774628E+001
 6.4615999E+000, 9.9999405E-001, 9.9999405E-001, 2.2204460E-016, 1.0000000E+000, 2.9208176E+001
 6.5608994E+000, 9.9999512E-001, 9.9999512E-001, 2.2204460E-016, 1.0000000E+000, 2.9637858E+001
 6.6601989E+000, 9.9999600E-001, 9.9999600E-001, 2.2204460E-016, 1.0000000E+000, 3.0070044E+001
 6.7594984E+000, 9.9999672E-001, 9.9999672E-001, 4.4408921E-016, 1.0000000E+000, 3.0511037E+001
 6.8483529E+000, 9.9999672E-001, 9.9999672E-001, 2.2204460E-016, 1.0000000E+000, 3.1101443E+001
 6.9372073E+000, 9.9999775E-001, 9.9999775E-001, 2.2204460E-016, 1.0000000E+000, 3.1534642E+001
 7.0260618E+000, 9.9999811E-001, 9.9999811E-001, 4.4408921E-016, 1.0000000E+000, 3.1983245E+001
 7.1149163E+000, 9.9999842E-001, 9.9999842E-001, 2.2204460E-016, 1.0000000E+000, 3.2424453E+001
 7.2037708E+000, 9.9999868E-001, 9.9999868E-001, 2.2204460E-016, 1.0000000E+000, 3.2857547E+001
 7.2926252E+000, 9.9999889E-001, 9.9999889E-001, 2.2204460E-016, 1.0000000E+000, 3.3287699E+001
 7.3814797E+000, 9.9999907E-001, 9.9999907E-001, 2.2204460E-016, 1.0000000E+000, 3.3720244E+001
 7.4703342E+000, 9.9999922E-001, 9.9999922E-001, 4.4408921E-016, 1.0000000E+000, 3.4271888E+001
 7.5591886E+000, 9.9999935E-001, 9.9999935E-001, 2.2204460E-016, 1.0000000E+000, 3.5064845E+001
 7.6480431E+000, 9.9999946E-001, 9.9999946E-001, 2.2204460E-016, 1.0000000E+000, 3.5520816E+001
 7.7368976E+000, 9.9999954E-001, 9.9999954E-001, 2.2204460E-016, 1.0000000E+000, 3.5981334E+001
 7.8257521E+000, 9.9999962E-001, 9.9999962E-001, 2.2204460E-016, 1.0000000E+000, 3.6419265E+001
 7.9146065E+000, 9.9999968E-001, 9.9999968E-001, 4.4408921E-016, 1.0000000E+000, 3.6857337E+001
 8.0034610E+000, 9.9999973E-001, 9.9999973E-001, 2.2204460E-016, 1.0000000E+000, 3.7295005E+001
 8.0923155E+000, 9.9999978E-001, 9.9999978E-001, 4.4408921E-016, 1.0000000E+000, 3.7730433E+001
 8.1811700E+000, 9.9999981E-001, 9.9999981E-001, 2.2204460E-016, 1.0000000E+000, 3.8179782E+001
 8.2700244E+000, 9.9999984E-001, 9.9999984E-001, 2.2204460E-016, 1.0000000E+000, 3.8775134E+001
 8.3588789E+000, 9.9999987E-001, 9.9999987E-001, 2.2204460E-016, 1.0000000E+000, 3.9210513E+001
 8.4477334E+000, 9.9999989E-001, 9.9999989E-001, 2.2204460E-016, 1.0000000E+000, 3.9655078E+001
 8.5365878E+000, 9.9999991E-001, 9.9999991E-001, 2.2204460E-016, 1.0000000E+000, 4.0089316E+001
 8.6254423E+000, 9.9999992E-001, 9.9999992E-001, 2.2204460E-016, 1.0000000E+000, 4.0525924E+001
 8.7142968E+000, 9.9999994E-001, 9.9999994E-001, 2.2204460E-016, 1.0000000E+000, 4.0988963E+001
 8.8031513E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000, 4.1455748E+001
 8.8920057E+000, 9.9999995E-001, 9.9999995E-001, 4.4408921E-016, 1.0000000E+000, 4.1885688E+001
 8.9808602E+000, 9.9999996E-001, 9.9999996E-001, 2.2204460E-016, 1.0000000E+000, 4.2429045E+001
 9.0697147E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 4.2874442E+001
 9.1585692E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 4.3308886E+001
 9.2474236E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 4.3747577E+001
 9.3362781E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 4.4188304E+001
 9.4251326E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 4.4626353E+001
 9.5139870E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.5059848E+001
 9.6028415E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.5492507E+001
 9.6916960E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.5963679E+001
 9.7805505E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.6413951E+001
 9.8694049E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.6848307E+001
 9.9582594E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 4.7306365E+001
 1.0047114E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.7756888E+001
 1.0135968E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.8203704E+001
 1.0224823E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.8657531E+001
 1.0313677E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.9114962E+001
 1.0402532E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.9565718E+001
 1.0491386E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.0014033E+001
 1.0580241E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.0471694E+001
 1.0669095E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.0920111E+001
 1.0757950E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000, 5.1386962E+001
 1.0846804E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000, 5.1859595E+001
 1.0935659E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.2301905E+001
 1.1024513E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.2752829E+001
 1.1113368E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.3204047E+001
 1.1202222E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.3676829E+001
 1.1291077E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.4120589E+001
 1.1379931E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.4565993E+001
 1.1468785E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.5017058E+001
 1.1557640E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.5491454E+001
 1.1646494E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.5943217E+001
 1.1735349E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.6414828E+001
 1.1824203E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.6865088E+001
 1.1913058E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.7315470E+001
 1.2001912E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.7766974E+001
 1.2090767E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.8225985E+001
 1.2179621E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.8680880E+001
 1.2268476E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.9150916E+001
 1.2357330E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 5.9602816E+001
 1.2446185E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.0076789E+001
 1.2535039E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.0545508E+001
 1.2623894E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.0993182E+001
 1.2712748E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.1477237E+001
 1.2801603E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.1930533E+001
 1.2890457E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.2395476E+001
 1.2979311E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.2863444E+001
 1.3068166E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.3436728E+001
 1.3157020E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.3902507E+001
 1.3245875E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000, 6.4482234E+001
 1.3334729E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.4946337E+001
 1.3423584E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.5534671E+001
 1.3512438E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.5997500E+001
 1.3601293E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.6450923E+001
 1.3690147E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.6935756E+001
 1.3779002E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.7430194E+001
 1.3867856E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.7888377E+001
 1.3956711E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 6.8346804E+001
