,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:46.941+02:00,   0.125E+00,   0.12500,   1.12582
      2,2020-06-26T16:17:47.202+02:00,   0.125E+00,   0.25000,   1.64775
      3,2020-06-26T16:17:47.464+02:00,   0.125E+00,   0.37500,   2.14586
      4,2020-06-26T16:17:47.705+02:00,   0.125E+00,   0.50000,   2.62815
      5,2020-06-26T16:17:47.946+02:00,   0.125E+00,   0.62500,   3.10956
      6,2020-06-26T16:17:48.239+02:00,   0.125E+00,   0.75000,   3.64593
      7,2020-06-26T16:17:48.495+02:00,   0.125E+00,   0.87500,   4.14769
      8,2020-06-26T16:17:49.116+02:00,   0.125E+00,   1.00000,   5.34999
      9,2020-06-26T16:17:49.363+02:00,   0.125E+00,   1.12500,   5.84408
     10,2020-06-26T16:17:49.603+02:00,   0.125E+00,   1.25000,   6.32279
     20,2020-06-26T16:17:51.977+02:00,   0.112E+00,   2.47411,  11.04573
     30,2020-06-26T16:17:54.363+02:00,   0.993E-01,   3.58191,  15.78147
     40,2020-06-26T16:17:56.717+02:00,   0.993E-01,   4.57491,  20.47936
     50,2020-06-26T16:17:59.086+02:00,   0.993E-01,   5.56790,  25.14469
     60,2020-06-26T16:18:01.348+02:00,   0.993E-01,   6.56090,  29.64357
     70,2020-06-26T16:18:03.680+02:00,   0.889E-01,   7.47033,  34.28333
     80,2020-06-26T16:18:06.175+02:00,   0.889E-01,   8.35888,  39.21701
     90,2020-06-26T16:18:08.454+02:00,   0.889E-01,   9.24742,  43.75387
    100,2020-06-26T16:18:10.705+02:00,   0.889E-01,  10.13597,  48.20955
    200,2020-06-26T16:18:34.546+02:00,   0.889E-01,  19.02142,  95.35111
    300,2020-06-26T16:19:00.202+02:00,   0.889E-01,  27.90686, 144.95979
    400,2020-06-26T16:19:25.692+02:00,   0.889E-01,  36.79231, 194.77240
    500,2020-06-26T16:19:51.118+02:00,   0.889E-01,  45.67776, 243.86497
    600,2020-06-26T16:20:16.901+02:00,   0.799E-01,  53.71320, 293.64578
    679,2020-06-26T16:20:36.861+02:00,   0.541E-01,  60.00000, 332.25770
