s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.1834628E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1834628E-003, 0.0000000E+000, 0.0000000E+000
 9.8821178E-002, 2.0971874E+000,-1.6152882E-004,-1.6432495E-003, 8.3737158E-009,-3.5816073E-004, 0.0000000E+000, 0.0000000E+000,-7.1952642E-004, 2.0950244E+000, 2.5717319E-004, 2.5717319E-004
 1.4823176E-001, 9.6732223E+000,-1.3371887E-001, 2.2633080E-003,-1.1560949E-002,-6.4757590E-004, 0.0000000E+000, 0.0000000E+000, 4.2565070E+000, 9.5295582E+000, 5.1185720E-004, 5.1185720E-004
 1.9764236E-001, 1.5948240E+001,-5.4904496E-001, 8.4547322E-002,-6.2069362E-002,-1.0245214E-003, 0.0000000E+000, 0.0000000E+000, 9.6469470E+000, 1.5420649E+001, 6.7865385E-004, 6.7865385E-004
 2.4705294E-001, 2.2693399E+001,-2.2263730E+000, 1.6884238E-001,-1.9206206E-001,-1.4472355E-003, 0.0000000E+000, 0.0000000E+000, 1.5443389E+001, 2.0442360E+001, 8.4226780E-004, 8.4226780E-004
 3.4587413E-001, 3.3225823E+001,-1.9110003E+001, 2.6315306E-001,-5.7699370E-001,-1.7112110E-003, 0.0000000E+000, 0.0000000E+000, 1.9878640E+001, 1.3800268E+001, 1.0796500E-003, 1.0796500E-003
 3.9528471E-001, 4.3830084E+001,-2.5052496E+001, 2.8465269E-001,-7.1454840E-001,-2.1835768E-003, 0.0000000E+000, 0.0000000E+000, 7.5317419E+000, 1.8345509E+001, 1.3075334E-003, 1.3075334E-003
 4.4469529E-001, 2.5221955E+001,-1.8412955E+001, 2.2771839E-001,-8.9447677E-001,-2.3277440E-003, 0.0000000E+000, 0.0000000E+000, 1.7804188E+001, 6.1399144E+000, 1.4523076E-003, 1.4523076E-003
 4.9410588E-001, 2.6121989E+001,-8.6409605E+000, 1.5927780E-001,-6.7807592E-001,-3.1866158E-003, 0.0000000E+000, 0.0000000E+000, 5.6894383E+000, 1.6959044E+001, 1.5912338E-003, 1.5912338E-003
 5.7462132E-001, 2.3886008E+001,-1.0588021E+001, 9.2718591E-002,-6.1974516E-001,-3.8865024E-003, 0.0000000E+000, 0.0000000E+000, 1.3694330E+001, 1.2767074E+001, 1.7521356E-003, 1.7521356E-003
 6.0791939E-001, 2.4023673E+001,-7.2542690E+000, 6.0318413E-002,-4.8672278E-001,-4.5733946E-003, 0.0000000E+000, 0.0000000E+000, 1.4938078E+001, 1.6338426E+001, 1.8875596E-003, 1.8875596E-003
 6.7078930E-001, 3.3002490E+001,-8.1283077E+000, 1.7544575E-001,-3.8933406E-001,-5.1075745E-003, 0.0000000E+000, 0.0000000E+000, 1.8789646E+001, 2.4655187E+001, 2.0001419E-003, 2.0001419E-003
 7.3500043E-001, 5.3747551E+001,-1.7253305E+001, 3.5789317E-001,-4.1349726E-001,-5.6234502E-003, 0.0000000E+000, 0.0000000E+000, 3.3781599E+001, 3.6433018E+001, 2.1317228E-003, 2.1317228E-003
 7.9243803E-001, 6.4917550E+001,-2.2891926E+001, 4.9964750E-001,-4.9300151E-001,-5.9714885E-003, 0.0000000E+000, 0.0000000E+000, 3.8408995E+001, 4.2026298E+001, 2.2567107E-003, 2.2567107E-003
 8.4754157E-001, 7.5576874E+001,-2.4334971E+001, 5.6361084E-001,-5.7067303E-001,-6.1270392E-003, 0.0000000E+000, 0.0000000E+000, 4.7614634E+001, 5.1228714E+001, 2.3651182E-003, 2.3651182E-003
