,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:52.147+02:00,   0.494E-01,   0.04941,   8.22531
      2,2020-06-26T16:17:52.290+02:00,   0.494E-01,   0.09882,   8.79225
      3,2020-06-26T16:17:52.431+02:00,   0.494E-01,   0.14823,   9.35627
      4,2020-06-26T16:17:52.612+02:00,   0.494E-01,   0.19764,  10.07313
      5,2020-06-26T16:17:52.732+02:00,   0.494E-01,   0.24705,  10.55162
      6,2020-06-26T16:17:52.872+02:00,   0.494E-01,   0.29646,  11.11118
      7,2020-06-26T16:17:53.075+02:00,   0.494E-01,   0.34587,  11.92227
      8,2020-06-26T16:17:53.249+02:00,   0.494E-01,   0.39528,  12.61844
      9,2020-06-26T16:17:53.434+02:00,   0.494E-01,   0.44470,  13.35361
     10,2020-06-26T16:17:53.666+02:00,   0.494E-01,   0.49411,  14.28077
     20,2020-06-26T16:17:56.088+02:00,   0.212E-01,   0.78226,  23.83483
     30,2020-06-26T16:17:58.524+02:00,   0.103E-01,   0.92896,  33.11744
     40,2020-06-26T16:18:00.143+02:00,   0.103E-01,   1.03156,  39.59174
     50,2020-06-26T16:18:02.078+02:00,   0.103E-01,   1.13417,  46.48235
     60,2020-06-26T16:18:03.661+02:00,   0.761E-02,   1.22402,  52.73147
     70,2020-06-26T16:18:05.052+02:00,   0.681E-02,   1.29693,  58.29377
     80,2020-06-26T16:18:06.341+02:00,   0.749E-02,   1.36709,  63.44186
     90,2020-06-26T16:18:07.884+02:00,   0.711E-02,   1.44385,  69.60557
    100,2020-06-26T16:18:09.340+02:00,   0.782E-02,   1.52208,  75.41248
    200,2020-06-26T16:18:25.511+02:00,   0.747E-02,   2.34628, 139.88183
    300,2020-06-26T16:18:42.706+02:00,   0.975E-02,   3.21262, 208.47801
    400,2020-06-26T16:19:05.461+02:00,   0.884E-02,   4.09996, 298.84712
    500,2020-06-26T16:19:35.902+02:00,   0.103E-01,   5.04482, 419.59564
    600,2020-06-26T16:20:25.356+02:00,   0.101E-01,   5.98441, 615.92513
    700,2020-06-26T16:21:22.253+02:00,   0.109E-01,   6.91377, 842.33734
    800,2020-06-26T16:22:27.522+02:00,   0.918E-02,   7.90122,1101.93403
    900,2020-06-26T16:23:28.274+02:00,   0.891E-02,   8.87748,1343.81531
   1000,2020-06-26T16:24:28.609+02:00,   0.115E-01,   9.96962,1583.30849
   1100,2020-06-26T16:25:27.820+02:00,   0.106E-01,  11.10660,1818.35187
   1200,2020-06-26T16:26:24.382+02:00,   0.103E-01,  12.17607,2043.11076
   1300,2020-06-26T16:27:21.843+02:00,   0.113E-01,  13.22559,2271.40365
   1400,2020-06-26T16:28:16.966+02:00,   0.116E-01,  14.39369,2490.75335
   1500,2020-06-26T16:29:04.496+02:00,   0.114E-01,  15.47365,2679.96898
   1600,2020-06-26T16:29:50.918+02:00,   0.104E-01,  16.51974,2864.54645
   1700,2020-06-26T16:30:36.406+02:00,   0.985E-02,  17.62857,3045.28222
   1800,2020-06-26T16:31:22.229+02:00,   0.112E-01,  18.74004,3227.64963
   1900,2020-06-26T16:32:09.205+02:00,   0.116E-01,  19.83979,3414.45847
   2000,2020-06-26T16:32:53.666+02:00,   0.113E-01,  20.90458,3591.46180
   2100,2020-06-26T16:33:39.417+02:00,   0.922E-02,  21.97093,3773.55049
   2200,2020-06-26T16:34:24.702+02:00,   0.119E-01,  23.16184,3953.75340
   2300,2020-06-26T16:35:06.016+02:00,   0.104E-01,  24.27380,4118.04207
   2400,2020-06-26T16:35:44.653+02:00,   0.100E-01,  25.32719,4271.55432
   2500,2020-06-26T16:36:25.624+02:00,   0.118E-01,  26.40779,4434.48293
   2600,2020-06-26T16:37:02.580+02:00,   0.106E-01,  27.51202,4581.36701
   2700,2020-06-26T16:37:39.981+02:00,   0.115E-01,  28.64967,4730.27316
   2800,2020-06-26T16:38:16.583+02:00,   0.102E-01,  29.78899,4875.44210
   2900,2020-06-26T16:38:51.372+02:00,   0.104E-01,  30.84706,5013.87508
   3000,2020-06-26T16:39:24.986+02:00,   0.999E-02,  31.89827,5147.71459
   3100,2020-06-26T16:39:57.283+02:00,   0.115E-01,  33.01234,5276.21202
   3200,2020-06-26T16:40:32.015+02:00,   0.125E-01,  34.17871,5414.34399
   3300,2020-06-26T16:41:04.965+02:00,   0.117E-01,  35.29635,5544.98596
   3400,2020-06-26T16:41:37.903+02:00,   0.107E-01,  36.43909,5676.03529
   3500,2020-06-26T16:42:11.250+02:00,   0.126E-01,  37.55671,5808.65658
   3600,2020-06-26T16:42:45.160+02:00,   0.121E-01,  38.74569,5943.14964
   3700,2020-06-26T16:43:15.505+02:00,   0.113E-01,  39.90917,6063.75505
   3800,2020-06-26T16:43:46.430+02:00,   0.122E-01,  41.05491,6186.94208
   3900,2020-06-26T16:44:14.543+02:00,   0.107E-01,  42.18545,6298.25477
   4000,2020-06-26T16:44:45.115+02:00,   0.112E-01,  43.28943,6419.80080
   4100,2020-06-26T16:45:15.571+02:00,   0.123E-01,  44.42225,6540.59687
   4200,2020-06-26T16:45:45.205+02:00,   0.106E-01,  45.56033,6658.11324
   4300,2020-06-26T16:46:14.640+02:00,   0.136E-01,  46.72328,6775.32196
   4400,2020-06-26T16:46:44.817+02:00,   0.119E-01,  47.95762,6895.45180
   4500,2020-06-26T16:47:15.715+02:00,   0.120E-01,  49.11758,7017.11211
   4600,2020-06-26T16:47:45.231+02:00,   0.101E-01,  50.28863,7134.57607
