,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:10:13.894+01:00,   0.494E-01,   0.04941
      2,2020-02-19T19:10:13.965+01:00,   0.494E-01,   0.09882
      3,2020-02-19T19:10:14.033+01:00,   0.494E-01,   0.14823
      4,2020-02-19T19:10:14.148+01:00,   0.494E-01,   0.19764
      5,2020-02-19T19:10:14.219+01:00,   0.494E-01,   0.24705
      6,2020-02-19T19:10:14.281+01:00,   0.494E-01,   0.29646
      7,2020-02-19T19:10:14.378+01:00,   0.494E-01,   0.34587
      8,2020-02-19T19:10:14.445+01:00,   0.494E-01,   0.39528
      9,2020-02-19T19:10:14.526+01:00,   0.494E-01,   0.44470
     10,2020-02-19T19:10:14.617+01:00,   0.494E-01,   0.49411
     20,2020-02-19T19:10:15.447+01:00,   0.233E-01,   0.77230
     30,2020-02-19T19:10:16.329+01:00,   0.105E-01,   0.92070
     40,2020-02-19T19:10:17.084+01:00,   0.105E-01,   1.02538
     50,2020-02-19T19:10:17.812+01:00,   0.105E-01,   1.13006
     60,2020-02-19T19:10:18.569+01:00,   0.756E-02,   1.21868
     70,2020-02-19T19:10:19.299+01:00,   0.756E-02,   1.29427
     80,2020-02-19T19:10:19.999+01:00,   0.831E-02,   1.37136
     90,2020-02-19T19:10:20.780+01:00,   0.809E-02,   1.44950
    100,2020-02-19T19:10:21.506+01:00,   0.809E-02,   1.53043
    200,2020-02-19T19:10:29.094+01:00,   0.808E-02,   2.36608
    300,2020-02-19T19:10:36.963+01:00,   0.823E-02,   3.20569
    400,2020-02-19T19:10:45.517+01:00,   0.893E-02,   4.10853
    500,2020-02-19T19:10:54.633+01:00,   0.900E-02,   5.03090
    600,2020-02-19T19:11:04.486+01:00,   0.116E-01,   6.02213
    700,2020-02-19T19:11:14.449+01:00,   0.993E-02,   6.93690
    800,2020-02-19T19:11:24.395+01:00,   0.932E-02,   7.90991
    900,2020-02-19T19:11:34.736+01:00,   0.112E-01,   8.93160
   1000,2020-02-19T19:11:45.270+01:00,   0.948E-02,  10.05627
   1100,2020-02-19T19:11:55.571+01:00,   0.103E-01,  11.09803
   1200,2020-02-19T19:12:06.276+01:00,   0.102E-01,  12.15311
   1300,2020-02-19T19:12:16.816+01:00,   0.106E-01,  13.30939
   1400,2020-02-19T19:12:27.097+01:00,   0.106E-01,  14.31814
   1500,2020-02-19T19:12:37.294+01:00,   0.113E-01,  15.41586
   1600,2020-02-19T19:12:47.950+01:00,   0.942E-02,  16.47593
   1700,2020-02-19T19:12:58.201+01:00,   0.108E-01,  17.53943
   1800,2020-02-19T19:13:08.624+01:00,   0.102E-01,  18.68229
   1900,2020-02-19T19:13:18.795+01:00,   0.122E-01,  19.77612
   2000,2020-02-19T19:13:29.042+01:00,   0.116E-01,  20.90860
   2100,2020-02-19T19:13:39.066+01:00,   0.125E-01,  22.03230
   2200,2020-02-19T19:13:49.242+01:00,   0.125E-01,  23.18944
   2300,2020-02-19T19:13:59.743+01:00,   0.110E-01,  24.28346
   2400,2020-02-19T19:14:09.906+01:00,   0.128E-01,  25.36188
   2500,2020-02-19T19:14:20.219+01:00,   0.113E-01,  26.42678
   2600,2020-02-19T19:14:30.227+01:00,   0.121E-01,  27.57126
   2700,2020-02-19T19:14:40.100+01:00,   0.105E-01,  28.61303
   2800,2020-02-19T19:14:50.238+01:00,   0.102E-01,  29.65888
   2900,2020-02-19T19:15:00.050+01:00,   0.108E-01,  30.75660
   3000,2020-02-19T19:15:09.953+01:00,   0.126E-01,  31.91968
   3100,2020-02-19T19:15:19.934+01:00,   0.106E-01,  33.05282
   3200,2020-02-19T19:15:29.939+01:00,   0.124E-01,  34.18167
   3300,2020-02-19T19:15:40.154+01:00,   0.119E-01,  35.40235
   3400,2020-02-19T19:15:50.160+01:00,   0.119E-01,  36.59436
   3500,2020-02-19T19:16:00.444+01:00,   0.833E-02,  37.65793
   3600,2020-02-19T19:16:11.019+01:00,   0.124E-01,  38.80444
   3700,2020-02-19T19:16:21.186+01:00,   0.116E-01,  39.97245
   3800,2020-02-19T19:16:31.624+01:00,   0.104E-01,  41.06692
   3900,2020-02-19T19:16:41.909+01:00,   0.121E-01,  42.27982
   4000,2020-02-19T19:16:52.337+01:00,   0.107E-01,  43.40555
   4100,2020-02-19T19:17:02.527+01:00,   0.131E-01,  44.56597
   4200,2020-02-19T19:17:12.583+01:00,   0.118E-01,  45.77700
   4300,2020-02-19T19:17:22.547+01:00,   0.127E-01,  46.90812
   4400,2020-02-19T19:17:32.711+01:00,   0.119E-01,  48.06864
   4500,2020-02-19T19:17:42.584+01:00,   0.130E-01,  49.31398
   4600,2020-02-19T19:17:52.867+01:00,   0.135E-01,  50.53010
   4700,2020-02-19T19:18:03.190+01:00,   0.124E-01,  51.72205
   4800,2020-02-19T19:18:13.496+01:00,   0.108E-01,  52.90463
   4900,2020-02-19T19:18:23.948+01:00,   0.126E-01,  54.11035
   5000,2020-02-19T19:18:34.401+01:00,   0.115E-01,  55.32123
   5100,2020-02-19T19:18:44.493+01:00,   0.999E-02,  56.46408
   5200,2020-02-19T19:18:54.689+01:00,   0.129E-01,  57.65553
   5300,2020-02-19T19:19:05.104+01:00,   0.118E-01,  58.91619
   5386,2020-02-19T19:19:14.020+01:00,   0.104E-01,  60.00000
