Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 3.887E-01, 1.872E+00, 6.128E-01, 1.722E+00, 7.262E-01, 1.408E+00, 5.606E+00, 0.000E+00, 6.928E-01, 0.000E+00, 2.793E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    1, 3.490E-01, 1.451E+00, 5.189E-01, 1.587E+00, 6.930E-01, 1.076E+00, 5.581E+00, 0.000E+00, 6.703E-01, 0.000E+00, 2.903E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    2, 3.857E-01, 1.854E+00, 6.144E-01, 1.719E+00, 7.357E-01, 1.451E+00, 5.552E+00, 0.000E+00, 6.803E-01, 0.000E+00, 2.797E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    3, 3.471E-01, 1.445E+00, 5.239E-01, 1.568E+00, 6.962E-01, 1.069E+00, 5.345E+00, 0.000E+00, 6.656E-01, 0.000E+00, 2.930E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    4, 4.030E-01, 1.931E+00, 6.279E-01, 1.875E+00, 8.069E-01, 1.528E+00, 1.126E+01, 0.000E+00, 7.714E-01, 0.000E+00, 2.175E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    5, 3.755E-01, 1.522E+00, 5.543E-01, 1.705E+00, 7.662E-01, 1.159E+00, 1.023E+01, 0.000E+00, 7.411E-01, 0.000E+00, 2.390E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    6, 3.643E-01, 1.944E+00, 6.195E-01, 1.748E+00, 7.507E-01, 1.530E+00, 5.328E+00, 0.000E+00, 7.072E-01, 0.000E+00, 2.797E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    7, 3.486E-01, 1.469E+00, 5.291E-01, 1.588E+00, 7.154E-01, 1.136E+00, 6.431E+00, 0.000E+00, 6.888E-01, 0.000E+00, 2.805E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    8, 3.745E-01, 1.898E+00, 6.114E-01, 1.703E+00, 7.556E-01, 1.449E+00, 6.013E+00, 0.000E+00, 7.023E-01, 0.000E+00, 2.745E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
    9, 3.377E-01, 1.433E+00, 5.210E-01, 1.542E+00, 6.853E-01, 1.092E+00, 5.493E+00, 0.000E+00, 6.726E-01, 0.000E+00, 2.918E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   10, 3.752E-01, 1.814E+00, 6.100E-01, 1.730E+00, 7.585E-01, 1.462E+00, 5.359E+00, 0.000E+00, 6.945E-01, 0.000E+00, 2.816E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   11, 3.730E-01, 1.480E+00, 5.263E-01, 1.714E+00, 7.455E-01, 1.127E+00, 1.020E+01, 0.000E+00, 7.438E-01, 0.000E+00, 2.405E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   12, 4.126E-01, 1.919E+00, 6.310E-01, 1.856E+00, 7.914E-01, 1.533E+00, 1.101E+01, 0.000E+00, 7.634E-01, 0.000E+00, 2.204E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   13, 3.442E-01, 1.488E+00, 5.233E-01, 1.559E+00, 7.153E-01, 1.146E+00, 5.391E+00, 0.000E+00, 6.818E-01, 0.000E+00, 2.911E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   14, 3.788E-01, 1.856E+00, 6.179E-01, 1.706E+00, 7.406E-01, 1.433E+00, 6.134E+00, 0.000E+00, 7.026E-01, 0.000E+00, 2.739E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
   15, 3.673E-01, 1.900E+00, 6.119E-01, 1.715E+00, 7.442E-01, 1.467E+00, 5.124E+00, 0.000E+00, 6.998E-01, 0.000E+00, 2.833E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.096E+01
