s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 2.4195941E-007,-4.9058180E-007,-2.0892590E-005, 1.5025278E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 3.2716419E-006,-1.8660480E-006, 1.9275208E-005, 1.6592598E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 2.5307024E-005,-6.6189902E-006, 5.2249652E-004, 1.5656872E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 1.1284143E-004,-8.4959387E-006, 2.9976714E-003, 1.5053065E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 3.5096975E-004, 2.9236771E-005, 1.0738546E-002, 1.3404127E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 8.4998312E-004, 1.9642177E-004, 2.8814849E-002, 1.2290252E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 1.7138895E-003, 6.4127109E-004, 6.3161382E-002, 1.1347957E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 3.0079792E-003, 1.5490329E-003, 1.1910928E-001, 1.0488705E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 4.7428388E-003, 3.1003997E-003, 2.0000966E-001, 1.0383553E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 6.8805999E-003, 5.4253518E-003, 3.0644013E-001, 1.0444662E-002, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 9.1457962E-003, 8.0622677E-003, 3.5439963E-001, 1.1409680E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 1.1519263E-002, 1.1027066E-002, 4.1048527E-001, 1.2137301E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 1.3982865E-002, 1.4318410E-002, 4.7381529E-001, 1.3028317E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 1.6521452E-002, 1.7917052E-002, 5.4331703E-001, 1.3638010E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 1.9124202E-002, 2.1787235E-002, 6.1780921E-001, 1.3882469E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 2.1785106E-002, 2.5879281E-002, 6.9608115E-001, 1.3799307E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 2.4502671E-002, 3.0133503E-002, 7.7696641E-001, 1.3450199E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 2.7278944E-002, 3.4484687E-002, 8.5940135E-001, 1.2912210E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 3.0118191E-002, 3.8866954E-002, 9.4246780E-001, 1.3307586E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 3.3025497E-002, 4.3218320E-002, 1.0254167E+000, 1.3848649E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 3.6005611E-002, 4.7484968E-002, 1.1076747E+000, 1.4234588E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 3.9062178E-002, 5.1624635E-002, 1.1888343E+000, 1.4480009E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 4.2197475E-002, 5.5609168E-002, 1.2686305E+000, 1.4592476E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 4.5412601E-002, 5.9425932E-002, 1.3469088E+000, 1.4490112E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 4.8708047E-002, 6.3078203E-002, 1.4235890E+000, 1.4176168E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 5.2084501E-002, 6.6584445E-002, 1.4986281E+000, 1.3662512E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 5.5543696E-002, 6.9976740E-002, 1.5719893E+000, 1.3025886E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 5.9089142E-002, 7.3298468E-002, 1.6436169E+000, 1.2420927E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 6.2726565E-002, 7.6601546E-002, 1.7134201E+000, 1.2593879E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 6.6463923E-002, 7.9943352E-002, 1.7812642E+000, 1.3417238E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 7.0310973E-002, 8.3383587E-002, 1.8469680E+000, 1.3932360E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 7.4278450E-002, 8.6981114E-002, 1.9103071E+000, 1.4180988E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 7.8377033E-002, 9.0790967E-002, 1.9710214E+000, 1.4241945E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 8.2616314E-002, 9.4861612E-002, 2.0288278E+000, 1.4186955E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 8.7003968E-002, 9.9232667E-002, 2.0834366E+000, 1.4059708E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 9.1545251E-002, 1.0393320E-001, 2.1345725E+000, 1.3878477E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 9.6242842E-002, 1.0898080E-001, 2.1819957E+000, 1.3650672E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.0109695E-001, 1.1438134E-001, 2.2255222E+000, 1.3384755E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.0610556E-001, 1.2012961E-001, 2.2650404E+000, 1.3091964E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.1126470E-001, 1.2621040E-001, 2.3005202E+000, 1.2780156E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.1656859E-001, 1.3260010E-001, 2.3320151E+000, 1.2446793E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.2200967E-001, 1.3926849E-001, 2.3596566E+000, 1.2076671E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6000000E-002, 1.2757855E-001, 1.4618056E-001, 2.3836418E+000, 1.1645473E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 1.3326396E-001, 1.5329818E-001, 2.4042168E+000, 1.1126685E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-002, 1.3905264E-001, 1.6058168E-001, 2.4216573E+000, 1.0498229E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 1.4492954E-001, 1.6799108E-001, 2.4362491E+000, 9.7464768E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4000000E-002, 1.5087806E-001, 1.7548723E-001, 2.4482700E+000, 8.8670296E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.5746444E-002, 1.5614481E-001, 1.8210397E-001, 2.4726937E+000, 8.4838281E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.7492889E-002, 1.6144962E-001, 1.8874420E-001, 2.4829174E+000, 5.9455156E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9239333E-002, 1.6677955E-001, 1.9538150E-001, 2.4945584E+000, 5.6264567E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0098578E-001, 1.7211549E-001, 2.0200322E-001, 2.5014403E+000, 3.1153344E-003, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0254628E-001, 1.7688000E-001, 2.0788353E-001, 2.5059038E+000, 2.5295350E-003, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0410678E-001, 1.8161961E-001, 2.1366212E-001, 2.5129528E+000, 3.0026879E-003, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0566729E-001, 1.8631568E-001, 2.1931500E-001, 2.5229360E+000, 5.1006640E-003, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0722779E-001, 1.9097419E-001, 2.2488033E-001, 2.5245351E+000, 5.6134942E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0878829E-001, 1.9558544E-001, 2.3034548E-001, 2.5248255E+000, 6.7592968E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1016565E-001, 1.9958873E-001, 2.3503978E-001, 2.5222170E+000, 7.0433906E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1154302E-001, 2.0353433E-001, 2.3963708E-001, 2.5170245E+000, 7.5026349E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1292038E-001, 2.0741221E-001, 2.4413588E-001, 2.5086328E+000, 8.0841563E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1429774E-001, 2.1120428E-001, 2.4852435E-001, 2.4936499E+000, 1.0293548E-002, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1567510E-001, 2.1490700E-001, 2.5280733E-001, 2.4771211E+000, 9.2732925E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1705247E-001, 2.1851118E-001, 2.5697859E-001, 2.4557151E+000, 9.3274830E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1827738E-001, 2.2158205E-001, 2.6053421E-001, 2.4014717E+000, 9.2653223E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1950229E-001, 2.2454626E-001, 2.6396127E-001, 2.3658602E+000, 8.9073111E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2072721E-001, 2.2740422E-001, 2.6725167E-001, 2.3238618E+000, 8.7575928E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2195212E-001, 2.3015892E-001, 2.7039828E-001, 2.2752778E+000, 8.8729345E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2317703E-001, 2.3281485E-001, 2.7339595E-001, 2.2200816E+000, 8.6460636E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2440194E-001, 2.3537712E-001, 2.7624260E-001, 2.1584284E+000, 8.2176975E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2562686E-001, 2.3785111E-001, 2.7894002E-001, 2.0906446E+000, 8.2409939E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2685177E-001, 2.4024221E-001, 2.8149409E-001, 2.0172050E+000, 8.4737694E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2807668E-001, 2.4255537E-001, 2.8391475E-001, 1.9387055E+000, 8.6326162E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2916825E-001, 2.4452012E-001, 2.8591649E-001, 1.7654134E+000, 8.6972287E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3025983E-001, 2.4641218E-001, 2.8781490E-001, 1.6702643E+000, 8.7351338E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3135140E-001, 2.4823291E-001, 2.8962815E-001, 1.5725686E+000, 8.7169872E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3244298E-001, 2.4998283E-001, 2.9137470E-001, 1.4730610E+000, 8.6551876E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3353455E-001, 2.5166163E-001, 2.9307216E-001, 1.3724265E+000, 8.6249102E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3462612E-001, 2.5326866E-001, 2.9473624E-001, 1.2712924E+000, 8.7958843E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
