s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-1.3154220E-005,-2.8646670E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9962092E-004, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.0496281E-005,-5.6729112E-004, 1.1939597E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3379353E-005,-5.7778621E-004, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.0496239E-005,-8.5249277E-004, 2.1504950E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0680096E-005,-8.6298686E-004, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-8.5588504E-006,-1.1452059E-003, 3.1057297E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0693513E-005,-1.1537617E-003, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-8.5588152E-006,-1.4439268E-003, 3.8507636E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7530406E-006,-1.4524817E-003, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-7.3366144E-006,-1.7463437E-003, 4.5050572E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8071277E-006,-1.7536758E-003, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-7.3365837E-006,-2.0502384E-003, 5.0319514E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6491393E-006,-2.0575700E-003, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-6.9178567E-006,-2.3531304E-003, 5.6719971E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7701095E-006,-2.3600426E-003, 0.0000000E+000, 0.0000000E+000
