Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.058E+00, 1.836E+00, 6.150E-01, 3.887E+01, 7.546E+01, 1.384E+00, 4.884E+00, 0.000E+00, 6.640E-01, 0.000E+00, 3.954E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    1, 1.055E+00, 1.421E+00, 5.066E-01, 4.006E+01, 7.601E+01, 1.042E+00, 5.241E+00, 0.000E+00, 6.433E-01, 0.000E+00, 3.834E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    2, 1.012E+00, 1.860E+00, 6.263E-01, 3.835E+01, 7.738E+01, 1.444E+00, 4.640E+00, 0.000E+00, 6.576E-01, 0.000E+00, 3.836E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    3, 9.980E-01, 1.415E+00, 5.143E-01, 3.756E+01, 7.548E+01, 1.021E+00, 5.483E+00, 0.000E+00, 6.393E-01, 0.000E+00, 4.121E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    4, 9.119E-01, 1.778E+00, 6.148E-01, 3.396E+01, 7.492E+01, 1.407E+00, 4.557E+00, 0.000E+00, 6.684E-01, 0.000E+00, 4.550E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    5, 9.618E-01, 1.406E+00, 5.179E-01, 3.874E+01, 7.927E+01, 1.123E+00, 5.174E+00, 0.000E+00, 6.487E-01, 0.000E+00, 3.648E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    6, 1.006E+00, 1.847E+00, 6.120E-01, 3.565E+01, 7.582E+01, 1.429E+00, 5.038E+00, 0.000E+00, 6.739E-01, 0.000E+00, 4.225E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    7, 9.720E-01, 1.358E+00, 5.154E-01, 3.243E+01, 7.441E+01, 9.929E-01, 5.715E+00, 0.000E+00, 6.453E-01, 0.000E+00, 4.728E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    8, 9.850E-01, 1.864E+00, 6.276E-01, 3.308E+01, 7.673E+01, 1.482E+00, 5.031E+00, 0.000E+00, 6.646E-01, 0.000E+00, 4.385E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
    9, 9.523E-01, 1.399E+00, 5.061E-01, 3.526E+01, 7.372E+01, 1.060E+00, 5.432E+00, 0.000E+00, 6.501E-01, 0.000E+00, 4.534E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   10, 1.026E+00, 1.804E+00, 6.258E-01, 3.689E+01, 7.871E+01, 1.444E+00, 5.461E+00, 0.000E+00, 6.681E-01, 0.000E+00, 3.770E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   11, 9.510E-01, 1.388E+00, 5.156E-01, 3.252E+01, 7.357E+01, 1.084E+00, 5.570E+00, 0.000E+00, 6.357E-01, 0.000E+00, 4.809E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   12, 1.102E+00, 1.905E+00, 6.386E-01, 3.802E+01, 8.353E+01, 1.546E+00, 5.213E+00, 0.000E+00, 6.805E-01, 0.000E+00, 3.168E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   13, 9.970E-01, 1.409E+00, 5.156E-01, 3.289E+01, 7.500E+01, 1.097E+00, 5.235E+00, 0.000E+00, 6.408E-01, 0.000E+00, 4.653E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   14, 1.013E+00, 1.864E+00, 6.243E-01, 3.264E+01, 7.546E+01, 1.441E+00, 5.367E+00, 0.000E+00, 6.766E-01, 0.000E+00, 4.524E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
   15, 9.588E-01, 1.784E+00, 6.138E-01, 3.242E+01, 7.439E+01, 1.365E+00, 5.103E+00, 0.000E+00, 6.765E-01, 0.000E+00, 4.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.643E+02
